question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
q_9_phy_ch6_lq_001,,6.10 Exercise Constructed Response Questions,Long,analyze,"A spring having spring constant k hangs vertically from a fixed point. A load of weight L, when hung from the spring, causes an extension x, the elastic limit of the spring is not exceeded. Some identical springs, each with spring constant k, are arranged in series and parallel. For each arrangement, determine the total extension in terms of x and the spring constant in terms of k.",ایک سپرنگ جس کا spring constant k ہے ایک مقررہ نقطے سے عمودی طور پر لٹکی ہوئی ہے۔ جب load L اس سے لٹکایا جاتا ہے تو extension x پیدا ہوتی ہے اور سپرنگ کی elastic limit سے تجاوز نہیں ہوتا۔ اسی طرح کی identical springs کو series اور parallel میں ترتیب دیا جاتا ہے۔ ہر ترتیب کے لیے total extension in terms of x اور spring constant in terms of k معلوم کریں۔,Hard,5,high,
q_9_phy_ch6_lq_002,,6.10 Exercise Constructed Response Questions,Long,explain,Springs are made of steel instead of iron. Why?,سپرنگز لوہے کے بجائے فولاد سے کیوں بنائے جاتے ہیں؟,Medium,5,medium,
q_9_phy_ch6_lq_003,,6.10 Exercise Constructed Response Questions,Long,compare,"Which material is more elastic: iron or rubber, and air or water? Explain your answer.","درج ذیل مواد میں کون سا زیادہ لچک دار ہے؟ وضاحت کریں: iron or rubber, air or water",Hard,5,medium,
q_9_phy_ch6_lq_004,,6.10 Exercise Constructed Response Questions,Long,compare,How does water pressure one metre below the surface of a swimming pool compare to water pressure one metre below the surface of a very large and deep lake?,"درج ذیل صورتوں میں پانی کے دباؤ کا موازنہ کریں: one metre below the surface of a swimming pool, one metre below the surface of a very large and deep lake",Hard,5,medium,
q_9_phy_ch6_lq_005,,6.10 Exercise Constructed Response Questions,Long,explain,What will happen to the pressure in all parts of a confined liquid if pressure is increased in one part? Give an example from daily life where such principle is applied.,اگر بند مائع کے ایک حصے میں دباؤ بڑھایا جائے تو تمام حصوں میں دباؤ پر کیا اثر ہو گا؟ روزمرہ زندگی سے ایک مثال دیں جہاں یہ اصول استعمال ہوتا ہے۔,Medium,5,high,
q_9_phy_ch6_lq_006,,6.10 Exercise Constructed Response Questions,Long,analyze,"If some air remains trapped within the top of the mercury column of the barometer which is supposed to be vacuum, how would it affect the height of the mercury column?",اگر بیرومیٹر کے مرکری کالم کے اوپر والے حصے میں، جو vacuum ہونا چاہیے، کچھ ہوا پھنس جائے تو mercury column کی height پر کیا اثر پڑے گا؟,Hard,5,high,
q_9_phy_ch6_lq_007,,6.10 Exercise Constructed Response Questions,Long,analyze,How is the long neck not a problem to a giraffe while raising its neck suddenly?,زرافے کے لیے اپنی گردن اچانک اوپر اٹھاتے وقت لمبی گردن مسئلہ کیوں نہیں بنتی؟,Hard,5,medium,
q_9_phy_ch6_lq_008,,6.10 Exercise Constructed Response Questions,Long,analyze,The end of glass tube used in a simple barometer is not properly sealed and some leak is present. What will be its effect?,سادہ بیرومیٹر میں استعمال ہونے والی glass tube کا سرا ٹھیک طرح بند نہیں اور leak موجود ہے۔ اس کا کیا اثر ہو گا؟,Hard,5,high,
q_9_phy_ch6_lq_009,,6.10 Exercise Constructed Response Questions,Long,comment,"Comment on the statement: Density is a property of a material, not the property of an object made of that material.",اس بیان پر تبصرہ کریں: Density کسی مادے کی خاصیت ہے، اس مادے سے بنے ہوئے جسم کی خاصیت نہیں۔,Hard,5,medium,
q_9_phy_ch6_lq_010,,6.10 Exercise Constructed Response Questions,Long,explain,How is the load of a large structure estimated by an engineer?,ایک انجینئر کسی بڑی عمارت یا ڈھانچے کا load کیسے اندازہ کرتا ہے؟,Medium,5,medium,
