question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_chem_ch6_001,1,6.1 Reversible and Irreversible Reactions,Topic,topic_separator,,,,,,1
q_9_chem_ch6_lq_001,1,6.1 Reversible and Irreversible Reactions,Long,state_and_explain,Answer the following related questions about Reversible and Irreversible Reactions: (a) Define an irreversible reaction and state one related characteristic or function. | (b) Define a reversible reaction and state one related characteristic or function. | (c) Write the symbol that is used for a reversible reaction Also state what the symbol or relation represents.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ناقابلِ واپسی تعامل کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) قابلِ واپسی تعامل کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ج) قابلِ واپسی تعامل کے لیے کون سی علامت استعمال ہوتی ہے۔ علامت یا تعلق کا مطلب بھی بیان کریں۔؟,Medium,5,PRO,1
q_9_chem_ch6_lq_002,1,6.1 Reversible and Irreversible Reactions,Long,cause_effect,Answer the following related questions about Reversible and Irreversible Reactions: (a) Why are many combustion reactions considered irreversible? | (b) When can a reaction become reversible?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) بہت سے احتراقی تعاملات ناقابلِ واپسی کیوں سمجھے جاتے ہیں؟ | (ب) تعامل کب قابلِ واپسی بن سکتا ہے؟,Medium,5,ULTRA,1
sep_9_chem_ch6_002,1,6.2 Dynamic Equilibrium,Topic,topic_separator,,,,,,1
q_9_chem_ch6_lq_003,1,6.2 Dynamic Equilibrium,Long,state_and_explain,Answer the following related questions about Dynamic Equilibrium: (a) Define dynamic equilibrium and state one related characteristic or function. | (b) Explain what happens to concentrations at dynamic equilibrium. | (c) State whether the following statement is correct and justify the response: Does dynamic equilibrium mean the reaction has stopped.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) حرکی توازن کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) حرکی توازن پر ارتکاز کے ساتھ کیا ہوتا ہے؟ | (ج) کیا حرکی توازن کا مطلب تعامل کا رک جانا ہے؟,Medium,5,PRO,1
q_9_chem_ch6_lq_004,1,6.2 Dynamic Equilibrium,Long,cause_effect,"Answer the following related questions about Dynamic Equilibrium: (a) Define static equilibrium and state one related characteristic or function. | (b) How does dynamic equilibrium differ from static equilibrium? | (c) If forward and reverse reaction rates are both very high, what happens to equilibrium establishment?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ساکن توازن کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) حرکی توازن ساکن توازن سے کیسے مختلف ہے؟ | (ج) اگر آگے اور پیچھے دونوں تعاملات کی رفتار بہت زیادہ ہو تو توازن کے قیام پر کیا اثر ہوگا؟,Medium,5,ULTRA,1
q_9_chem_ch6_lq_005,1,6.2 Dynamic Equilibrium,Long,discuss,"Answer the following related questions about Dynamic Equilibrium: (a) What condition is necessary for a reversible reaction to reach equilibrium? | (b) At equilibrium, are the concentrations of reactants and products necessarily equal?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) قابلِ واپسی تعامل کے توازن تک پہنچنے کے لیے کون سی شرط ضروری ہے؟ | (ب) توازن پر کیا عامل اور حاصل مادّوں کے ارتکاز لازماً برابر ہوتے ہیں؟,Easy,5,ELITE,1
sep_9_chem_ch6_003,1,6.3 Le Chatelier Principle,Topic,topic_separator,,,,,,1
q_9_chem_ch6_lq_006,1,6.3 Le Chatelier Principle,Long,explain,Answer the following related questions about Le Chatelier Principle: (a) What does Le Chatelier’s principle predict? | (b) Explain what happens if the concentration of a reactant is increased at equilibrium. | (c) Explain what happens if a product is removed from an equilibrium mixture.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) لی شاٹیلیے کا اصول کیا پیش گوئی کرتا ہے؟ | (ب) توازن پر عامل مادّے کا ارتکاز بڑھایا جائے تو کیا ہوتا ہے؟ | (ج) توازنی آمیزے سے حاصل مادّہ نکالا جائے تو کیا ہوتا ہے؟,Medium,5,PRO,1
q_9_chem_ch6_lq_007,1,6.3 Le Chatelier Principle,Long,cause_effect,"Answer the following related questions about Le Chatelier Principle: (a) How can a reversible reaction be driven toward completion? | (b) How does increased pressure affect a gaseous equilibrium? | (c) For N₂(g) + 3H₂(g) ⇌ 2NH₃(g), which change favours ammonia formation?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) قابلِ واپسی تعامل کو تکمیل کی طرف کیسے لے جایا جا سکتا ہے؟ | (ب) دباؤ بڑھانے سے گیسوں کے توازن پر کیا اثر ہوتا ہے؟ | (ج) N₂(g) + 3H₂(g) ⇌ 2NH₃(g) میں کون سی تبدیلی امونیا بننے کو ترجیح دیتی ہے؟,Medium,5,ULTRA,1
q_9_chem_ch6_lq_008,1,6.3 Le Chatelier Principle,Long,cause_effect,Answer the following related questions about Le Chatelier Principle: (a) Why is lime produced more effectively by heating CaCO₃ in an open vessel? | (b) How does temperature affect an exothermic equilibrium when temperature is increased? | (c) How does temperature affect an endothermic forward reaction when temperature is increased?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) CaCO₃ کو کھلے برتن میں گرم کرنے سے چونا زیادہ مؤثر طور پر کیوں بنتا ہے؟ | (ب) حرارت خارج کرنے والے توازن میں درجہ حرارت بڑھانے کا کیا اثر ہوتا ہے؟ | (ج) حرارت جذب کرنے والے آگے کے تعامل میں درجہ حرارت بڑھانے کا کیا اثر ہوتا ہے؟,Hard,5,ELITE,1
sep_9_chem_ch6_004,1,6.3 Effect of Catalyst on Equilibrium,Topic,topic_separator,,,,,,1
q_9_chem_ch6_lq_009,1,6.3 Effect of Catalyst on Equilibrium,Long,cause_effect,Answer the following related questions about Effect of Catalyst on Equilibrium: (a) State the effect does a catalyst have on forward and reverse reaction rates. | (b) State whether the following statement is correct and justify the response: Does a catalyst change the equilibrium composition. | (c) Why does a catalyst not alter the equilibrium constant or position?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) عمل انگیز آگے اور پیچھے کے تعاملات کی رفتار پر کیا اثر ڈالتا ہے؟ | (ب) کیا عمل انگیز توازنی ترکیب بدلتا ہے؟ | (ج) عمل انگیز توازن کی مستقل قدر یا مقام کیوں نہیں بدلتا؟,Hard,5,PRO,1
sep_9_chem_ch6_005,1,6.4 Industrial and Everyday Equilibria,Topic,topic_separator,,,,,,1
q_9_chem_ch6_lq_010,1,6.4 Industrial and Everyday Equilibria,Long,cause_effect,Answer the following related questions about Industrial and Everyday Equilibria: (a) Why does gas escape when a fizzy-drink can is opened? | (b) Why are reversible reactions useful industrially only when equilibrium can be made to favour products? | (c) Two sealed containers at the same temperature start with different mixtures for PCl₅ ⇌ PCl₃ + Cl₂. What will be true after equilibrium is reached?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) فزی ڈرنک کا ڈبہ کھولنے پر گیس کیوں نکلتی ہے؟ | (ب) قابلِ واپسی تعامل صنعتی طور پر اسی وقت مفید کیوں ہوتے ہیں جب توازن حاصل مادّوں کی طرف کیا جا سکے؟ | (ج) PCl₅ ⇌ PCl₃ + Cl₂ کے لیے ایک ہی درجہ حرارت پر دو بند برتن مختلف آمیزوں سے شروع ہوں۔ توازن قائم ہونے پر کیا درست ہوگا؟,Hard,5,PRO,1
q_9_chem_ch6_lq_011,1,6.4 Industrial and Everyday Equilibria,Long,discuss,Answer the following related questions about Industrial and Everyday Equilibria: (a) Which atmospheric gases react in the presence of lightning? State a supporting reason or feature. | (b) Which strategy gives maximum ammonia yield while also allowing a reasonable industrial rate?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) بجلی چمکنے کی موجودگی میں کون سی فضائی گیسیں تعامل کرتی ہیں۔ شناخت کی بنیاد بھی بیان کریں۔؟ | (ب) نام یا شناخت لکھیں: کون سی حکمتِ عملی مناسب صنعتی رفتار کے ساتھ امونیا کی زیادہ پیداوار دیتی ہے۔؟,Easy,5,ULTRA,1
q_9_chem_ch6_lq_012,1,6.4 Industrial and Everyday Equilibria,Long,explain,Answer the following related questions about Industrial and Everyday Equilibria: (a) Explain what happens to product concentrations if an equilibrium system is left undisturbed. | (b) Identify the observation that is the best evidence that a reaction has reached dynamic equilibrium.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) اگر توازنی نظام کو غیر متاثر چھوڑ دیا جائے تو حاصل مادّوں کے ارتکاز کے ساتھ کیا ہوتا ہے؟ | (ب) نام یا شناخت لکھیں: کون سا مشاہدہ حرکی توازن قائم ہونے کا بہترین ثبوت ہے۔؟,Easy,5,ELITE,1
sep_9_chem_ch6_006,1,6.2 Rates During Approach to Equilibrium,Topic,topic_separator,,,,,,1
q_9_chem_ch6_lq_013,1,6.2 Rates During Approach to Equilibrium,Long,compare,"Answer the following related questions about Rates During Approach to Equilibrium: (a) At the start of a reversible reaction containing only reactants, how does the forward rate compare with the reverse rate? | (b) Explain what happens to the reverse reaction rate as products accumulate. | (c) Define the relationship between forward and reverse rates at equilibrium and state one related characteristic or function.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) صرف عامل مادّوں سے شروع ہونے والے قابلِ واپسی تعامل میں ابتدا پر آگے کی رفتار پیچھے کی رفتار سے کیسے مختلف ہوتی ہے؟ | (ب) حاصل مادّے جمع ہونے کے ساتھ پیچھے کے تعامل کی رفتار کے ساتھ کیا ہوتا ہے؟ | (ج) توازن پر آگے اور پیچھے کی رفتاروں کا تعلق کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟,Medium,5,PRO,1
sep_9_chem_ch6_007,1,6.3 Changes in Volume and Pressure,Topic,topic_separator,,,,,,1
q_9_chem_ch6_lq_014,1,6.3 Changes in Volume and Pressure,Long,cause_effect,"For the equilibrium 2NO₂(g) ⇌ N₂O₄(g), explain the effects of: (a) increasing pressure, and (b) increasing the volume of the vessel. Relate both changes to the number of gaseous moles and Le Chatelier’s principle.",درج ذیل equilibrium پر pressure اور volume کی تبدیلیوں کے اثرات کی وضاحت کریں: 2NO₂(g) ⇌ N₂O₄(g) | (الف) pressure میں اضافہ | (ب) vessel کے volume میں اضافہ | دونوں اثرات کو gaseous moles اور Le Chatelier’s principle سے متعلق کریں۔,Hard,5,PRO,1
sep_9_chem_ch6_008,1,6.4 Reversible Physical and Chemical Changes,Topic,topic_separator,,,,,,1
q_9_chem_ch6_lq_015,1,6.4 Reversible Physical and Chemical Changes,Long,process_procedure,Explain the reversible dehydration and rehydration of copper sulphate. Describe the changes occurring in both directions and justify why the process is considered reversible.,copper sulphate کی reversible dehydration اور rehydration کی وضاحت کریں۔ دونوں سمتوں میں ہونے والی تبدیلیاں بیان کریں اور واضح کریں کہ اس عمل کو reversible کیوں سمجھا جاتا ہے۔,Medium,5,ULTRA,1
