question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_10_bio_ch7_001,1,7.1 Structure and Composition of Chromosome,Topic,topic_separator,,,,,,1
q_10_bio_ch7_lq_001,1,7.1 Structure and Composition of Chromosome,Long,diagram_based,"Write a detailed note on the structure and composition of a chromosome. Explain chromatin, DNA, histone proteins, chromatids, and centromere, and support your answer with a labelled diagram.",کروموسوم کی ساخت اور ترکیب پر تفصیلی نوٹ لکھیں۔ chromatin، DNA، histone proteins، chromatids اور centromere کی وضاحت کریں اور اپنے جواب کی تائید ایک لیبل شدہ خاکے سے کریں۔,Medium,5,PRO,1
sep_10_bio_ch7_002,1,7.3 Mendel's Selection of Garden Pea,Topic,topic_separator,,,,,,1
q_10_bio_ch7_lq_002,1,7.3 Mendel's Selection of Garden Pea,Long,explain,Explain why Gregor Mendel selected garden pea plants for his genetic experiments. Discuss the characteristics that made pea plants suitable for controlled inheritance studies.,وضاحت کریں کہ گریگر مینڈل نے اپنے جینیاتی تجربات کے لیے باغی مٹر کے پودوں کا انتخاب کیوں کیا۔ ان خصوصیات پر بحث کریں جنہوں نے مٹر کے پودوں کو کنٹرول شدہ وراثتی مطالعے کے لیے موزوں بنایا۔,Medium,5,PRO,1
sep_10_bio_ch7_003,1,7.3 Mendel's Dihybrid Experiment and Law of Independent Assortment,Topic,topic_separator,,,,,,1
q_10_bio_ch7_lq_003,1,7.3 Mendel's Dihybrid Experiment and Law of Independent Assortment,Long,process_procedure,"Describe Mendel's experiment on the inheritance of two characters in pea plants. Include the parental cross, F1 generation, gametes, F2 phenotypes and their proportions, and state the law proposed from this experiment.",مٹر کے پودوں میں دو خصوصیات کی وراثت سے متعلق مینڈل کا تجربہ بیان کریں۔ والدینی کراس، F1 نسل، gametes، F2 phenotypes اور ان کے تناسب شامل کریں اور اس تجربے سے اخذ کردہ قانون بیان کریں۔,Hard,5,PRO,1
sep_10_bio_ch7_004,1,7.3 Law of Segregation,Topic,topic_separator,,,,,,1
q_10_bio_ch7_lq_004,1,7.3 Law of Segregation,Long,state_and_explain,State and explain Mendel's law of segregation. Illustrate the law with the inheritance of tall and short plant height in a monohybrid cross.,مینڈل کا قانونِ تفریق بیان اور واضح کریں۔ monohybrid cross میں لمبے اور پست قد کے پودوں کی وراثت کے ذریعے اس قانون کی وضاحت کریں۔,Medium,5,PRO,1
sep_10_bio_ch7_005,1,7.2 Role of DNA and RNA in Protein Synthesis,Topic,topic_separator,,,,,,1
q_10_bio_ch7_lq_005,1,7.2 Role of DNA and RNA in Protein Synthesis,Long,process_procedure,"Describe how DNA and RNA take part in the synthesis of a protein. Explain transcription in the nucleus, movement of mRNA to the cytoplasm, and translation at the ribosome.",بیان کریں کہ DNA اور RNA پروٹین کی تیاری میں کیسے حصہ لیتے ہیں۔ nucleus میں transcription، mRNA کی cytoplasm کی طرف حرکت اور ribosome پر translation کی وضاحت کریں۔,Hard,5,PRO,1
sep_10_bio_ch7_006,1,7.2 Structure of DNA and RNA,Topic,topic_separator,,,,,,1
q_10_bio_ch7_lq_006,1,7.2 Structure of DNA and RNA,Long,compare,"Compare the structure of DNA and RNA in terms of number of strands, sugar, phosphate group, nitrogenous bases, and base pairing.",DNA اور RNA کی ساخت کا strands کی تعداد، sugar، phosphate group، nitrogenous bases اور base pairing کے لحاظ سے تقابل کریں۔,Medium,5,ULTRA,1
sep_10_bio_ch7_007,1,"7.2 Gene, Allele, Locus, Genotype and Phenotype",Topic,topic_separator,,,,,,1
q_10_bio_ch7_lq_007,1,"7.2 Gene, Allele, Locus, Genotype and Phenotype",Long,classification,"Explain the concepts of gene, allele, and locus. Differentiate between genotype and phenotype, and between homozygous and heterozygous genotypes, using suitable examples from pea plants.",gene، allele اور locus کے تصورات کی وضاحت کریں۔ مٹر کے پودوں کی مناسب مثالوں سے genotype اور phenotype، نیز homozygous اور heterozygous genotypes میں فرق بیان کریں۔,Easy,5,ULTRA,1
sep_10_bio_ch7_008,1,7.3 Mendel's Monohybrid Experiment and Concept of Dominance,Topic,topic_separator,,,,,,1
q_10_bio_ch7_lq_008,1,7.3 Mendel's Monohybrid Experiment and Concept of Dominance,Long,process_procedure,"Describe Mendel's monohybrid experiment on plant height. Explain the P, F1, and F2 generations, the observed results, and the concept of dominance.",پودے کی لمبائی سے متعلق مینڈل کا monohybrid experiment بیان کریں۔ P، F1 اور F2 نسلوں، مشاہدہ شدہ نتائج اور غلبے کے تصور کی وضاحت کریں۔,Medium,5,ULTRA,1
sep_10_bio_ch7_009,1,7.2 Gene Control of Traits and Allelic Variation,Topic,topic_separator,,,,,,1
q_10_bio_ch7_lq_009,1,7.2 Gene Control of Traits and Allelic Variation,Long,application_case,Explain how genes control the traits and characteristics of an organism through protein production. Apply this relationship to explain why different alleles of the same gene may produce different physical traits.,وضاحت کریں کہ genes پروٹین کی تیاری کے ذریعے جاندار کی صفات اور خصوصیات کو کیسے کنٹرول کرتے ہیں۔ اس تعلق کو استعمال کرتے ہوئے واضح کریں کہ ایک ہی gene کے مختلف alleles مختلف جسمانی خصوصیات کیوں پیدا کر سکتے ہیں۔,Medium,5,ELITE,1
