question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,9.1 Entrepreneurship,topic_separator,,,,,,1
q_9_cs_ch9_sq_001,1,9.1 Entrepreneurship,definition_function,State the meaning of the word entrepreneur and define an entrepreneur.,word entrepreneur کا meaning بیان کریں اور entrepreneur کی تعریف کریں۔,Easy,2,PRO,1
q_9_cs_ch9_sq_002,1,9.1 Entrepreneurship,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is entrepreneurship?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: entrepreneurship کیا ہے؟,Easy,2,PRO,1
q_9_cs_ch9_sq_003,1,9.1 Entrepreneurship,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: Who is an entrepreneur?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: entrepreneur کون ہوتا ہے؟,Easy,2,PRO,1
q_9_cs_ch9_sq_004,1,9.1 Entrepreneurship,list_state,Identify the required item or fact and state one related feature or function: Which quality is commonly associated with entrepreneurs?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سی quality entrepreneurs کے ساتھ commonly associated ہے؟,Easy,2,PRO,1
q_9_cs_ch9_sq_005,1,9.1 Entrepreneurship,function_purpose,State the required function or purpose and explain its importance: What does innovation mean in entrepreneurship?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: entrepreneurship میں innovation کا کیا مطلب ہے؟,Medium,2,PRO,1
q_9_cs_ch9_sq_006,1,9.1 Entrepreneurship,explain_reason,"Explain the following and state one resulting effect, benefit, or application: Why is risk-taking part of entrepreneurship?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: risk-taking entrepreneurship کا part کیوں ہے؟,Medium,2,PRO,1
q_9_cs_ch9_sq_007,1,9.1 Entrepreneurship,definition_example,"Define or identify the required concept and state one key feature, purpose, or example: Which is an example of a local entrepreneurial business?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: local entrepreneurial business کی example کون سی ہے؟,Easy,2,ULTRA,1
q_9_cs_ch9_sq_008,1,9.1 Entrepreneurship,function_purpose,State the required function or purpose and explain its importance: What does the French origin of the word entrepreneur mean?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: word entrepreneur کی French origin کا کیا meaning ہے؟,Medium,2,ELITE,1
q_9_cs_ch9_sq_009,1,9.1 Entrepreneurship,explain_reason,"Explain the following and state one resulting effect, benefit, or application: Why is entrepreneurship important for economic growth?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: entrepreneurship economic growth کے لیے important کیوں ہے؟,Medium,2,PRO,1
TOPIC_SEP,1,9.2 Entrepreneurship in the Digital Landscape,topic_separator,,,,,,1
q_9_cs_ch9_sq_010,1,9.2 Entrepreneurship in the Digital Landscape,explain_reason,Explain how digital technologies help entrepreneurs reach a global audience.,وضاحت کریں کہ digital technologies entrepreneurs کو global audience تک پہنچنے میں کیسے مدد دیتی ہیں۔,Medium,2,PRO,1
q_9_cs_ch9_sq_011,1,9.2 Entrepreneurship in the Digital Landscape,definition_function,Define an e-commerce platform and state its main purpose.,e-commerce platform کی تعریف کریں اور اس کا بنیادی purpose بیان کریں۔,Easy,2,PRO,1
q_9_cs_ch9_sq_012,1,9.2 Entrepreneurship in the Digital Landscape,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is digital entrepreneurship?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: digital entrepreneurship کیا ہے؟,Easy,2,PRO,1
q_9_cs_ch9_sq_013,1,9.2 Entrepreneurship in the Digital Landscape,list_state,Identify the required item or fact and state one related feature or function: Which is a digital technology used by entrepreneurs?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: entrepreneurs کی used digital technology کون سی ہے؟,Easy,2,PRO,1
q_9_cs_ch9_sq_014,1,9.2 Entrepreneurship in the Digital Landscape,list_state,Identify the required item or fact and state one related feature or function: What can entrepreneurs do through social media platforms?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: entrepreneurs social media platforms کے ذریعے کیا کر سکتے ہیں؟,Easy,2,PRO,1
q_9_cs_ch9_sq_015,1,9.2 Entrepreneurship in the Digital Landscape,list_state,Identify the required item or fact and state one related feature or function: What benefit do mobile apps provide to businesses?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: mobile apps businesses کو کیا benefit دیتی ہیں؟,Easy,2,ULTRA,1
q_9_cs_ch9_sq_016,1,9.2 Entrepreneurship in the Digital Landscape,function_purpose,State the required function or purpose and explain its importance: How does cloud computing help a business?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: cloud computing business کو کیسے help کرتی ہے؟,Medium,2,PRO,1
q_9_cs_ch9_sq_017,1,9.2 Entrepreneurship in the Digital Landscape,function_purpose,State the required function or purpose and explain its importance: What does big data analytics help businesses understand?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: big data analytics businesses کو کیا understand کرنے میں help کرتی ہے؟,Medium,2,ULTRA,1
q_9_cs_ch9_sq_018,1,9.2 Entrepreneurship in the Digital Landscape,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is e-commerce?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: e-commerce کیا ہے؟,Easy,2,PRO,1
q_9_cs_ch9_sq_019,1,9.2 Entrepreneurship in the Digital Landscape,function_purpose,State the required function or purpose and explain its importance: What is the purpose of Search Engine Optimization (SEO)?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: Search Engine Optimization (SEO) کا purpose کیا ہے؟,Medium,2,PRO,1
q_9_cs_ch9_sq_020,1,9.2 Entrepreneurship in the Digital Landscape,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is social media marketing?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: social media marketing کیا ہے؟,Easy,2,ULTRA,1
q_9_cs_ch9_sq_021,1,9.2 Entrepreneurship in the Digital Landscape,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is content marketing?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: content marketing کیا ہے؟,Easy,2,ULTRA,1
q_9_cs_ch9_sq_022,1,9.2 Entrepreneurship in the Digital Landscape,function_purpose,State the required function or purpose and explain its importance: Which platform is used to create and manage online stores?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: online stores create اور manage کرنے کے لیے کون سا platform use ہوتا ہے؟,Medium,2,ELITE,1
