question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
,1,8.1 Magnetic Materials,,,,,,,,1
q_9_phy_ch8_lq_001,,8.1 Magnetic Materials,Long,describe,Describe magnetic and non-magnetic materials with suitable examples.,مقناطیسی اور غیر مقناطیسی مادّوں کو مناسب مثالوں کے ساتھ بیان کریں۔,Easy,5,high,
q_9_phy_ch8_lq_002,,8.1 Magnetic Materials,Long,explain,Explain how a magnet can attract magnetic materials even when it is not in direct contact with them.,وضاحت کریں کہ مقناطیس براہِ راست رابطے کے بغیر بھی مقناطیسی مادّوں کو کیسے کھینچ سکتا ہے۔,Medium,5,high,
q_9_phy_ch8_lq_003,,8.1 Magnetic Materials,Long,elaborate,Elaborate the discovery and importance of lodestone in the development of the compass.,لوڈ اسٹون کی دریافت اور قطب نما کی تیاری میں اس کی اہمیت کو تفصیل سے بیان کریں۔,Medium,5,medium,
,1,8.2 Properties of Magnets,,,,,,,,1
q_9_phy_ch8_lq_004,,8.2 Properties of Magnets,Long,explain,Explain the magnetic poles of a freely suspended bar magnet and describe how they are named.,آزادانہ لٹکائے گئے بار مقناطیس کے مقناطیسی قطبوں کی وضاحت کریں اور بیان کریں کہ انہیں کیسے نام دیے جاتے ہیں۔,Easy,5,high,
q_9_phy_ch8_lq_005,,8.2 Properties of Magnets,Long,describe,Describe attraction and repulsion between magnetic poles with suitable examples.,مقناطیسی قطبوں کے درمیان کشش اور دفع کو مناسب مثالوں کے ساتھ بیان کریں۔,Easy,5,high,
q_9_phy_ch8_lq_006,,8.2 Properties of Magnets,Long,state_and_explain,State and explain why repulsion between like poles is the real test for identifying a magnet.,بیان کریں اور وضاحت کریں کہ ہم قطبوں کے درمیان دفع مقناطیس کی شناخت کا اصل امتحان کیوں ہے۔,Hard,5,high,
q_9_phy_ch8_lq_007,,8.2 Properties of Magnets,Long,explain,Explain why an isolated magnetic pole cannot be obtained even by breaking a magnet into many pieces.,وضاحت کریں کہ مقناطیس کو بہت سے ٹکڑوں میں توڑنے کے باوجود الگ مقناطیسی قطب کیوں حاصل نہیں کیا جا سکتا۔,Medium,5,high,
,1,8.3 Induced Magnetism,,,,,,,,1
q_9_phy_ch8_lq_008,,8.3 Induced Magnetism,Long,describe,Describe induced magnetism in an iron nail placed in contact with a pole of a bar magnet.,بار مقناطیس کے قطب سے رابطے میں رکھے گئے لوہے کے کیل میں القائی مقناطیسیت کو بیان کریں۔,Medium,5,high,
q_9_phy_ch8_lq_009,,8.3 Induced Magnetism,Long,explain,"Explain, with a compass activity, how induced magnetism appears and vanishes in an iron nail.",قطب نما کی سرگرمی کی مدد سے وضاحت کریں کہ لوہے کے کیل میں القائی مقناطیسیت کیسے پیدا ہوتی اور ختم ہوتی ہے۔,Medium,5,high,
q_9_phy_ch8_lq_010,,8.3 Induced Magnetism,Long,analyze,A true magnet is brought near an iron nail. Analyze the polarity induced at the near and far ends of the nail.,ایک اصل مقناطیس لوہے کے کیل کے قریب لایا جاتا ہے۔ کیل کے قریبی اور دور والے سروں پر پیدا ہونے والی قطبیت کا تجزیہ کریں۔,Hard,5,high,
,1,8.4 Temporary and Permanent Magnets,,,,,,,,1
q_9_phy_ch8_lq_011,,8.4 Temporary and Permanent Magnets,Long,compare,Compare temporary magnets and permanent magnets with examples of materials used for each type.,عارضی مقناطیسوں اور مستقل مقناطیسوں کا موازنہ کریں اور ہر قسم کے لیے استعمال ہونے والے مادّوں کی مثالیں دیں۔,Medium,5,high,
q_9_phy_ch8_lq_012,,8.4 Temporary and Permanent Magnets,Long,explain,Explain why soft iron is suitable for temporary magnets while steel is suitable for permanent magnets.,وضاحت کریں کہ نرم لوہا عارضی مقناطیسوں کے لیے جبکہ فولاد مستقل مقناطیسوں کے لیے کیوں موزوں ہے۔,Hard,5,high,
q_9_phy_ch8_lq_013,,8.4 Temporary and Permanent Magnets,Long,describe,Describe an activity using iron nails and steel nails to distinguish temporary and permanent magnetism.,لوہے کے کیلوں اور فولادی کیلوں کی مدد سے عارضی اور مستقل مقناطیسیت میں فرق ظاہر کرنے والی سرگرمی بیان کریں۔,Medium,5,medium,
,1,8.5 Magnetic Fields and Lines of Force,,,,,,,,1
q_9_phy_ch8_lq_014,,8.5 Magnetic Fields and Lines of Force,Long,describe,Describe a magnetic field and explain how its pattern around a bar magnet can be observed.,مقناطیسی میدان کو بیان کریں اور وضاحت کریں کہ بار مقناطیس کے گرد اس کا نمونہ کیسے دیکھا جا سکتا ہے۔,Easy,5,high,
q_9_phy_ch8_lq_015,,8.5 Magnetic Fields and Lines of Force,Long,explain,Explain magnetic lines of force and describe how a compass needle shows their direction.,مقناطیسی خطوطِ قوت کی وضاحت کریں اور بیان کریں کہ قطب نما کی سوئی ان کی سمت کیسے ظاہر کرتی ہے۔,Medium,5,high,
q_9_phy_ch8_lq_016,,8.5 Magnetic Fields and Lines of Force,Long,state_and_explain,State and explain the direction of the magnetic field at any point in space.,خلا میں کسی بھی نقطے پر مقناطیسی میدان کی سمت بیان کریں اور اس کی وضاحت کریں۔,Easy,5,high,
q_9_phy_ch8_lq_017,,8.5 Magnetic Fields and Lines of Force,Long,explain,Explain the strength of a magnetic field in terms of the spacing of magnetic lines of force.,مقناطیسی خطوطِ قوت کے درمیانی فاصلے کے حوالے سے مقناطیسی میدان کی طاقت کی وضاحت کریں۔,Medium,5,high,
q_9_phy_ch8_lq_018,,8.5 Magnetic Fields and Lines of Force,Long,describe,Describe the combined magnetic field patterns of two bar magnets placed with different orientations.,دو بار مقناطیسوں کو مختلف سمتوں میں رکھنے سے بننے والے مشترکہ مقناطیسی میدان کے نمونوں کو بیان کریں۔,Medium,5,medium,
q_9_phy_ch8_lq_019,,8.5 Magnetic Fields and Lines of Force,Long,explain,Explain the neutral point in the combined magnetic field of two magnets.,دو مقناطیسوں کے مشترکہ مقناطیسی میدان میں غیر جانبدار نقطے کی وضاحت کریں۔,Hard,5,medium,
q_9_phy_ch8_lq_020,,8.5 Magnetic Fields and Lines of Force,Long,describe,Describe the magnetic field pattern of a horse-shoe magnet and explain why it is almost uniform between the poles.,نعل نما مقناطیس کے مقناطیسی میدان کے نمونے کو بیان کریں اور وضاحت کریں کہ قطبوں کے درمیان یہ تقریباً یکساں کیوں ہوتا ہے۔,Medium,5,medium,
,1,8.6 Uses and Applications of Permanent Magnets,,,,,,,,1
q_9_phy_ch8_lq_021,,8.6 Uses and Applications of Permanent Magnets,Long,describe,Describe at least five uses of permanent magnets in devices and daily life.,آلات اور روزمرہ زندگی میں مستقل مقناطیسوں کے کم از کم پانچ استعمالات بیان کریں۔,Easy,5,high,
q_9_phy_ch8_lq_022,,8.6 Uses and Applications of Permanent Magnets,Long,explain,Explain the working of an A.C generator using a rotating coil and a permanent magnet.,گھومتی ہوئی کنڈلی اور مستقل مقناطیس کی مدد سے A.C generator کے کام کی وضاحت کریں۔,Medium,5,high,
q_9_phy_ch8_lq_023,,8.6 Uses and Applications of Permanent Magnets,Long,compare,Compare the basic working of an electric generator and an electric motor.,برقی جنریٹر اور برقی موٹر کے بنیادی کام کا موازنہ کریں۔,Medium,5,medium,
q_9_phy_ch8_lq_024,,8.6 Uses and Applications of Permanent Magnets,Long,describe,Describe how a moving coil loudspeaker converts varying A.C current into sound.,بیان کریں کہ moving coil loudspeaker تبدیل ہوتی ہوئی A.C current کو آواز میں کیسے بدلتا ہے۔,Medium,5,high,
,1,8.7 Electromagnets and Uses of Electromagnets,,,,,,,,1
q_9_phy_ch8_lq_025,,8.7 Electromagnets and Uses of Electromagnets,Long,describe,"Describe an activity to make and test an electromagnet using an iron nail, coil, battery and paper clips.",لوہے کے کیل، کنڈلی، بیٹری اور paper clips کی مدد سے برقی مقناطیس بنانے اور جانچنے کی سرگرمی بیان کریں۔,Easy,5,high,
q_9_phy_ch8_lq_026,,8.7 Electromagnets and Uses of Electromagnets,Long,explain,Explain how the strength of an electromagnet can be increased.,وضاحت کریں کہ برقی مقناطیس کی طاقت کیسے بڑھائی جا سکتی ہے۔,Easy,5,high,
q_9_phy_ch8_lq_027,,8.7 Electromagnets and Uses of Electromagnets,Long,explain,Explain why an electromagnet behaves as a temporary magnet.,وضاحت کریں کہ برقی مقناطیس عارضی مقناطیس کی طرح کیوں عمل کرتا ہے۔,Medium,5,high,
q_9_phy_ch8_lq_028,,8.7 Electromagnets and Uses of Electromagnets,Long,describe,Describe the working of a magnetic relay and its use in controlling a high-current circuit with a low-current input.,مقناطیسی ریلے کے کام کو بیان کریں اور وضاحت کریں کہ یہ کم current input سے زیادہ current circuit کو کیسے قابو کرتا ہے۔,Medium,5,high,
q_9_phy_ch8_lq_029,,8.7 Electromagnets and Uses of Electromagnets,Long,describe,Describe the construction and working of a circuit breaker with the help of an electromagnet.,برقی مقناطیس کی مدد سے circuit breaker کی ساخت اور کام کو بیان کریں۔,Medium,5,high,
q_9_phy_ch8_lq_030,,8.7 Electromagnets and Uses of Electromagnets,Long,explain,"Explain how a telephone receiver produces sound using a varying current, electromagnet and diaphragm.",وضاحت کریں کہ telephone receiver تبدیل ہوتی ہوئی current، برقی مقناطیس اور diaphragm کی مدد سے آواز کیسے پیدا کرتا ہے۔,Medium,5,medium,
q_9_phy_ch8_lq_031,,8.7 Electromagnets and Uses of Electromagnets,Long,describe,Describe the use of electromagnets in maglev trains and electromagnetic cranes.,maglev trains اور electromagnetic cranes میں برقی مقناطیسوں کے استعمالات بیان کریں۔,Medium,5,medium,
,1,8.8 Domain Theory of Magnetism,,,,,,,,1
q_9_phy_ch8_lq_032,,8.8 Domain Theory of Magnetism,Long,explain,Explain domain theory of magnetism with reference to the motion of electrons inside atoms.,ایٹموں کے اندر الیکٹرانوں کی حرکت کے حوالے سے مقناطیسیت کے domain theory کی وضاحت کریں۔,Medium,5,high,
q_9_phy_ch8_lq_033,,8.8 Domain Theory of Magnetism,Long,state_and_explain,State and explain what is meant by a magnetic dipole.,magnetic dipole سے کیا مراد ہے؟ بیان کریں اور وضاحت کریں۔,Easy,5,medium,
q_9_phy_ch8_lq_034,,8.8 Domain Theory of Magnetism,Long,compare,"Compare paramagnetic, diamagnetic and ferromagnetic materials with reference to domain theory.",domain theory کے حوالے سے paramagnetic، diamagnetic اور ferromagnetic مادّوں کا موازنہ کریں۔,Medium,5,high,
q_9_phy_ch8_lq_035,,8.8 Domain Theory of Magnetism,Long,explain,Explain how magnetic domains align when a ferromagnetic material is placed in an external magnetic field.,وضاحت کریں کہ جب ferromagnetic مادّہ بیرونی مقناطیسی میدان میں رکھا جاتا ہے تو magnetic domains کیسے سیدھ میں آتے ہیں۔,Medium,5,high,
q_9_phy_ch8_lq_036,,8.8 Domain Theory of Magnetism,Long,analyze,Analyze why a ferromagnetic material may become strongly magnetized even in a weak external magnetic field.,تجزیہ کریں کہ ferromagnetic مادّہ کمزور بیرونی مقناطیسی میدان میں بھی شدید مقناطیسیت کیوں اختیار کر سکتا ہے۔,Hard,5,medium,
q_9_phy_ch8_lq_037,,8.8 Domain Theory of Magnetism,Long,explain,Explain why magnetic domains do not form in non-ferromagnetic materials such as aluminium and copper.,وضاحت کریں کہ aluminium اور copper جیسے non-ferromagnetic مادّوں میں magnetic domains کیوں نہیں بنتے۔,Hard,5,medium,
,1,8.9 Magnetisation and Demagnetisation,,,,,,,,1
q_9_phy_ch8_lq_038,,8.9 Magnetisation and Demagnetisation,Long,describe,Describe the single-touch method of magnetising a steel bar.,فولادی سلاخ کو مقناطیس بنانے کا single-touch method بیان کریں۔,Easy,5,high,
q_9_phy_ch8_lq_039,,8.9 Magnetisation and Demagnetisation,Long,describe,Describe the double-touch method of magnetising a steel bar and explain why it is more efficient than the single-touch method.,فولادی سلاخ کو مقناطیس بنانے کا double-touch method بیان کریں اور وضاحت کریں کہ یہ single-touch method سے زیادہ مؤثر کیوں ہے۔,Medium,5,high,
q_9_phy_ch8_lq_040,,8.9 Magnetisation and Demagnetisation,Long,state_and_explain,State and explain the right hand grip rule for finding the polarity of a magnetised steel bar inside a solenoid.,solenoid کے اندر مقناطیس شدہ فولادی سلاخ کی قطبیت معلوم کرنے کے لیے right hand grip rule بیان کریں اور وضاحت کریں۔,Medium,5,high,
q_9_phy_ch8_lq_041,,8.9 Magnetisation and Demagnetisation,Long,describe,Describe how a steel bar can be magnetised by placing it inside a solenoid carrying direct current.,بیان کریں کہ direct current والی solenoid کے اندر رکھ کر فولادی سلاخ کو مقناطیس کیسے بنایا جا سکتا ہے۔,Medium,5,high,
q_9_phy_ch8_lq_042,,8.9 Magnetisation and Demagnetisation,Long,explain,"Explain three methods of demagnetising a magnet: heating, hammering and alternating current.",مقناطیس کی مقناطیسیت ختم کرنے کے تین طریقوں، یعنی heating، hammering اور alternating current کی وضاحت کریں۔,Medium,5,high,
,1,8.10 Applications of Magnets in Recording Technology,,,,,,,,1
q_9_phy_ch8_lq_043,,8.10 Applications of Magnets in Recording Technology,Long,describe,"Describe the use of electromagnets in recording sound, video and data through magnetisation of magnetic materials.",مقناطیسی مادّوں کی magnetisation کے ذریعے sound، video اور data recording میں برقی مقناطیسوں کا استعمال بیان کریں۔,Medium,5,medium,
q_9_phy_ch8_lq_044,,8.10 Applications of Magnets in Recording Technology,Long,explain,"Explain the process of magnetic tape recording using a recording head, iron core, gap and ferromagnetic coating.",recording head، iron core، gap اور ferromagnetic coating کی مدد سے magnetic tape recording کے عمل کی وضاحت کریں۔,Medium,5,high,
q_9_phy_ch8_lq_045,,8.10 Applications of Magnets in Recording Technology,Long,describe,Describe how hard disk recording writes and reads binary digits on a spinning magnetic disk.,بیان کریں کہ hard disk recording گھومتی ہوئی magnetic disk پر binary digits کو کیسے لکھتی اور پڑھتی ہے۔,Medium,5,high,
