question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_cs_ch7_001,1,7.1 Introduction to Artificial Intelligence (AI),Topic,topic_separator,,,,,,1
q_9_cs_ch7_lq_001,1,7.1 Introduction to Artificial Intelligence (AI),Long,discuss,Discuss the various applications of Artificial Intelligence in the field of education.,education کے field میں Artificial Intelligence کی مختلف applications پر بحث کریں۔,Medium,5,PRO,1
q_9_cs_ch7_lq_002,1,7.1 Introduction to Artificial Intelligence (AI),Long,classification,Explain the major sub-fields of Artificial Intelligence.,Artificial Intelligence کے major sub-fields کی وضاحت کریں۔,Medium,5,PRO,1
q_9_cs_ch7_lq_003,1,7.1 Introduction to Artificial Intelligence (AI),Long,classification,"Explain machine learning, deep learning, Natural Language Processing, computer vision, and robotics as major AI areas.",machine learning، deep learning، Natural Language Processing، computer vision اور robotics کو major AI areas کے طور پر explain کریں۔,Hard,5,ULTRA,1
q_9_cs_ch7_lq_004,1,7.1 Introduction to Artificial Intelligence (AI),Long,discuss,"Discuss applications of AI in healthcare, gaming, transportation, finance, social media, agriculture, and e-commerce.",healthcare، gaming، transportation، finance، social media، agriculture اور e-commerce میں AI applications پر بحث کریں۔,Hard,5,ULTRA,1
sep_9_cs_ch7_002,1,7.3 Introduction to Internet of Things (IoT),Topic,topic_separator,,,,,,1
q_9_cs_ch7_lq_005,1,7.3 Introduction to Internet of Things (IoT),Long,describe,Describe the components of an IoT system and explain how they work together.,IoT system کے components بیان کریں اور وضاحت کریں کہ وہ مل کر کیسے work کرتے ہیں۔,Medium,5,PRO,1
q_9_cs_ch7_lq_006,1,7.3 Introduction to Internet of Things (IoT),Long,application_case,"Explain IoT applications in smart homes, healthcare, transportation, and agriculture.",smart homes، healthcare، transportation اور agriculture میں IoT applications کی وضاحت کریں۔,Medium,5,ULTRA,1
q_9_cs_ch7_lq_007,1,7.3 Introduction to Internet of Things (IoT),Long,advantages_limitations,"Discuss security, privacy, device-vulnerability, software-update, password, and encryption concerns in IoT deployments.",IoT deployments میں security، privacy، device-vulnerability، software-update، password اور encryption concerns پر بحث کریں۔,Hard,5,ULTRA,1
sep_9_cs_ch7_003,1,7.2 AI Algorithms and Techniques,Topic,topic_separator,,,,,,1
q_9_cs_ch7_lq_008,1,7.2 AI Algorithms and Techniques,Long,compare,Compare explainable whitebox and unexplainable blackbox AI algorithms in terms of interpretability and decision-making transparency.,explainable whitebox اور unexplainable blackbox AI algorithms کا interpretability اور decision-making transparency کے لحاظ سے موازنہ کریں۔,Hard,5,ULTRA,1
