question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_10_cs_ch4_001,1,4.1 Decision Making,Topic,topic_separator,,,,,,1
q_10_cs_ch4_lq_001,1,4.1 Decision Making,Long,classification,"Explain the different types of decision-making statements in Python. Describe the if statement, if-else statement, and nested conditions with their syntax and suitable examples.",Python میں decision-making statements کی مختلف اقسام کی وضاحت کریں۔ if statement، if-else statement اور nested conditions کو ان کی syntax اور مناسب مثالوں کے ساتھ بیان کریں۔,Medium,5,PRO,1
sep_10_cs_ch4_002,1,4.2 Looping Constructs,Topic,topic_separator,,,,,,1
q_10_cs_ch4_lq_002,1,4.2 Looping Constructs,Long,compare,"Compare while loops and for loops in Python. Explain their syntax, working, and suitable use cases with examples.",Python میں while loops اور for loops کا موازنہ کریں۔ ان کی syntax، working اور مناسب استعمالات کو مثالوں کے ساتھ واضح کریں۔,Medium,5,PRO,1
q_10_cs_ch4_lq_003,1,4.2.3 range() Function and end Parameter,Long,state_and_explain,"Explain the range() function and its three forms: range(stop), range(start, stop), and range(start, stop, step). Also explain how the end parameter of print() changes output formatting, with suitable examples.","range() function اور اس کی تین forms کی وضاحت کریں: range(stop)، range(start, stop) اور range(start, stop, step)۔ مزید واضح کریں کہ print() کا end parameter output formatting کو کس طرح تبدیل کرتا ہے، مناسب مثالوں کے ساتھ۔",Medium,5,ULTRA,1
sep_10_cs_ch4_003,1,4.2.4 Nested Loops,Topic,topic_separator,,,,,,1
q_10_cs_ch4_lq_004,1,4.2.4 Nested Loops,Long,algorithm_explanation,Write a Python program using nested loops to display a regular pattern with three rows and five columns. Explain the role of the outer loop and inner loop.,nested loops استعمال کرتے ہوئے ایک Python پروگرام لکھیں جو تین rows اور پانچ columns پر مشتمل باقاعدہ pattern دکھائے۔ outer loop اور inner loop کے کردار کی وضاحت کریں۔,Medium,5,PRO,1
sep_10_cs_ch4_004,1,4.3 Libraries in Python,Topic,topic_separator,,,,,,1
q_10_cs_ch4_lq_005,1,4.3 Libraries in Python,Long,explain,"Explain how Python libraries improve programming efficiency. Describe how the random and statistics libraries are imported and used, with one suitable example of each.",وضاحت کریں کہ Python libraries programming efficiency کو کس طرح بہتر بناتی ہیں۔ random اور statistics libraries کو import اور استعمال کرنے کا طریقہ ہر ایک کی ایک مناسب مثال کے ساتھ بیان کریں۔,Medium,5,PRO,1
sep_10_cs_ch4_005,1,4.4 Lists in Python,Topic,topic_separator,,,,,,1
q_10_cs_ch4_lq_006,1,4.4 Lists in Python,Long,process_procedure,"Describe how to work with lists in Python, including list creation, item access, item modification, and adding new items. Provide suitable code examples for each operation.",Python میں lists کے ساتھ کام کرنے کا طریقہ بیان کریں، جس میں list creation، item access، item modification اور نئے items شامل کرنا شامل ہو۔ ہر operation کے لیے مناسب code examples دیں۔,Medium,5,PRO,1
q_10_cs_ch4_lq_007,1,4.4.4 Operations on Lists,Long,algorithm_explanation,Write a Python program that performs the following list operations: (a) creates a list of four popular Pakistani cities | (b) adds Quetta to the list | (c) changes Karachi to Chicken Karahi | (d) removes Nihari from the list. Display the updated list after the operations.,ایک Python پروگرام لکھیں جو درج ذیل list operations انجام دے: (a) پاکستان کے چار مشہور شہروں کی list بنائے | (b) Quetta کو list میں شامل کرے | (c) Karachi کو Chicken Karahi سے تبدیل کرے | (d) Nihari کو list سے remove کرے۔ operations کے بعد updated list دکھائیں۔,Hard,5,PRO,1
q_10_cs_ch4_lq_008,1,4.4.4 Operations on Lists,Long,describe,"Explain the append(), remove(), sort(), and reverse() methods used with Python lists. Describe the purpose of each method and provide a suitable example.",Python lists کے ساتھ استعمال ہونے والے append()، remove()، sort() اور reverse() methods کی وضاحت کریں۔ ہر method کا مقصد بیان کریں اور مناسب مثال دیں۔,Easy,5,ULTRA,1
sep_10_cs_ch4_006,1,4.5 Testing and Debugging in Python,Topic,topic_separator,,,,,,1
