question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b7_short_001,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,textbook_exercise_direct,مستقبل کی منصوبہ بندی کا معنی و مفہوم تحریر کریں۔,Medium,2,ELITE,1
q_10_isl_b7_short_002,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,textbook_exercise_direct,مستقبل کی منصوبہ بندی کے بارے میں ایک آیت مبارکہ کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b7_short_003,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,textbook_exercise_direct,حضرت یوسف علیہ السلام نے مستقبل کی منصوبہ بندی کیسے فرمائی؟,Medium,2,ELITE,1
q_10_isl_b7_short_004,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اسلام میں مستقبل کی منصوبہ بندی کی حکمت عملی,textbook_exercise_direct,نبی کریم ﷺ کی سیرت سے مستقبل کی منصوبہ بندی کی ایک مثال تحریر کریں۔,Medium,2,ELITE,1
q_10_isl_b7_short_005,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,textbook_exercise_direct,مستقبل کی منصوبہ بندی کے دو فوائد تحریر کیجیے۔,Medium,2,ELITE,1
q_10_isl_b7_short_006,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اسلامی تہذیب کے امتیازات,textbook_exercise_direct,تہذیب کا معنی و مفہوم تحریر کریں۔,Medium,2,ELITE,1
q_10_isl_b7_short_007,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اسلامی تہذیب کے امتیازات,textbook_exercise_direct,اسلامی تہذیب سے کیا مراد ہے؟,Medium,2,ELITE,1
q_10_isl_b7_short_008,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اسلامی تہذیب کے امتیازات,textbook_exercise_direct,اسلامی تہذیب میں احترام رسالت مآب ﷺ کا کیا مقام ہے؟,Medium,2,ELITE,1
q_10_isl_b7_short_009,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اسلامی تہذیب کے امتیازات,textbook_exercise_direct,اسلامی تہذیب میں انسانی اخوت اور کشادہ دلی کی کیا اہمیت ہے؟,Medium,2,ELITE,1
q_10_isl_b7_short_010,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اسلامی تہذیب کے امتیازات,textbook_exercise_direct,اسلامی تہذیب میں علم کی اہمیت بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b7_short_011,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,مستقبل اور منصوبہ بندی میں کیا تعلق ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_012,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,اسلام میں مستقبل کی تیاری کیوں اہم ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_013,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,توکل کا درست مفہوم بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_014,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,اسباب اختیار کرنے سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_015,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,توکل اور سستی میں فرق بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_016,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,حضرت یوسف علیہ السلام کی منصوبہ بندی سے کیا سبق ملتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_017,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,قحط کے مقابلے میں ذخیرہ اور انتظام کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b7_short_018,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,غزوہ خندق دفاعی منصوبہ بندی کی مثال کیسے ہے؟,Medium,2,ULTRA,1
q_10_isl_b7_short_019,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,extra_important_book_derived,حضرت سلمان فارسی رضی اللہ عنہ کے مشورے کی اہمیت بیان کریں۔,Medium,2,ULTRA,1
