question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch8_lq_001,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Topic,topic_separator,,,,,1
q_10_eng_ch8_lq_001,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
A clean, green, and pollution-free Pakistan is not just a dream; rather, it is a necessity for the survival and well-being of the people and the environment. In recent years, pollution has become one of the most serious challenges facing our country.",Medium,8,ELITE,1
q_10_eng_ch8_lq_002,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Pollution refers to the presence of harmful substances in our environment, which damage the air, water, and land. For instance, the smoke from vehicles and factories pollutes the air and makes it dangerous to breathe.",Medium,8,ELITE,1
q_10_eng_ch8_lq_003,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Plastic waste and chemicals dumped in rivers pollute the water. In addition, the cutting of trees and deforestation increase land pollution and reduce greenery. As a result, many people suffer from diseases such as asthma, skin infections, and heart problems.",Medium,8,ELITE,1
q_10_eng_ch8_lq_004,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Pakistan's rapid urbanization and industrial growth have also contributed to the rise in pollution. While development is necessary, it must go hand in hand with environmental protection. Many factories do not follow proper waste management rules.",Medium,8,ELITE,1
q_10_eng_ch8_lq_005,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Greenery plays a vital role in reducing pollution and improving the quality of life. Trees absorb carbon dioxide and release oxygen, which is essential for human survival. Besides, they also trap dust, reduce heat, and support biodiversity.",Medium,8,ELITE,1
q_10_eng_ch8_lq_006,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Creating awareness among the public is equally important. People need to understand that their daily choices can either harm or help the environment. People should be encouraged to recycle, reuse, and reduce waste.",Medium,8,ELITE,1
q_10_eng_ch8_lq_007,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Schools and colleges can play a strong role by teaching students about environmental protection and involving them in tree plantation and clean-up campaigns. Through these efforts, students become more responsible citizens who care for their surroundings.",Medium,8,ELITE,1
q_10_eng_ch8_lq_008,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Strong environmental policies and effective planning are crucial. It is important to strictly enforce environmental laws and hold polluters accountable. Promoting renewable energy sources such as solar and wind power can help reduce environmental damage.",Medium,8,ELITE,1
q_10_eng_ch8_lq_009,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Every household can contribute by keeping their surroundings clean, using eco-friendly products, and planting trees. Community-level activities such as Green Day or Clean Street Campaigns can unite people for a good cause.",Medium,8,ULTRA,1
