question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch10_lq_001,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Topic,topic_separator,,,,,1
q_10_eng_ch10_lq_001,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
It once occurred to a certain king, that if he always knew the right time to begin everything, if he knew who were the right people to listen to, and whom to avoid, he would never fail in anything he might undertake.",Medium,8,ELITE,1
q_10_eng_ch10_lq_002,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
He had it proclaimed throughout his kingdom that he would give a great reward to anyone who would teach him what was the right time for every action, who were the most necessary people, and how he might know the most important thing to do.",Medium,8,ELITE,1
q_10_eng_ch10_lq_003,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Some said that to know the right time for every action, one must draw up in advance a table of days, months, and years, and must live strictly according to it. Others said one should always attend to all that was going on.",Medium,8,ELITE,1
q_10_eng_ch10_lq_004,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Equally various were the answers to the second question. Some said the people the King most needed were his councillors; others, the priests; others, the doctors; while some said the warriors were the most necessary.",Medium,8,ELITE,1
q_10_eng_ch10_lq_005,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
All the answers being different, the King agreed with none of them. Still wishing to find the right answers, he decided to consult a hermit, widely renowned for his wisdom.",Medium,8,ELITE,1
q_10_eng_ch10_lq_006,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
The hermit lived in a wood which he never quitted. The King put on simple clothes, and before reaching the hermit's cell dismounted from his horse, and leaving his bodyguard behind, went on alone.",Medium,8,ELITE,1
q_10_eng_ch10_lq_007,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
When the King approached, the hermit was digging the ground in front of his hut. The hermit was frail and weak, and each time he stuck his spade into the ground and turned a little earth, he breathed heavily.",Medium,8,ELITE,1
q_10_eng_ch10_lq_008,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
The King turned round and saw a bearded man come running out of the wood. The man held his hands pressed against his stomach, and blood was flowing from under them. When he reached the King, he fell fainting on the ground.",Medium,8,ELITE,1
q_10_eng_ch10_lq_009,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
The King washed the wound as best he could, and bandaged it with his handkerchief and with a towel the hermit had. The blood would not stop flowing, so the King repeatedly washed and rebandaged the wound.",Medium,8,ELITE,1
