question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b6_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,Remember,حضرت امام زید بن علی رحمۃ اللہ علیہ کے بارے میں لقب کیا تھا؟,حلیف القرآن,تجارت,زراعت,سیاست,A | حلیف القرآن,Medium,1,ELITE,1
q_10_isl_b6_mcq_002,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,Remember,حضرت امام زید بن علی رحمۃ اللہ علیہ کے بارے میں والد کا نام کیا تھا؟,زراعت,سیاست,حضرت امام زین العابدین رحمۃ اللہ علیہ,تجارت,C | حضرت امام زین العابدین رحمۃ اللہ علیہ,Medium,1,ELITE,1
q_10_isl_b6_mcq_003,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,Remember,حضرت امام زید بن علی رحمۃ اللہ علیہ کے بارے میں والد کی وفات کے وقت عمر کتنی تھی؟,اٹھارہ سال,بیس سال,چالیس سال,60 ہجری,A | اٹھارہ سال,Medium,1,ELITE,1
q_10_isl_b6_mcq_004,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,Remember,حضرت امام زید بن علی رحمۃ اللہ علیہ کے بارے میں آپ سے منسوب فقہ کون سی ہے؟,زراعت,سیاست,فقہ زیدیہ,تجارت,C | فقہ زیدیہ,Medium,1,ULTRA,1
q_10_isl_b6_mcq_005,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,Remember,حضرت امام زید بن علی رحمۃ اللہ علیہ کے بارے میں وصال کے وقت عمر کتنی تھی؟,چھیالیس برس,تجارت,زراعت,سیاست,A | چھیالیس برس,Medium,1,ULTRA,1
q_10_isl_b6_mcq_006,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,Remember,حضرت امام زید بن علی رحمۃ اللہ علیہ کے بارے میں علمی پہچان کیا تھی؟,زراعت,سیاست,فقہ و حدیث,تجارت,C | فقہ و حدیث,Medium,1,ULTRA,1
q_10_isl_b6_mcq_007,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,Remember,حضرت امام زید بن علی رحمۃ اللہ علیہ کے بارے میں نمایاں صفت کیا تھی؟,حق گوئی و شجاعت,تجارت,زراعت,سیاست,A | حق گوئی و شجاعت,Medium,1,ULTRA,1
q_10_isl_b6_mcq_008,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,Remember,حضرت امام زید بن علی رحمۃ اللہ علیہ کے بارے میں حکومت کہاں قائم ہوئی؟,زراعت,سیاست,یمن,تجارت,C | یمن,Medium,1,ULTRA,1
q_10_isl_b6_mcq_009,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت عقبہ بن عامر رضی اللہ عنہ,Remember,حضرت عقبہ بن عامر رضی اللہ عنہ کے بارے میں قبیلہ کون سا تھا؟,جہینہ,تجارت,زراعت,سیاست,A | جہینہ,Medium,1,ELITE,1
q_10_isl_b6_mcq_010,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت عقبہ بن عامر رضی اللہ عنہ,Remember,حضرت عقبہ بن عامر رضی اللہ عنہ کے بارے میں نمایاں علمی میدان کیا تھا؟,زراعت,سیاست,قرآن و حدیث,تجارت,C | قرآن و حدیث,Medium,1,ELITE,1
q_10_isl_b6_mcq_011,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | صحابہ کرام رضی اللہ عنہم | حضرت عقبہ بن عامر رضی اللہ عنہ,Remember,حضرت عقبہ بن عامر رضی اللہ عنہ کے بارے میں آپ نے کس شہر میں علمی خدمت کی؟,مصر,تجارت,زراعت,سیاست,A | مصر,Medium,1,ELITE,1
