question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch4_lq_001,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Topic,topic_separator,,,,,1
q_10_eng_ch4_lq_001,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Earth is the planet where human life exists. It is endangered due to abrupt climate changes. Saving earth is our utmost duty to save future generations. Therefore, it is high time to take climate action to protect the planet.",Medium,8,ELITE,1
q_10_eng_ch4_lq_002,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Climate change is one of the most pressing challenges facing our world today. Rising global temperatures, melting ice caps, frequent natural disasters, and shifting weather patterns are all signs that the planet is in trouble.",Medium,8,ELITE,1
q_10_eng_ch4_lq_003,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Climate action refers to the efforts taken by individuals, governments, and organizations to reduce greenhouse gas emissions, adapt to changing climates, and protect our environment. It is not just an environmental issue, but also a social, economic, and moral responsibility that demands urgent and collective action.",Medium,8,ELITE,1
q_10_eng_ch4_lq_004,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
The Earth's climate is naturally regulated by a balance of gases in the atmosphere. However, human activities, especially since the Industrial Revolution, have disrupted this balance. The burning of fossil fuels such as coal, oil, and gas for energy releases carbon dioxide into the air.",Medium,8,ELITE,1
q_10_eng_ch4_lq_005,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Other harmful gases, like methane and nitrous oxide are produced through agriculture, deforestation, and industrial processes. These greenhouse gases trap heat in the atmosphere, causing the Earth's average temperature to rise; a phenomenon known as global warming.",Medium,8,ELITE,1
q_10_eng_ch4_lq_006,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
The effects of climate change are already visible. Glaciers are melting at alarming rates, leading to rising sea levels that threaten coastal communities. Extreme weather events such as hurricanes, floods, heatwaves, and wildfires, are becoming more frequent and intense, endangering lives and destroying ecosystems.",Medium,8,ELITE,1
q_10_eng_ch4_lq_007,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
Farmers struggle with unpredictable rainfall and droughts, which impact food production and increase hunger in vulnerable regions. Furthermore, climate change disproportionately affects poor and developing countries, even though they contribute the least to the problem.",Medium,8,ELITE,1
q_10_eng_ch4_lq_008,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
These communities often lack the resources to recover from disasters or adapt to environmental changes. This makes climate action not only a scientific necessity but also a matter of justice and fairness.",Medium,8,ULTRA,1
q_10_eng_ch4_lq_009,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q3 Textbook Paragraph | Translate into Urdu,Long,translate_to_urdu,"Translate the following passage into Urdu:
The most notable of these is the Paris Agreement, signed in 2015. Under this agreement, almost every country committed to limiting global warming to well below 2°C, with efforts to keep it below 1.5°C.",Medium,8,ELITE,1
