question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
,1,2.0 Mechanics and Branches of Motion,,,,,,,,,,,,1
q_9_phy_ch2_001,,2.0 Mechanics and Branches of Motion,Remember,Which branch of physics deals with the motion of objects and the forces that change it?,طبیعیات کی کون سی شاخ اجسام کی حرکت اور اس کو بدلنے والی قوتوں سے بحث کرتی ہے؟,Mechanics / میکانیات,Optics / بصریات,Magnetism / مقناطیسیت,Thermodynamics / حرارتِ حرکیات,A | Mechanics / میکانیات,Easy,1,high,
q_9_phy_ch2_002,,2.0 Mechanics and Branches of Motion,Remember,Which branch studies motion of objects without referring to forces?,کون سی شاخ قوتوں کا ذکر کیے بغیر اجسام کی حرکت کا مطالعہ کرتی ہے؟,Dynamics / ڈائنامکس,Kinematics / حرکیات,Relativity / اضافیت,Graphing / گراف بنانا,B | Kinematics / حرکیات,Easy,1,high,
q_9_phy_ch2_003,,2.0 Mechanics and Branches of Motion,Understand,Dynamics mainly deals with forces and their effect on which property of objects?,ڈائنامکس بنیادی طور پر قوتوں اور اجسام کی کس خاصیت پر ان کے اثر سے بحث کرتی ہے؟,Colour / رنگ,Motion / حرکت,Temperature / درجہ حرارت,Mass only / صرف کمیت,B | Motion / حرکت,Easy,1,high,
q_9_phy_ch2_004,,2.0 Mechanics and Branches of Motion,Understand,Which example shows an object in motion from everyday life?,روزمرہ زندگی میں حرکت کرنے والے جسم کی مثال کون سی ہے؟,A building fixed at one place / ایک جگہ قائم عمارت,A tree not changing position / اپنی جگہ موجود درخت,An aeroplane flying through air / ہوا میں اڑتا ہوا ہوائی جہاز,An electric pole fixed in ground / زمین میں لگا ہوا بجلی کا کھمبا,C | An aeroplane flying through air / ہوا میں اڑتا ہوا ہوائی جہاز,Easy,1,high,
,1,2.1 Scalars and Vectors,,,,,,,,,,,,1
q_9_phy_ch2_005,,2.1 Scalars and Vectors,Remember,A scalar quantity can be described completely by which feature?,ایک عددی مقدار کو مکمل طور پر کس خاصیت سے بیان کیا جا سکتا ہے؟,Magnitude only / صرف مقدار,Direction only / صرف سمت,Magnitude and direction / مقدار اور سمت,Time and direction / وقت اور سمت,A | Magnitude only / صرف مقدار,Easy,1,high,
q_9_phy_ch2_006,,2.1 Scalars and Vectors,Remember,A vector quantity needs which two things to describe it completely?,ایک سمتی مقدار کو مکمل طور پر بیان کرنے کے لیے کن دو چیزوں کی ضرورت ہوتی ہے؟,Mass and time / کمیت اور وقت,Magnitude and direction / مقدار اور سمت,Distance and unit only / صرف فاصلہ اور اکائی,Scale and graph only / صرف پیمانہ اور گراف,B | Magnitude and direction / مقدار اور سمت,Easy,1,high,
q_9_phy_ch2_007,,2.1 Scalars and Vectors,Understand,Which group contains only scalar quantities mentioned in the chapter?,کون سا گروہ باب میں دی گئی صرف عددی مقداروں پر مشتمل ہے؟,"Distance, length, time / فاصلہ، لمبائی، وقت","Velocity, force, acceleration / ولاسٹی، قوت، اسراع","Weight, displacement, velocity / وزن، نقل مکانی، ولاسٹی","Force, time, displacement / قوت، وقت، نقل مکانی","A | Distance, length, time / فاصلہ، لمبائی، وقت",Medium,1,high,
q_9_phy_ch2_008,,2.1 Scalars and Vectors,Analyze,Which group contains vector quantities?,کون سا گروہ سمتی مقداروں پر مشتمل ہے؟,"Mass, time, speed / کمیت، وقت، رفتار","Energy, temperature, length / توانائی، درجہ حرارت، لمبائی","Displacement, velocity, acceleration / نقل مکانی، ولاسٹی، اسراع","Distance, speed, temperature / فاصلہ، رفتار، درجہ حرارت","C | Displacement, velocity, acceleration / نقل مکانی، ولاسٹی، اسراع",Hard,1,high,
q_9_phy_ch2_009,,2.1 Scalars and Vectors,Understand,Why is the velocity of a car moving towards north a vector quantity?,شمال کی طرف چلتی ہوئی گاڑی کی ولاسٹی سمتی مقدار کیوں ہے؟,It has magnitude only / اس میں صرف مقدار ہوتی ہے,It has no unit / اس کی کوئی اکائی نہیں,It has magnitude and direction / اس میں مقدار اور سمت دونوں ہوتی ہیں,It can be added like numbers / اسے اعداد کی طرح جمع کیا جا سکتا ہے,C | It has magnitude and direction / اس میں مقدار اور سمت دونوں ہوتی ہیں,Medium,1,high,
q_9_phy_ch2_010,,2.1 Scalars and Vectors,Apply,Which addition is valid for scalar quantities as shown in the chapter?,باب میں دکھائی گئی عددی مقداروں کے لیے کون سا جمع درست ہے؟,5 metres + 3 metres = 8 metres / 5 میٹر + 3 میٹر = 8 میٹر,5 metres + north = 8 metres / 5 میٹر + شمال = 8 میٹر,5 metres + 3 seconds = 8 metres / 5 میٹر + 3 سیکنڈ = 8 میٹر,5 metres + 3 newtons = 8 metres / 5 میٹر + 3 نیوٹن = 8 میٹر,A | 5 metres + 3 metres = 8 metres / 5 میٹر + 3 میٹر = 8 میٹر,Medium,1,high,
