question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
sep_10_q1c_0001,1,ENGLISH_A | Q1(c) WORD MEANINGS | COMPLETE BOOK + MODEL PAPER MASTER,Topic,,,,,,,,,,1
sep_10_q1c_0002,1,ENGLISH_A | Q1(c) WORD MEANINGS | UNITS 1-5 + REVIEW-I | PAPER QUOTA 2 MARKS,Topic,,,,,,,,,,1
sep_10_q1c_0003,1,"ENGLISH_A | Q1(c) WORD MEANINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Topic,,,,,,,,,,1
q_10_q1c_0001,1,"ENGLISH_A | Q1(c) WORD MEANINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Understand,The word “accountable” means:,rise high in air,leave out,responsible for actions,shared by both sides,C | responsible for actions,Medium,1,ULTRA,1
q_10_q1c_0002,1,"ENGLISH_A | Q1(c) WORD MEANINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Understand,The word “among” means:,very great or intense,included in a group,treated cruelly or unfairly,make great efforts,B | included in a group,Medium,1,PRO,1
q_10_q1c_0003,1,"ENGLISH_A | Q1(c) WORD MEANINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Understand,The word “elevated” means:,raised to a higher level,male-dominated social system,shortened forms,following tradition,A | raised to a higher level,Medium,1,PRO,1
q_10_q1c_0004,1,"ENGLISH_A | Q1(c) WORD MEANINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Understand,The word “emancipation” means:,important or well-known,causing disagreement,observed or experienced,freedom from slavery,D | freedom from slavery,Medium,1,ULTRA,1
q_10_q1c_0005,1,"ENGLISH_A | Q1(c) WORD MEANINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Understand,The word “emphasized” means:,an informal talk,very important,gave special importance,changes for improvement,C | gave special importance,Medium,1,ULTRA,1
q_10_q1c_0006,1,"ENGLISH_A | Q1(c) WORD MEANINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Understand,The word “financial” means:,event causing great harm,related to money,closely connected,develop gradually,B | related to money,Medium,1,PRO,1
q_10_q1c_0007,1,"ENGLISH_A | Q1(c) WORD MEANINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Understand,The word “inherit” means:,receive property after death,found over a large area,revelation of something,out of proper proportion,A | receive property after death,Medium,1,PRO,1
q_10_q1c_0008,1,"ENGLISH_A | Q1(c) WORD MEANINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Understand,The word “inseparable” means:,a signal light,extremely interesting,interrupt or disturb,unable to be separated,D | unable to be separated,Medium,1,ULTRA,1
q_10_q1c_0009,1,"ENGLISH_A | Q1(c) WORD MEANINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Understand,The word “mutual” means:,ability to be modified,discharge of gas,shared by both sides,producing flowers,C | shared by both sides,Medium,1,PRO,1
q_10_q1c_0010,1,"ENGLISH_A | Q1(c) WORD MEANINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Understand,The word “oppressed” means:,strong effect,treated cruelly or unfairly,shining with warmth,stylised picture symbols,B | treated cruelly or unfairly,Medium,1,PRO,1
q_10_q1c_0011,1,"ENGLISH_A | Q1(c) WORD MEANINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Understand,The word “patriarchal” means:,male-dominated social system,freedom from war,combination of elements,a new method or idea,A | male-dominated social system,Medium,1,ULTRA,1
q_10_q1c_0012,1,"ENGLISH_A | Q1(c) WORD MEANINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Understand,The word “prominent” means:,deep satisfaction,including all,extreme in force,important or well-known,D | important or well-known,Medium,1,PRO,1
q_10_q1c_0013,1,"ENGLISH_A | Q1(c) WORD MEANINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Understand,The word “reforms” means:,leave out,a good chance,changes for improvement,rise high in air,C | changes for improvement,Medium,1,PRO,1
