question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_10_chem_ch19_001,1,19.1 Industrial Production of Ammonia — Haber Process,Topic,topic_separator,,,,,,1
q_10_chem_ch19_lq_001,1,19.1 Industrial Production of Ammonia — Haber Process,Long,diagram_based,"Describe the industrial production of ammonia by the Haber process with a labelled flow diagram. Include the balanced equation, raw materials, ratio of gases, temperature, pressure, catalyst, cooling, liquefaction and recycling.",labelled flow diagram کے ساتھ Haber process کے ذریعے ammonia کی industrial production بیان کریں۔ balanced equation، raw materials، gases کا ratio، temperature، pressure، catalyst، cooling، liquefaction اور recycling شامل کریں۔,Hard,5,ULTRA,1
q_10_chem_ch19_lq_002,1,19.1 Industrial Production of Ammonia — Haber Process,Long,cause_effect,"Explain why high pressure, moderately high temperature, an iron catalyst, cooling and recycling are used in the Haber process.",explain کریں کہ Haber process میں high pressure، moderately high temperature، iron catalyst، cooling اور recycling کیوں use کیے جاتے ہیں۔,Hard,5,ELITE,1
sep_10_chem_ch19_002,1,19.1 Sources of Nitrogen and Hydrogen,Topic,topic_separator,,,,,,1
q_10_chem_ch19_lq_003,1,19.1 Sources of Nitrogen and Hydrogen,Long,process_procedure,Describe how nitrogen is obtained from air by liquefaction and fractional distillation.,air کی liquefaction اور fractional distillation کے ذریعے nitrogen obtain کرنے کا process بیان کریں۔,Medium,5,PRO,1
q_10_chem_ch19_lq_004,1,19.1 Sources of Nitrogen and Hydrogen,Long,process_procedure,"Describe how hydrogen for the Haber process is produced from methane and steam, including the equations for carbon monoxide formation and the water-gas shift reaction.",Haber process کے لیے methane اور steam سے hydrogen production بیان کریں، اور carbon monoxide formation اور water-gas shift reaction کی equations شامل کریں۔,Medium,5,PRO,1
sep_10_chem_ch19_003,1,19.2 Industrial Production of Sulphuric Acid — Contact Process,Topic,topic_separator,,,,,,1
q_10_chem_ch19_lq_005,1,19.2 Industrial Production of Sulphuric Acid — Contact Process,Long,diagram_based,Describe the Contact process for the industrial manufacture of sulphuric acid with a labelled flow diagram and all major equations.,labelled flow diagram اور all major equations کے ساتھ sulphuric acid کی industrial manufacture کے لیے Contact process بیان کریں۔,Hard,5,ULTRA,1
sep_10_chem_ch19_004,1,19.2 Contact Process — Preparation and Purification of Sulphur Dioxide,Topic,topic_separator,,,,,,1
q_10_chem_ch19_lq_006,1,19.2 Contact Process — Preparation and Purification of Sulphur Dioxide,Long,process_procedure,"Explain how sulphur dioxide is prepared by burning sulphur or roasting iron pyrite, and describe its purification and drying before catalytic oxidation.",explain کریں کہ sulphur dioxide کو sulphur burn کر کے یا iron pyrite roast کر کے کیسے prepare کیا جاتا ہے، اور catalytic oxidation سے پہلے اس کی purification اور drying بیان کریں۔,Medium,5,PRO,1
sep_10_chem_ch19_005,1,19.2 Contact Process — Catalytic Oxidation and Absorption,Topic,topic_separator,,,,,,1
q_10_chem_ch19_lq_007,1,19.2 Contact Process — Catalytic Oxidation and Absorption,Long,cause_effect,Explain the conditions used for the oxidation of sulphur dioxide to sulphur trioxide and why impurities must be removed before the gases reach the catalyst.,sulphur dioxide کی sulphur trioxide میں oxidation کے لیے used conditions explain کریں اور gases کے catalyst تک پہنچنے سے پہلے impurities remove کرنا کیوں ضروری ہے۔,Medium,5,PRO,1
sep_10_chem_ch19_006,1,19.2 Contact Process — Oleum Formation,Topic,topic_separator,,,,,,1
q_10_chem_ch19_lq_008,1,19.2 Contact Process — Oleum Formation,Long,explain,"Explain why sulphur trioxide is absorbed in concentrated sulphuric acid rather than directly in water, and describe the conversion of oleum into sulphuric acid.",explain کریں کہ sulphur trioxide کو directly water کے بجائے concentrated sulphuric acid میں absorb کیوں کیا جاتا ہے، اور oleum کی sulphuric acid میں conversion بیان کریں۔,Hard,5,ELITE,1
sep_10_chem_ch19_007,1,19.3 Classification and Properties of Oxides,Topic,topic_separator,,,,,,1
q_10_chem_ch19_lq_009,1,19.3 Classification and Properties of Oxides,Long,classification,"Classify oxides as basic, acidic, neutral and amphoteric. Explain the defining properties of each class with suitable equations and examples.",oxides کو basic، acidic، neutral اور amphoteric میں classify کریں۔ suitable equations اور examples کے ساتھ each class کی defining properties explain کریں۔,Medium,5,ULTRA,1
sep_10_chem_ch19_008,1,19.3 Acidic and Basic Oxides,Topic,topic_separator,,,,,,1
q_10_chem_ch19_lq_010,1,19.3 Acidic and Basic Oxides,Long,compare,"Compare acidic and basic oxides in origin, bonding, reactions with water, action on litmus and reactions with bases or acids.",origin، bonding، water کے ساتھ reactions، litmus پر action اور bases یا acids کے ساتھ reactions کی بنیاد پر acidic اور basic oxides کا موازنہ کریں۔,Medium,5,PRO,1
sep_10_chem_ch19_009,1,19.3 Amphoteric and Neutral Oxides,Topic,topic_separator,,,,,,1
q_10_chem_ch19_lq_011,1,19.3 Amphoteric and Neutral Oxides,Long,compare,"Compare amphoteric and neutral oxides, using zinc oxide, aluminium oxide, carbon monoxide and nitric oxide as examples.",zinc oxide، aluminium oxide، carbon monoxide اور nitric oxide کی examples استعمال کرتے ہوئے amphoteric اور neutral oxides کا موازنہ کریں۔,Medium,5,PRO,1
sep_10_chem_ch19_010,1,19.4 Chemical Properties of Metals,Topic,topic_separator,,,,,,1
q_10_chem_ch19_lq_012,1,19.4 Chemical Properties of Metals,Long,discuss,"Discuss the reactions of metals with cold water, steam, oxygen and dilute acids, giving suitable equations and relating the observations to metal reactivity.",metals کے cold water، steam، oxygen اور dilute acids کے ساتھ reactions suitable equations کے ساتھ discuss کریں اور observations کو metal reactivity کے ساتھ relate کریں۔,Hard,5,ULTRA,1
sep_10_chem_ch19_011,1,19.4 First- and Second-Group Metals,Topic,topic_separator,,,,,,1
q_10_chem_ch19_lq_013,1,19.4 First- and Second-Group Metals,Long,compare,Differentiate between first-group and second-group metals on the basis of their reactions with oxygen and water.,oxygen اور water کے ساتھ reactions کی بنیاد پر first-group اور second-group metals میں فرق بیان کریں۔,Medium,5,PRO,1
sep_10_chem_ch19_012,1,19.5 Reactivity Series of Metals,Topic,topic_separator,,,,,,1
q_10_chem_ch19_lq_014,1,19.5 Reactivity Series of Metals,Long,state_and_explain,"Explain how the reactivity series of metals is constructed from reactions with water, steam, oxygen and dilute acids. State the significance of hydrogen in the series.",explain کریں کہ water، steam، oxygen اور dilute acids کے ساتھ reactions سے metals کی reactivity series کیسے construct کی جاتی ہے۔ series میں hydrogen کی significance بیان کریں۔,Medium,5,PRO,1
q_10_chem_ch19_lq_015,1,19.5 Reactivity Series of Metals,Long,application_case,"Use the reactivity series to predict displacement reactions, reaction vigour with dilute acids, reactions with water or steam, and relative reducing strength of metals.",reactivity series استعمال کرتے ہوئے displacement reactions، dilute acids کے ساتھ reaction vigour، water یا steam کے ساتھ reactions اور metals کی relative reducing strength predict کریں۔,Hard,5,ELITE,1
sep_10_chem_ch19_013,1,"19.6 Oxides of Nitrogen, PAN and Photochemical Smog",Topic,topic_separator,,,,,,1
q_10_chem_ch19_lq_016,1,"19.6 Oxides of Nitrogen, PAN and Photochemical Smog",Long,cause_effect,"Explain how oxides of nitrogen are produced naturally and by human activities, and describe their reactions with volatile organic compounds in sunlight to form ozone, aldehydes and PAN.",explain کریں کہ oxides of nitrogen natural اور human activities سے کیسے produce ہوتے ہیں، اور sunlight میں volatile organic compounds کے ساتھ ان کے reactions سے ozone، aldehydes اور PAN formation بیان کریں۔,Hard,5,ULTRA,1
sep_10_chem_ch19_014,1,19.6 Oxides of Nitrogen and Acid Rain,Topic,topic_separator,,,,,,1
q_10_chem_ch19_lq_017,1,19.6 Oxides of Nitrogen and Acid Rain,Long,discuss,"Describe the direct and catalytic roles of oxides of nitrogen in the formation of acid rain. Include the formation of nitric acid, nitrous acid and sulphuric acid, and state the harmful effects of acid rain.",acid rain formation میں oxides of nitrogen کے direct اور catalytic roles بیان کریں۔ nitric acid، nitrous acid اور sulphuric acid کی formation اور acid rain کے harmful effects شامل کریں۔,Hard,5,ULTRA,1
