question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
,1,2.1 Scalars and Vectors,,,,,,,,
q_9_phy_ch2_lq_001,,2.1 Scalars and Vectors,Long,explain,Explain scalar and vector quantities with suitable examples and show how they differ from each other.,اسکیلر اور ویکٹر مقداروں کی مناسب مثالوں کے ساتھ وضاحت کریں اور ان کے درمیان فرق ظاہر کریں۔,Medium,5,high,
q_9_phy_ch2_lq_002,,2.1 Scalars and Vectors,Long,describe,"Describe how vectors are represented graphically by using reference axes, direction, magnitude, and scale.",ریفرنس ایکسز، سمت، مقدار اور اسکیل کی مدد سے ویکٹرز کو گرافی طور پر ظاہر کرنے کا طریقہ بیان کریں۔,Medium,5,high,
q_9_phy_ch2_lq_003,,2.1 Scalars and Vectors,Long,state_and_explain,State and explain the head-to-tail rule for addition of vectors with the idea of resultant vector.,ویکٹرز کو جمع کرنے کا head-to-tail rule بیان کریں اور محصل ویکٹر کے تصور کے ساتھ اس کی وضاحت کریں۔,Medium,5,high,
,1,"2.2 Rest, Motion, and Types of Motion",,,,,,,,
q_9_phy_ch2_lq_004,,"2.2 Rest, Motion, and Types of Motion",Long,explain,Explain the relative nature of rest and motion with an example of a person in a moving train.,چلتی ہوئی ٹرین میں موجود شخص کی مثال سے سکون اور حرکت کی نسبتی نوعیت کی وضاحت کریں۔,Medium,5,high,
q_9_phy_ch2_lq_005,,"2.2 Rest, Motion, and Types of Motion",Long,describe,"Describe translatory, rotatory, and vibratory motions with examples.",انتقالی، گردشی اور ارتعاشی حرکات کو مثالوں کے ساتھ بیان کریں۔,Medium,5,high,
,1,2.4 Distance and Displacement,,,,,,,,
q_9_phy_ch2_lq_006,,2.4 Distance and Displacement,Long,compare,"Compare distance and displacement by explaining actual path, shortest path, direction, and physical nature.",اصل راستہ، کم ترین راستہ، سمت اور طبیعی نوعیت کی مدد سے فاصلہ اور ازالۂ مکان کا موازنہ کریں۔,Medium,5,high,
,1,"2.5 Speed, Velocity, and Acceleration",,,,,,,,
q_9_phy_ch2_lq_007,,"2.5 Speed, Velocity, and Acceleration",Long,compare,"Compare speed and velocity by discussing formula, unit, direction, and examples.",فارمولا، اکائی، سمت اور مثالوں کی مدد سے رفتار اور ولاسٹی کا موازنہ کریں۔,Medium,5,high,
q_9_phy_ch2_lq_008,,"2.5 Speed, Velocity, and Acceleration",Long,explain,"Explain uniform velocity, non-uniform velocity, acceleration, deceleration, and uniform acceleration with examples.",یکساں ولاسٹی، غیر یکساں ولاسٹی، تعجیل، کمیٔ رفتار اور یکساں تعجیل کو مثالوں کے ساتھ واضح کریں۔,Hard,5,high,
,1,2.7 Graphical Analysis of Motion,,,,,,,,
q_9_phy_ch2_lq_009,,2.7 Graphical Analysis of Motion,Long,explain,"Explain the use of distance-time graphs to identify uniform speed, acceleration, deceleration, and rest.",فاصلہ-وقت گراف کی مدد سے یکساں رفتار، تعجیل، کمیٔ رفتار اور سکون کی نشاندہی کی وضاحت کریں۔,Hard,5,high,
