question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch5_mcq_001,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Topic,,,,,,,,,,1
q_10_eng_ch5_001,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Where had the Prince lived?,King's Palace,Royal Garden,Queen's Castle,Sans-Souci,D | Sans-Souci,Easy,1,ELITE,1
q_10_eng_ch5_002,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Where was the Swallow going?,Eastern Asia,Nile Valley,Egypt,South America,C | Egypt,Easy,1,ELITE,1
q_10_eng_ch5_003,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Prince gave the seamstress his:,crystal bead,ruby jewel,silver ring,gold feather,B | ruby jewel,Easy,1,ELITE,1
q_10_eng_ch5_004,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Prince's eyes were made of:,rare sapphires,white pearls,blue glass,diamonds,A | rare sapphires,Easy,1,ELITE,1
q_10_eng_ch5_005,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,The Mayor decided to:,paint statue,rebuild statue,burn statue,remove statue,D | remove statue,Easy,1,ELITE,1
q_10_eng_ch5_006,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,"At the end, the heart:",turned black,vanished,broke apart,melted fully,C | broke apart,Easy,1,ELITE,1
q_10_eng_ch5_007,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,The Swallow ______ the gold leaves.,ate,gave away,buried,sold,B | gave away,Easy,1,ELITE,1
q_10_eng_ch5_008,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Thrown on the dust-heap:,lead heart,gold dust,bird bones,silver wings,A | lead heart,Easy,1,ELITE,1
sep_10_eng_ch5_mcq_002,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Topic,,,,,,,,,,1
q_10_eng_ch5_009,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“agility” means:,quick movement,very bright,great sadness,soft surface,A | quick movement,Medium,1,ULTRA,1
q_10_eng_ch5_010,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“alighted” means:,moving slowly,fully hidden,private room,landed,D | landed,Medium,1,ELITE,1
q_10_eng_ch5_011,1,ENGLISH_A | Unit 5 - The Happy Prince by Oscar Wilde | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“coarse” means:,old custom,fixed rule,rough,formal speech,C | rough,Medium,1,ULTRA,1
