question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch4_sq_001,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch4_sq_001,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,"What is climate action, according to the essay?",Medium,2,ELITE,1
q_10_eng_ch4_sq_002,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Mention at least two human activities that contribute to climate change.,Medium,2,ELITE,1
q_10_eng_ch4_sq_003,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Name the two negative effects of climate change mentioned in the essay.,Medium,2,ELITE,1
q_10_eng_ch4_sq_004,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What is the purpose of the Paris Agreement?,Medium,2,ELITE,1
q_10_eng_ch4_sq_005,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Give an example of how individuals can take part in climate action.,Medium,2,ELITE,1
q_10_eng_ch4_sq_006,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Why do you think that climate change is our moral responsibility?,Medium,2,ELITE,1
q_10_eng_ch4_sq_007,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,"Why are the poor countries more vulnerable to the effects of climate change, even though they pollute less?",Medium,2,ELITE,1
sep_10_eng_ch4_sq_002,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | In-Text Questions,topic_separator,,,,,1
q_10_eng_ch4_sq_008,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | In-Text Questions,in_text_question,What is the main goal of the Paris Agreement?,Medium,2,ELITE,1
q_10_eng_ch4_sq_009,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | In-Text Questions,in_text_question,How can individuals contribute to protecting the environment?,Medium,2,ELITE,1
sep_10_eng_ch4_sq_003,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,topic_separator,,,,,1
q_10_eng_ch4_sq_010,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,theme_message,Why does the writer call saving the Earth our utmost duty?,Medium,2,ELITE,1
q_10_eng_ch4_sq_011,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,evidence_based,What signs show that the planet is in trouble?,Medium,2,ELITE,1
q_10_eng_ch4_sq_012,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How is climate action defined in the lesson?,Medium,2,ELITE,1
q_10_eng_ch4_sq_013,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,theme_message,Why is climate change also a social and moral issue?,Hard,2,ELITE,1
q_10_eng_ch4_sq_014,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,How is the Earth's climate naturally regulated?,Medium,2,ULTRA,1
q_10_eng_ch4_sq_015,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,How have human activities disrupted the atmospheric balance?,Medium,2,ELITE,1
q_10_eng_ch4_sq_016,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,evidence_based,Which fossil fuels are mentioned in the lesson?,Easy,2,ULTRA,1
q_10_eng_ch4_sq_017,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,How do greenhouse gases cause global warming?,Medium,2,ELITE,1
q_10_eng_ch4_sq_018,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,evidence_based,What are two visible effects of climate change?,Easy,2,ELITE,1
q_10_eng_ch4_sq_019,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,How does climate change threaten coastal communities?,Medium,2,ULTRA,1
