question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,3.1 Network as a System,Topic,,,,,,,,,,,1
q_9_cs_ch3_001,1,3.1 Network as a System,Remember,What is the primary objective of a computer network?,computer network کا بنیادی objective کیا ہے؟,To increase monitor brightness / monitor brightness بڑھانا,To enable resource sharing and data communication / resource sharing اور data communication کو ممکن بنانا,To replace all operating systems / تمام operating systems replace کرنا,To store data without communication / communication کے بغیر data store کرنا,B | To enable resource sharing and data communication / resource sharing اور data communication کو ممکن بنانا,Easy,1,PRO,1
q_9_cs_ch3_002,1,3.1 Network as a System,Understand,Why is a computer network considered a system?,computer network کو system کیوں سمجھا جاتا ہے؟,It contains only one isolated device / اس میں صرف ایک isolated device ہوتا ہے,It has no input or output / اس کا کوئی input یا output نہیں,It never interacts with users / یہ users کے ساتھ کبھی interact نہیں کرتا,Its interconnected components work together toward communication and sharing goals / اس کے interconnected components communication اور sharing goals کے لیے مل کر کام کرتے ہیں,D | Its interconnected components work together toward communication and sharing goals / اس کے interconnected components communication اور sharing goals کے لیے مل کر کام کرتے ہیں,Medium,1,ULTRA,1
TOPIC_SEP,1,3.2 Fundamental Concepts in Data Communication,Topic,,,,,,,,,,,1
q_9_cs_ch3_003,1,3.2 Fundamental Concepts in Data Communication,Remember,What is data communication?,data communication کیا ہے؟,The exchange of data between devices through a transmission medium / transmission medium کے ذریعے devices کے درمیان data کا exchange,The physical repair of a computer / کمپیوٹر کی physical repair,The design of a web page / web page کا design,The conversion of software into hardware / software کو hardware میں convert کرنا,A | The exchange of data between devices through a transmission medium / transmission medium کے ذریعے devices کے درمیان data کا exchange,Easy,1,PRO,1
q_9_cs_ch3_004,1,3.2 Fundamental Concepts in Data Communication,Remember,Which is a key component of data communication?,درج ذیل میں سے کون data communication کا key component ہے؟,Spreadsheet style / spreadsheet style,Screen colour / screen colour,Sender / sender,File decoration / file decoration,C | Sender / sender,Easy,1,ULTRA,1
q_9_cs_ch3_005,1,3.2 Fundamental Concepts in Data Communication,Remember,What carries data from sender to receiver?,sender سے receiver تک data کیا لے جاتا ہے؟,Application icon / application icon,Printer cartridge / printer cartridge,Transmission medium / transmission medium,Logic diagram / logic diagram,C | Transmission medium / transmission medium,Easy,1,ULTRA,1
q_9_cs_ch3_006,1,3.2 Fundamental Concepts in Data Communication,Understand,What is the role of a protocol in data communication?,data communication میں protocol کا role کیا ہے؟,It defines rules for exchanging data / یہ data exchange کرنے کے rules define کرتا ہے,It physically stores every cable / یہ ہر cable physically store کرتا ہے,It increases screen resolution / یہ screen resolution بڑھاتا ہے,It replaces the network topology / یہ network topology replace کرتا ہے,A | It defines rules for exchanging data / یہ data exchange کرنے کے rules define کرتا ہے,Medium,1,PRO,1
TOPIC_SEP,1,3.3 Networking Devices,Topic,,,,,,,,,,,1
q_9_cs_ch3_007,1,3.3 Networking Devices,Remember,Which device connects multiple networks and directs data packets between them?,کون سا device multiple networks کو connect کرتا اور data packets کو ان کے درمیان direct کرتا ہے؟,Hub / ہب,Keyboard / کی بورڈ,Printer / پرنٹر,Router / راؤٹر,D | Router / راؤٹر,Easy,1,PRO,1
q_9_cs_ch3_008,1,3.3 Networking Devices,Understand,What is the main function of a switch?,switch کا بنیادی function کیا ہے؟,To convert domain names into IP addresses / domain names کو IP addresses میں convert کرنا,To connect devices in a local network and forward data to the intended device / local network میں devices کو connect کرنا اور data کو intended device تک forward کرنا,To provide paper output / paper output فراہم کرنا,To generate analog sound / analog sound generate کرنا,B | To connect devices in a local network and forward data to the intended device / local network میں devices کو connect کرنا اور data کو intended device تک forward کرنا,Medium,1,ULTRA,1
q_9_cs_ch3_009,1,3.3 Networking Devices,Understand,How does a hub generally handle incoming data?,hub incoming data کو عموماً کیسے handle کرتا ہے؟,It sends data only to the exact destination port / یہ data صرف exact destination port کو بھیجتا ہے,It sends the data to all connected devices / یہ data تمام connected devices کو بھیجتا ہے,It translates domain names / یہ domain names translate کرتا ہے,It assigns passwords automatically / یہ passwords automatically assign کرتا ہے,B | It sends the data to all connected devices / یہ data تمام connected devices کو بھیجتا ہے,Medium,1,ELITE,1
q_9_cs_ch3_010,1,3.3 Networking Devices,Remember,What does a modem primarily do?,modem بنیادی طور پر کیا کرتا ہے؟,It creates HTML tables / یہ HTML tables بناتا ہے,It scans for computer viruses only / یہ صرف computer viruses scan کرتا ہے,It stores operating-system files permanently / یہ operating-system files permanently store کرتا ہے,It converts signals for communication over a network link / یہ network link پر communication کے لیے signals convert کرتا ہے,D | It converts signals for communication over a network link / یہ network link پر communication کے لیے signals convert کرتا ہے,Medium,1,ULTRA,1
q_9_cs_ch3_011,1,3.3 Networking Devices,Remember,What is the purpose of a wireless access point?,wireless access point کا purpose کیا ہے؟,To allow wireless devices to connect to a network / wireless devices کو network سے connect ہونے دینا,To print network reports / network reports print کرنا,To perform Boolean addition / Boolean addition کرنا,To replace the router in every case / ہر case میں router replace کرنا,A | To allow wireless devices to connect to a network / wireless devices کو network سے connect ہونے دینا,Easy,1,ULTRA,1
