question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
,1,7.1 Kinetic Molecular Theory of Matter,,,,,,,1
q_9_phy_ch7_sq_001,,7.1 Kinetic Molecular Theory of Matter,state,State two main points of kinetic molecular theory of matter.,مادے کے حرکی سالماتی نظریے کے دو اہم نکات بیان کریں۔,Easy,2,high,
q_9_phy_ch7_sq_002,,7.1 Kinetic Molecular Theory of Matter,explain,How does intermolecular force depend upon the distance between molecules?,بین السالماتی قوت سالمات کے درمیان فاصلے پر کس طرح منحصر ہوتی ہے؟,Easy,2,high,
q_9_phy_ch7_sq_003,,7.1 Kinetic Molecular Theory of Matter,explain,Why do solids have a fixed volume and a fixed shape according to particle theory of matter?,مادے کے ذرّاتی نظریے کے مطابق ٹھوس اجسام کا حجم اور شکل مقرر کیوں ہوتی ہے؟,Medium,2,high,
q_9_phy_ch7_sq_004,,7.1 Kinetic Molecular Theory of Matter,explain,What are the reasons that gases have neither a fixed volume nor a fixed shape?,گیسوں کا نہ مقرر حجم ہوتا ہے اور نہ مقرر شکل، اس کی وجوہات کیا ہیں؟,Medium,2,high,
q_9_phy_ch7_sq_005,,7.1 Kinetic Molecular Theory of Matter,compare,"Compare the spacing and motion of molecules in solid, liquid and gaseous states.",ٹھوس، مائع اور گیس حالتوں میں سالمات کے فاصلے اور حرکت کا موازنہ کریں۔,Medium,2,high,
q_9_phy_ch7_sq_006,,7.1 Kinetic Molecular Theory of Matter,explain,Why does the temperature of a substance rise when it is heated?,جب کسی مادے کو گرم کیا جاتا ہے تو اس کا درجہ حرارت کیوں بڑھتا ہے؟,Medium,2,high,
q_9_phy_ch7_sq_007,,7.1 Kinetic Molecular Theory of Matter,analyze,Why would you not expect all molecules in a gas to have the same speed?,آپ گیس کے تمام سالمات سے ایک جیسی رفتار کی توقع کیوں نہیں کریں گے؟,Hard,2,medium,
,1,Plasma,,,,,,,1
q_9_phy_ch7_sq_008,,Plasma,describe,Describe plasma as the fourth state of matter and give two examples.,پلازما کو مادے کی چوتھی حالت کے طور پر بیان کریں اور دو مثالیں دیں۔,Easy,2,high,
