question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b5_mcq_001,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | قسم کے احکام و مسائل,Remember,یمین کا معنی ہے:,قسم,مشورہ,معاونت,ارادہ,A | قسم,Medium,1,ELITE,1
q_9_isl_b5_mcq_002,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | قسم کے احکام و مسائل,Remember,کفارہ کس قسم پر لازم ہوتا ہے؟,یمین منعقدہ,یمین غموس,یمین لغو,یمین فضول,A | یمین منعقدہ,Medium,1,ELITE,1
q_9_isl_b5_mcq_003,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | قسم کے احکام و مسائل,Remember,قسم کے کفارے میں کتنے مسکینوں کو کھانا کھلانا ایک صورت ہے؟,چار,چھ,آٹھ,دس,D | دس,Medium,1,ELITE,1
q_9_isl_b5_mcq_004,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | قسم کے احکام و مسائل,Remember,قسم توڑنے کے کفارے میں روزے رکھے جاتے ہیں:,دو,تین,چار,پانچ,B | تین,Medium,1,ELITE,1
q_9_isl_b5_mcq_005,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | قسم کے احکام و مسائل,Remember,حدیث مبارک میں جس قسم کی ممانعت کی گئی ہے:,آباء و اجداد کی,اللہ تعالیٰ کی,اللہ کی صفات کی,اللہ کے اسماء کی,A | آباء و اجداد کی,Medium,1,ELITE,1
q_9_isl_b5_mcq_006,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | گواہی کے احکام و مسائل,Remember,گواہی کے لیے قرآن مجید میں استعمال ہونے والا لفظ ہے:,شہادت,یمین,شکر,امر,A | شہادت,Medium,1,ELITE,1
q_9_isl_b5_mcq_007,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | گواہی کے احکام و مسائل,Remember,گواہی دینے والے کو کہا جاتا ہے:,گواہ,وکیل,مظلوم,مدعی,A | گواہ,Medium,1,ELITE,1
q_9_isl_b5_mcq_008,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | گواہی کے احکام و مسائل,Remember,عام مالی معاملے میں گواہی کے لیے مردوں کی تعداد ہے:,دو,تین,چار,پانچ,A | دو,Medium,1,ELITE,1
q_9_isl_b5_mcq_009,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE-LINKED | گواہی کے احکام و مسائل,Remember,سچ پر مبنی گواہی کہلاتی ہے:,سچی شہادت,جھوٹی شہادت,حسی شہادت,شہادت علی الشہادت,A | سچی شہادت,Medium,1,ELITE,1
q_9_isl_b5_mcq_010,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE-LINKED | گواہی کے احکام و مسائل,Remember,جب حق کے قیام کے لیے گواہی ضروری ہو تو اسے چھپانا:,جائز نہیں,مستحب ہے,افضل ہے,مباح ہے,A | جائز نہیں,Medium,1,ELITE,1
q_9_isl_b5_mcq_011,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | ہمسایوں کے حقوق,Remember,حقوق العباد سے مراد ہے:,بندوں کے حقوق,اللہ تعالیٰ کے حقوق,ریاست کے حقوق,دوستوں کے حقوق,A | بندوں کے حقوق,Medium,1,ELITE,1
