question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Topic,,,,,,,,,,0
q_9_eng_ch8_001,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[appreciate]].,extremely important,to recognise the good qualities of somebody or something,the process by which cultures and economic systems become connected and similar,connected with one another,B | to recognise the good qualities of somebody or something,Easy,1,PRO,0
q_9_eng_ch8_002,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[communication]].,"the relationship between production, trade, and money in a country",to control and use something effectively,wrong information that is given or spread,the process of expressing ideas and giving information,D | the process of expressing ideas and giving information,Easy,1,PRO,0
q_9_eng_ch8_003,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[complexities]].,a state of being difficult to understand because of many parts,the ability to understand another person's feelings or experience,the process of making things uniform or similar,situations that make it possible to do or achieve something,A | a state of being difficult to understand because of many parts,Easy,1,PRO,0
q_9_eng_ch8_004,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[crucial]].,the gradual destruction of something,the process of combining things so that they work together,extremely important,to keep something safe or maintain its quality,C | extremely important,Easy,1,PRO,0
q_9_eng_ch8_005,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[economy]].,the process by which cultures and economic systems become connected and similar,connected with one another,"the relationship between production, trade, and money in a country",scientific knowledge used in practical ways,"C | the relationship between production, trade, and money in a country",Easy,1,PRO,0
q_9_eng_ch8_006,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[empathy]].,the ability to understand another person's feelings or experience,to control and use something effectively,wrong information that is given or spread,"buying, selling, or exchanging goods and services",A | the ability to understand another person's feelings or experience,Easy,1,PRO,0
q_9_eng_ch8_007,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[erosion]].,the process of making things uniform or similar,situations that make it possible to do or achieve something,a belief or custom passed through generations,the gradual destruction of something,D | the gradual destruction of something,Easy,1,PRO,0
q_9_eng_ch8_008,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[globalisation]].,the process of combining things so that they work together,the process by which cultures and economic systems become connected and similar,to keep something safe or maintain its quality,regular money earned for work or services,B | the process by which cultures and economic systems become connected and similar,Easy,1,PRO,0
q_9_eng_ch8_009,0,ENGLISH_A | Unit 8 - The Impact of Globalisation on Culture and Economy | Complete Glossary,Remember,Choose the correct meaning of [[harness]].,to control and use something effectively,connected with one another,scientific knowledge used in practical ways,to recognise the good qualities of somebody or something,A | to control and use something effectively,Easy,1,PRO,0
