question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_eng_b_q8_urdu_para_001,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 01,Long,urdu_to_english_paragraph,میرے گھر کے سامنے ایک باغ ہے۔ اس میں بہت سے پودے اور درخت ہیں۔ بہار کے موسم میں کئی رنگوں کے پھول کھلتے ہیں۔ ان کی خوشبو چاروں طرف پھیل جاتی ہے۔ شام کے وقت باغ مردوں، عورتوں اور بچوں سے بھرا ہوا ہوتا ہے۔ لوگ ادھر ادھر سیر کرتے اور لطف اندوز ہوتے ہیں۔ بچے باغ میں دوڑتے پھرتے ہیں۔ ابھی وہ یہاں ہوتے ہیں اور اگلے ہی لمحے باغ کے دوسرے کونے میں ہوتے ہیں۔ میں بھی ہر شام سیر کے لیے باغ میں جاتا ہوں۔ بہت سے مالی باغ کی دیکھ بھال کرتے ہیں۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_002,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 02,Long,urdu_to_english_paragraph,زندگی کے نشیب و فراز میں ایسے مواقع آتے ہیں جب انسان بالکل ناامید ہو جاتا ہے۔ وہ بالکل مایوس ہو جاتا ہے۔ وہ مقابلہ کرنے کی قوت کھو بیٹھتا ہے۔ یہ انسانی وقار کے خلاف ہے۔ دنیا نے جتنی ترقی کی ہے وہ اس عزم اور جذبے کا نتیجہ ہے جو اللہ تعالیٰ نے انسان کو عطا کیا ہے۔ انسان کو کبھی ہمت نہیں ہارنی چاہیے بلکہ مردانہ وار ناکامی کا مقابلہ کرنا چاہیے۔ یقیناً اللہ تعالیٰ ایک دن اسے کامیابی سے ہمکنار کرے گا۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_003,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 03,Long,urdu_to_english_paragraph,"ایک دفعہ ایک گیدڑ دریا کے کنارے رہتا تھا۔ دریا کے دوسری طرف خربوزوں کے بہت سے کھیت تھے۔ دریا گہرا اور چوڑا تھا۔ گیدڑ پیٹ بھر کر خربوزے کھانا چاہتا تھا۔ وہ دریا پار نہ کر سکتا تھا۔ ایک دن اس نے اپنے دوست اونٹ سے کہا، ""اگر تم مجھے دریا کے دوسرے کنارے تک پہنچا دو تو میں تمہارا بہت شکر گزار ہوں گا۔"" اونٹ مان گیا۔ گیدڑ اونٹ کی پشت پر سوار ہو گیا۔ اونٹ دریا میں چلتا ہوا دوسرے کنارے پہنچ گیا۔ گیدڑ خربوزوں کے کھیت میں چلا گیا اور مزے لے لے کر خربوزے کھانے لگا۔",Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_004,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 04,Long,urdu_to_english_paragraph,یہ خیال کیا جاتا ہے کہ چند سال میں دنیا کا سارا تیل ختم ہو جائے گا۔ ہر ملک زیادہ تیل دریافت کرنے کی کوشش کر رہا ہے۔ ابھی یہ معلوم نہیں کہ ہم کتنا مزید تیل تلاش کر سکیں گے۔ ضرورت اس بات کی ہے کہ ہم تیل کا استعمال کم کریں۔ صنعت اور زراعت میں تیل کا استعمال کم نہیں کیا جا سکتا۔ لیکن ذاتی ضروریات کے لیے اس کا استعمال کم کیا جا سکتا ہے۔ ہمیں کاروں کی بجائے بسیں درآمد کرنی چاہئیں تاکہ طلبہ کے لیے بسوں کی سہولت فراہم کی جا سکے۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_005,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 05,Long,urdu_to_english_paragraph,میں دسویں جماعت میں پڑھتا ہوں۔ جس سکول میں میں پڑھتا ہوں وہ شہر کا ایک مشہور سکول ہے۔ چار اساتذہ ہمیں پڑھاتے ہیں۔ وہ سب قابل استاد ہیں۔ لیکن مجھے زید سب سے زیادہ پسند ہے۔ وہ ہمیں انگریزی اور ریاضی پڑھاتا ہے۔ اس کا پڑھانے کا طریقہ اتنا اچھا ہے کہ جو کچھ وہ پڑھاتا ہے ہم وہ اسی وقت یاد کر لیتے ہیں۔ اس لیے ہماری جماعت سو فیصد نتیجہ دکھاتی ہے۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_006,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 06,Long,urdu_to_english_paragraph,"ایک کنجوس رہتا تھا۔ ایک دفعہ اس کی تھیلی گم ہو گئی۔ تھیلی میں ایک سو روپے تھے۔ اس نے اعلان کیا، ""جو شخص میری تھیلی ڈھونڈ کر مجھے دے گا، میں اسے دس روپے دوں گا۔"" ایک دن ایک کسان اس کی تھیلی لے کر آیا۔ کنجوس نے تھیلی میں دیکھا۔ اس میں وہی ایک سو روپے تھے۔ جب کسان نے انعام مانگا تو کنجوس نے کہا، ""میری تھیلی میں ایک سو دس روپے تھے۔ اب اس میں صرف ایک سو روپے ہیں۔ تم پہلے ہی دس روپے لے چکے ہو۔""",Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_007,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 07,Long,urdu_to_english_paragraph,انارکلی لاہور کا مصروف ترین بازار ہے۔ یہاں رات گئے تک لوگوں کا ہجوم رہتا ہے۔ دکانیں رات دیر تک کھلی رہتی ہیں۔ یہاں تقریباً ہر قسم کی چیز خریدی جا سکتی ہے۔ کچھ لوگ یہاں چیزیں خریدنے آتے ہیں مگر بہت سے لوگ صرف سیر کے لیے آتے ہیں۔ انارکلی میں بہت سے خوانچہ فروش بھی ہیں۔ وہ بٹن، فیتے، سوئیاں، کلپ اور اس قسم کی دوسری چیزیں بیچتے ہیں۔ کچھ جیب کترے بھی انارکلی میں آتے ہیں۔ اگر آپ انارکلی جائیں تو ان جیب کتروں سے خبردار رہیں۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_008,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 08,Long,urdu_to_english_paragraph,والدین کی عزت کرنا ہمارا اخلاقی فرض ہے۔ وہ ہماری بہت دیکھ بھال کرتے ہیں۔ وہ ہمیں کھانا کھلاتے ہیں۔ ہمیں کپڑے پہناتے ہیں۔ وہ ہمیں ہر وہ چیز مہیا کرتے ہیں جس کی ہمیں ضرورت ہوتی ہے۔ وہ ہمیں سکول بھیجتے ہیں تاکہ تعلیم حاصل کرنے کے بعد ہم ان کی خدمت کر سکیں۔ اس سے ہمیں خوشی ملے گی۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_009,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 09,Long,urdu_to_english_paragraph,ایک دفعہ دو دوست سفر پر روانہ ہوئے۔ انہوں نے مصیبت میں ایک دوسرے کی مدد کرنے کا وعدہ کیا۔ وہ ایک جنگل میں پہنچے۔ انہوں نے ایک ریچھ اپنی طرف آتے دیکھا۔ ان میں سے ایک بھاگ کر درخت پر چڑھ گیا۔ اس کا دوست درخت پر نہ چڑھ سکا۔ وہ زمین پر لیٹ گیا اور سانس روک لی۔,Medium,8,ULTRA,1
q_10_eng_b_q8_urdu_para_010,1,ENGLISH_B | Q8 Urdu Paragraph to English | Source Photos | Paragraph 10,Long,urdu_to_english_paragraph,شہر آنے سے پہلے ہم ایک گاؤں میں رہتے تھے۔ ہم گاؤں میں بہت خوش تھے۔ ہم صبح سویرے اٹھتے تھے۔ ہاتھ منہ دھونے کے بعد ہم نماز پڑھتے اور پھر سیر کے لیے سرسبز کھیتوں میں چلے جاتے۔ دوپہر کو ہم درخت کے سائے میں سو جاتے۔ ایک ندی گاؤں کے پاس سے بہتی تھی۔ اس کا پانی صاف اور ٹھنڈا تھا۔,Medium,8,ULTRA,1
