question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
,1,1.2 Base and Derived Physical Quantities,,,,,,,,1
q_9_phy_ch1_lq_001,,1.2 Base and Derived Physical Quantities,Long,state_and_explain,What is meant by base and derived quantities? Give the names and symbols of SI base units.,بنیادی اور اخذ شدہ مقداروں سے کیا مراد ہے؟ ایس آئی بنیادی اکائیوں کے نام اور علامات لکھیں۔,Medium,5,high,
,1,1.3 Derived Units,,,,,,,,1
q_9_phy_ch1_lq_002,,1.3 Derived Units,Long,describe,Give three examples of derived unit in SI. How are they derived from base units? Describe briefly.,ایس آئی میں اخذ شدہ اکائیوں کی تین مثالیں دیں۔ وہ بنیادی اکائیوں سے کیسے اخذ ہوتی ہیں؟ مختصر بیان کریں۔,Medium,5,high,
,1,1.5 Vernier Callipers and Micrometer Screw Gauge,,,,,,,,1
q_9_phy_ch1_lq_003,,1.5 Vernier Callipers and Micrometer Screw Gauge,Long,compare,State the similarities and differences between Vernier Callipers and micrometer screw gauge.,ورنیئر کیلپرز اور مائیکرو میٹر سکرو گیج کے درمیان مماثلتیں اور فرق بیان کریں۔,Medium,5,high,
,1,1.9 Errors in Measurements,,,,,,,,1
q_9_phy_ch1_lq_004,,1.9 Errors in Measurements,Long,state_and_explain,"Identify and explain the reasons for human errors, random errors and systematic errors in experiments.",تجربات میں انسانی غلطیوں، رینڈم غلطیوں اور سسٹیمیٹک غلطیوں کے اسباب کی نشاندہی اور وضاحت کریں۔,Medium,5,high,
,1,1.12 Precision and Accuracy,,,,,,,,1
q_9_phy_ch1_lq_005,,1.12 Precision and Accuracy,Long,differentiate,Differentiate between precision and accuracy of a measurement with examples.,پیمائش کی precision اور accuracy میں مثالوں کے ساتھ فرق بیان کریں۔,Medium,5,high,
,1,1.1 Physical and Non-Physical Quantities,,,,,,,,1
q_9_phy_ch1_lq_006,,1.1 Physical and Non-Physical Quantities,Long,explain,Explain physical and non-physical quantities with measurable and non-measurable examples. Also describe how non-physical quantities can be compared.,طبیعی اور غیر طبیعی مقداروں کی قابلِ پیمائش اور ناقابلِ پیمائش مثالوں کے ساتھ وضاحت کریں۔ یہ بھی بیان کریں کہ غیر طبیعی مقداروں کا موازنہ کیسے کیا جا سکتا ہے۔,Medium,5,high,
,1,1.2 Measurement of a Physical Quantity,,,,,,,,1
q_9_phy_ch1_lq_007,,1.2 Measurement of a Physical Quantity,Long,discuss,Discuss the need of a standard unit for measurements and explain why a measurement consists of a number and a unit.,پیمائش کے لیے معیاری اکائی کی ضرورت پر بحث کریں اور وضاحت کریں کہ پیمائش عدد اور اکائی پر کیوں مشتمل ہوتی ہے۔,Easy,5,high,
,1,1.3 International System of Units,,,,,,,,1
q_9_phy_ch1_lq_008,,1.3 International System of Units,Long,describe,Describe the International System of Units and explain how SI measurements help scientists share and compare observations.,بین الاقوامی نظامِ اکائیات کی وضاحت کریں اور بیان کریں کہ ایس آئی پیمائشیں سائنس دانوں کو مشاہدات شیئر اور موازنہ کرنے میں کیسے مدد دیتی ہیں۔,Easy,5,high,
,1,1.4 SI Prefixes and Scientific Notation,,,,,,,,1
q_9_phy_ch1_lq_009,,1.4 SI Prefixes and Scientific Notation,Long,elaborate,Elaborate the use of SI prefixes and scientific notation for representing very large and very small quantities.,بہت بڑی اور بہت چھوٹی مقداروں کو ظاہر کرنے کے لیے ایس آئی سابقوں اور سائنسی ترقیم کے استعمال کی تفصیل بیان کریں۔,Medium,5,high,
,1,1.5 Length Measuring Instruments,,,,,,,,1
q_9_phy_ch1_lq_010,,1.5 Length Measuring Instruments,Long,describe,"Describe metre rule, measuring tape, Vernier Callipers and micrometer screw gauge with their least counts and suitable uses.",میٹر رول، پیمائشی فیتہ، ورنیئر کیلپرز اور مائیکرو میٹر سکرو گیج کو ان کے لیسٹ کاؤنٹس اور مناسب استعمالات کے ساتھ بیان کریں۔,Hard,5,high,
,1,1.5 Vernier Callipers,,,,,,,,1
q_9_phy_ch1_lq_011,,1.5 Vernier Callipers,Long,explain,"Explain the method of measuring length using Vernier Callipers, including main scale reading, Vernier scale reading, least count and zero error.",ورنیئر کیلپرز سے لمبائی ناپنے کا طریقہ بیان کریں، جس میں main scale reading، Vernier scale reading، least count اور zero error شامل ہوں۔,Hard,5,high,
,1,1.5 Micrometer Screw Gauge,,,,,,,,1
q_9_phy_ch1_lq_012,,1.5 Micrometer Screw Gauge,Long,explain,"Explain the construction and use of a micrometer screw gauge, including pitch, least count, zero error and thickness measurement.",مائیکرو میٹر سکرو گیج کی ساخت اور استعمال کی وضاحت کریں، جس میں pitch، least count، zero error اور موٹائی کی پیمائش شامل ہو۔,Hard,5,high,
,1,1.6 Mass Measuring Instruments,,,,,,,,1
q_9_phy_ch1_lq_013,,1.6 Mass Measuring Instruments,Long,describe,Describe the process of measuring mass using a physical balance and explain the difference between mass and weight.,فزیکل بیلنس سے کمیت ناپنے کا طریقہ بیان کریں اور کمیت اور وزن کا فرق واضح کریں۔,Medium,5,high,
,1,1.8 Volume Measuring Instruments,,,,,,,,1
q_9_phy_ch1_lq_014,,1.8 Volume Measuring Instruments,Long,explain,Explain the use of measuring cylinder and displacement can method for measuring volume of liquids and non-dissolvable solids.,مائعات اور غیر حل پذیر ٹھوس اجسام کا حجم ناپنے کے لیے پیمائشی سلنڈر اور displacement can method کا استعمال واضح کریں۔,Medium,5,high,
,1,"1.10 Uncertainty, Significant Figures and Rounding Off",,,,,,,,1
q_9_phy_ch1_lq_015,,"1.10 Uncertainty, Significant Figures and Rounding Off",Long,explain,"Explain uncertainty in measurement, significant figures and rounding off the digits with suitable examples.",پیمائش میں غیر یقینی، اہم اعداد اور اعداد کو round off کرنے کی مناسب مثالوں کے ساتھ وضاحت کریں۔,Hard,5,high,
,1,1.4 Scientific Notation — Solved Examples,,,,,,,,1
q_9_phy_ch1_lq_016,,1.4 Scientific Notation — Solved Examples,Numerical,solve,Solve the following: (a) 5.123 × 10⁴ m + 3.28 × 10⁵ m (b) 2.57 × 10⁻² mm − 3.43 × 10⁻³ mm,درج ذیل کو حل کریں: (a) 5.123 × 10⁴ m + 3.28 × 10⁵ m (b) 2.57 × 10⁻² mm − 3.43 × 10⁻³ mm,Medium,4,high,
