question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,8.1 Secure Computer Usage,topic_separator,,,,,,1
q_9_cs_ch8_sq_001,1,8.1 Secure Computer Usage,explain_reason,Explain the importance of using computers safely and responsibly.,computers کو safely اور responsibly use کرنے کی اہمیت واضح کریں۔,Medium,2,PRO,1
q_9_cs_ch8_sq_002,1,8.1 Secure Computer Usage,function_purpose,State the required function or purpose and explain its importance: What does safe and responsible computer usage involve?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: safe اور responsible computer usage میں کیا شامل ہے؟,Medium,2,PRO,1
q_9_cs_ch8_sq_003,1,8.1 Secure Computer Usage,explain_reason,"Explain the following and state one resulting effect, benefit, or application: Why is responsible computer usage important?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: responsible computer usage important کیوں ہے؟,Medium,2,PRO,1
TOPIC_SEP,1,8.2 Responsible Computer Usage,topic_separator,,,,,,1
q_9_cs_ch8_sq_004,1,8.2 Responsible Computer Usage,explain_reason,"Explain why strong, unique passwords should be created for different accounts.",وضاحت کریں کہ different accounts کے لیے strong اور unique passwords کیوں create کرنے چاہییں۔,Medium,2,PRO,1
q_9_cs_ch8_sq_005,1,8.2 Responsible Computer Usage,definition_function,Define Two-Factor Authentication (2FA) and explain why it is useful.,Two-Factor Authentication (2FA) کی تعریف کریں اور اس کی usefulness واضح کریں۔,Easy,2,PRO,1
q_9_cs_ch8_sq_006,1,8.2 Responsible Computer Usage,explain_reason,Explain why public Wi-Fi should be avoided for sensitive transactions.,وضاحت کریں کہ sensitive transactions کے لیے public Wi-Fi کیوں avoid کرنی چاہیے۔,Medium,2,PRO,1
q_9_cs_ch8_sq_007,1,8.2 Responsible Computer Usage,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is hardware?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: hardware کیا ہے؟,Easy,2,ULTRA,1
q_9_cs_ch8_sq_008,1,8.2 Responsible Computer Usage,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is software?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: software کیا ہے؟,Easy,2,ULTRA,1
q_9_cs_ch8_sq_009,1,8.2 Responsible Computer Usage,explain_reason,"Explain the following and state one resulting effect, benefit, or application: Why should outdated or insecure software be avoided?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: outdated یا insecure software کو avoid کیوں کرنا چاہیے؟,Medium,2,PRO,1
q_9_cs_ch8_sq_010,1,8.2 Responsible Computer Usage,function_purpose,State the required function or purpose and explain its importance: What does efficiency mean when choosing hardware and software?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: hardware اور software choose کرتے وقت efficiency کا کیا مطلب ہے؟,Medium,2,ULTRA,1
q_9_cs_ch8_sq_011,1,8.2 Responsible Computer Usage,list_state,Identify the required item or fact and state one related feature or function: What should be checked to ensure hardware and software compatibility?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: hardware اور software compatibility ensure کرنے کے لیے کیا check کرنا چاہیے؟,Easy,2,PRO,1
q_9_cs_ch8_sq_012,1,8.2 Responsible Computer Usage,list_state,Identify the required item or fact and state one related feature or function: Which combination makes a strong password?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سا combination strong password بناتا ہے؟,Easy,2,PRO,1
q_9_cs_ch8_sq_013,1,8.2 Responsible Computer Usage,explain_reason,"Explain the following and state one resulting effect, benefit, or application: Why does 2FA improve account security?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: 2FA account security کیوں improve کرتی ہے؟,Medium,2,PRO,1
q_9_cs_ch8_sq_014,1,8.2 Responsible Computer Usage,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is phishing?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: phishing کیا ہے؟,Easy,2,PRO,1
q_9_cs_ch8_sq_015,1,8.2 Responsible Computer Usage,list_state,Identify the required item or fact and state one related feature or function: What should you do with an unsolicited request for personal information?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: personal information کی unsolicited request کے ساتھ کیا کرنا چاہیے؟,Easy,2,PRO,1
q_9_cs_ch8_sq_016,1,8.2 Responsible Computer Usage,explain_reason,"Explain the following and state one resulting effect, benefit, or application: Why should account activity be reviewed regularly?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: account activity کو regularly review کیوں کرنا چاہیے؟,Medium,2,ULTRA,1
q_9_cs_ch8_sq_017,1,8.2 Responsible Computer Usage,list_state,Identify the required item or fact and state one related feature or function: What action is appropriate after noticing a login from an unfamiliar location?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: unfamiliar location سے login notice ہونے پر کیا action appropriate ہے؟,Easy,2,PRO,1
q_9_cs_ch8_sq_018,1,8.2 Responsible Computer Usage,list_state,Identify the required item or fact and state one related feature or function: Where can important data be backed up?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: important data کہاں backup کیا جا سکتا ہے؟,Easy,2,ULTRA,1
q_9_cs_ch8_sq_019,1,8.2 Responsible Computer Usage,explain_reason,"Explain the following and state one resulting effect, benefit, or application: Why are regular backups useful?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: regular backups useful کیوں ہیں؟,Medium,2,PRO,1
TOPIC_SEP,1,8.3 Best Practices in Online Behavior,topic_separator,,,,,,1
q_9_cs_ch8_sq_020,1,8.3 Best Practices in Online Behavior,process_steps,State two measures for protection from harmful links and untrusted downloads.,harmful links اور untrusted downloads سے protection کے دو measures بیان کریں۔,Medium,2,PRO,1
q_9_cs_ch8_sq_021,1,8.3 Best Practices in Online Behavior,explain_reason,Explain why users must be careful about information shared on social media.,وضاحت کریں کہ social media پر shared information کے بارے میں users کو careful کیوں ہونا چاہیے۔,Medium,2,PRO,1
