question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,12.0 Standardization and SI System,Topic,,,,,,,,,,,1
q_9_chem_ch12_001,1,12.0 Standardization and SI System,Remember,What does SI stand for?,SI سے کیا مراد ہے؟,Scientific Index of Units / سائنسی اشاریۂ اکائیاں,International System of Units / بین الاقوامی نظامِ اکائیاں,Standard Imperial Units / معیاری امپیریل اکائیاں,System of Individual Units / انفرادی اکائیوں کا نظام,B | International System of Units / بین الاقوامی نظامِ اکائیاں,Easy,1,PRO,1
q_9_chem_ch12_002,1,12.0 Standardization and SI System,Understand,Why are standardized units important in science?,سائنس میں معیاری اکائیاں کیوں اہم ہیں؟,They make every experiment produce the same result automatically / یہ ہر تجربے کو خود بخود ایک ہی نتیجہ دیتی ہیں,They eliminate the need for measurements / یہ پیمائش کی ضرورت ختم کرتی ہیں,They restrict science to one country / یہ سائنس کو ایک ملک تک محدود کرتی ہیں,They allow clear comparison and communication of measurements worldwide / یہ دنیا بھر میں پیمائشوں کے واضح موازنے اور رابطے کو ممکن بناتی ہیں,D | They allow clear comparison and communication of measurements worldwide / یہ دنیا بھر میں پیمائشوں کے واضح موازنے اور رابطے کو ممکن بناتی ہیں,Medium,1,PRO,1
q_9_chem_ch12_003,1,12.0 Standardization and SI System,Understand,What problem occurs when scientists use different unit systems?,جب سائنس دان مختلف اکائی نظام استعمال کریں تو کیا مسئلہ پیدا ہوتا ہے؟,Results become difficult and time-consuming to compare and convert / نتائج کا موازنہ اور تبدیلی مشکل اور وقت طلب ہو جاتی ہے,All results become more precise automatically / تمام نتائج خود بخود زیادہ درست ہو جاتے ہیں,No numerical values are needed / عددی قدروں کی ضرورت نہیں رہتی,Experiments no longer require instruments / تجربات کو آلات کی ضرورت نہیں رہتی,A | Results become difficult and time-consuming to compare and convert / نتائج کا موازنہ اور تبدیلی مشکل اور وقت طلب ہو جاتی ہے,Medium,1,PRO,1
q_9_chem_ch12_004,1,12.0 Standardization and SI System,Remember,Which feature makes SI conversions easier to learn and remember?,SI تبدیلیوں کو سیکھنا اور یاد رکھنا کس خصوصیت سے آسان ہوتا ہے؟,It is based only on twelve / یہ صرف بارہ پر مبنی ہے,It uses unrelated conversion factors for every unit / یہ ہر اکائی کے لیے غیر متعلق تبدیلی عوامل استعمال کرتا ہے,It is based on powers of ten / یہ دس کی قوتوں پر مبنی ہے,It avoids prefixes / یہ سابقے استعمال نہیں کرتا,C | It is based on powers of ten / یہ دس کی قوتوں پر مبنی ہے,Easy,1,ULTRA,1
q_9_chem_ch12_005,1,12.0 Standardization and SI System,Understand,How do SI units support reproducibility?,SI اکائیاں قابلِ تکرار نتائج میں کیسے مدد دیتی ہیں؟,They prevent experiments from being repeated / یہ تجربات کو دہرانے سے روکتی ہیں,Scientists can repeat and compare experiments using the same measurement standard / سائنس دان ایک ہی پیمائشی معیار سے تجربات دہرا اور موازنہ کر سکتے ہیں,They replace observations with guesses / یہ مشاہدات کو اندازوں سے بدل دیتی ہیں,They allow each laboratory to invent a new unit / یہ ہر لیبارٹری کو نئی اکائی بنانے دیتی ہیں,B | Scientists can repeat and compare experiments using the same measurement standard / سائنس دان ایک ہی پیمائشی معیار سے تجربات دہرا اور موازنہ کر سکتے ہیں,Medium,1,PRO,1
q_9_chem_ch12_006,1,12.0 Standardization and SI System,Remember,Which measurement systems are listed besides SI?,SI کے علاوہ کون سے پیمائشی نظام درج ہیں؟,"CGS, MKS and Imperial systems / CGS، MKS اور امپیریل نظام",Only binary and hexadecimal systems / صرف بائنری اور ہیکسا ڈیسیمل نظام,Only Celsius and Fahrenheit systems / صرف سیلسیس اور فارن ہائٹ نظام,Only metric and atomic systems / صرف میٹرک اور ایٹمی نظام,"A | CGS, MKS and Imperial systems / CGS، MKS اور امپیریل نظام",Medium,1,ELITE,1
q_9_chem_ch12_007,1,12.0 Standardization and SI System,Understand,Why are SI units described as user-friendly?,SI اکائیوں کو صارف دوست کیوں کہا جاتا ہے؟,Their symbols change in every language / ان کی علامات ہر زبان میں بدلتی ہیں,They do not have definite standards / ان کے واضح معیار نہیں ہوتے,They use only very large numbers / یہ صرف بہت بڑے اعداد استعمال کرتی ہیں,Their decimal structure reduces complicated conversions / ان کی اعشاری ساخت پیچیدہ تبدیلیوں کو کم کرتی ہے,D | Their decimal structure reduces complicated conversions / ان کی اعشاری ساخت پیچیدہ تبدیلیوں کو کم کرتی ہے,Medium,1,ULTRA,1
q_9_chem_ch12_008,1,12.0 Standardization and SI System,Remember,How many base units are in the SI system?,SI نظام میں بنیادی اکائیوں کی تعداد کتنی ہے؟,3,5,7,22,C | 7,Easy,1,ULTRA,1
q_9_chem_ch12_009,1,12.0 Standardization and SI System,Remember,How many derived units are mentioned in the chapter for the SI system?,باب میں SI نظام کی کتنی اخذ شدہ اکائیاں بیان کی گئی ہیں؟,22,5,7,100,A | 22,Medium,1,IMPORTANT,1
