question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b5_long_001,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | قسم کے احکام و مسائل,Long,detailed_question_textbook,قرآن و سنت کی روشنی میں قسم کے احکام و مسائل بیان کریں۔,Medium,10,ELITE,1
q_9_isl_b5_long_002,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | گواہی کے احکام و مسائل,Long,detailed_question_textbook,قرآن و سنت کی روشنی میں گواہی کے احکام و مسائل واضح کریں۔,Medium,10,ELITE,1
q_9_isl_b5_long_003,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | ہمسایوں کے حقوق,Long,detailed_question_textbook,قرآن و سنت کی روشنی میں ہمسایوں کے حقوق واضح کریں۔,Medium,10,ELITE,1
q_9_isl_b5_long_004,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | سود کی حرمت,Long,detailed_question_textbook,اسلامی تعلیمات کی روشنی میں سود کی حرمت پر مضمون تحریر کریں۔,Medium,10,ELITE,1
q_9_isl_b5_long_005,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی ریاست,Long,detailed_question_textbook,اسلامی ریاست کے تصور پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b5_long_006,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q7 BOARD ELIGIBLE | EXERCISE DIRECT | جہاد فی سبیل اللہ,Long,detailed_question_textbook,اسلام کے تصور جہاد پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b5_long_007,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | قسم کے احکام و مسائل,Long,detailed_question_extra_important,قسم کی اقسام، کفارہ، جھوٹی قسم کے نقصانات اور اسلامی آداب تفصیل سے بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b5_long_008,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | گواہی کے احکام و مسائل,Long,detailed_question_extra_important,سچی اور جھوٹی شہادت، گواہی چھپانے کی ممانعت اور عدل کے قیام میں شہادت کی اہمیت بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b5_long_009,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | ہمسایوں کے حقوق,Long,detailed_question_extra_important,اسلامی تعلیمات کی روشنی میں ہمسایوں کی اقسام، حقوق، آداب اور حسن معاشرت کے اثرات بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b5_long_010,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,Long,detailed_question_extra_important,سود کی حرمت، اس کے دینی و معاشرتی نقصانات، قرض حسنہ اور اسلامی معاشی متبادل کی وضاحت کریں۔,Medium,10,ULTRA,1
q_9_isl_b5_long_011,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | اسلامی ریاست,Long,detailed_question_extra_important,اسلامی ریاست کے اغراض و مقاصد، بنیادی ادارے، شہری حقوق اور ریاست مدینہ کی خصوصیات بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b5_long_012,1,ISLAMIAT | BAB 5 - حسن معاملات و معاشرت | BISE-ALIGNED PREPARATION | Q7 PRACTICE ONLY | EXTRA IMPORTANT | جہاد فی سبیل اللہ,Long,detailed_question_extra_important,جہاد کی حقیقت، اقسام، مقاصد، قتال کی شرائط اور دہشت گردی سے اس کے فرق کی وضاحت کریں۔,Medium,10,ULTRA,1
