question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_ch2_001,1,ENGLISH_A | Unit 2 - Patriotism | Textbook Paragraph Translation,Topic,topic_separator,,,,,1
q_9_eng_ch2_lq_001,1,ENGLISH_A | Unit 2 - Patriotism | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Patriotism means love for the motherland or devotion to one's country. A patriot loves his country and is willing to sacrifice when the need arises. The word patriot comes from the Latin word 'patriota' which means countryman. It is considered a commendable quality.",Medium,4,PRO,1
q_9_eng_ch2_lq_002,1,ENGLISH_A | Unit 2 - Patriotism | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Patriotism gives people the strength and courage to safeguard the interests of the country and nation. For a patriot, the sovereignty, integrity, and honour of the country are of supreme values on which no compromise can be made. Patriots render great sacrifice for the preservation and protection of these values.",Hard,4,PRO,1
q_9_eng_ch2_lq_003,1,ENGLISH_A | Unit 2 - Patriotism | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Quaid-e-Azam Muhammad Ali Jinnah was a nation builder and great patriot. He wanted to protect the values, culture, and traditions of the Muslims of the subcontinent. He gave the Muslims a sense of identity by securing a separate homeland for them.",Medium,4,PRO,1
q_9_eng_ch2_lq_004,1,ENGLISH_A | Unit 2 - Patriotism | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
The spirit of patriotism makes us stay alert in case of foreign invasion. In the history of Pakistan, there are many instances when people laid down their lives for the defence of the country. In the wars of 1965, 1971, and the Kargil War 1999, many brave soldiers laid down their lives to protect the homeland.",Hard,4,PRO,1
q_9_eng_ch2_lq_005,1,ENGLISH_A | Unit 2 - Patriotism | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
All of them embraced martyrdom while fighting bravely for their motherland. They were awarded Nishan-e-Haider, the highest military award given to great patriots who laid down their lives for the country. Their sacrifices are lasting examples of courage and devotion.",Medium,4,PRO,1
q_9_eng_ch2_lq_006,1,ENGLISH_A | Unit 2 - Patriotism | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Patriotism is not just a feeling; rather, it is a live spirit that continuously inspires and guides a nation. The unit explains the qualities of patriots and shows how they protect the interests, honour, and progress of their country.",Medium,4,PRO,1
sep_9_eng_ch2_002,1,ENGLISH_A | Unit 2 - Patriotism | Simple English Alternative,Topic,topic_separator,,,,,1
q_9_eng_ch2_lq_007,1,ENGLISH_A | Unit 2 - Patriotism | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
Patriotism means love for the motherland or devotion to one's country. A patriot loves his country and is willing to sacrifice when the need arises. The word patriot comes from the Latin word 'patriota' which means countryman. It is considered a commendable quality.",Medium,4,PRO,1
q_9_eng_ch2_lq_008,1,ENGLISH_A | Unit 2 - Patriotism | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
Patriotism gives people the strength and courage to safeguard the interests of the country and nation. For a patriot, the sovereignty, integrity, and honour of the country are of supreme values on which no compromise can be made. Patriots render great sacrifice for the preservation and protection of these values.",Hard,4,PRO,1
q_9_eng_ch2_lq_009,1,ENGLISH_A | Unit 2 - Patriotism | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
Quaid-e-Azam Muhammad Ali Jinnah was a nation builder and great patriot. He wanted to protect the values, culture, and traditions of the Muslims of the subcontinent. He gave the Muslims a sense of identity by securing a separate homeland for them.",Medium,4,PRO,1
q_9_eng_ch2_lq_010,1,ENGLISH_A | Unit 2 - Patriotism | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
The spirit of patriotism makes us stay alert in case of foreign invasion. In the history of Pakistan, there are many instances when people laid down their lives for the defence of the country. In the wars of 1965, 1971, and the Kargil War 1999, many brave soldiers laid down their lives to protect the homeland.",Hard,4,PRO,1
q_9_eng_ch2_lq_011,1,ENGLISH_A | Unit 2 - Patriotism | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
All of them embraced martyrdom while fighting bravely for their motherland. They were awarded Nishan-e-Haider, the highest military award given to great patriots who laid down their lives for the country. Their sacrifices are lasting examples of courage and devotion.",Medium,4,PRO,1
q_9_eng_ch2_lq_012,1,ENGLISH_A | Unit 2 - Patriotism | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
Patriotism is not just a feeling; rather, it is a live spirit that continuously inspires and guides a nation. The unit explains the qualities of patriots and shows how they protect the interests, honour, and progress of their country.",Medium,4,PRO,1
sep_9_eng_ch2_003,1,ENGLISH_A | Unit 2 - Patriotism | Tense Writing Exercises,Topic,topic_separator,,,,,1
q_9_eng_ch2_lq_013,1,ENGLISH_A | Unit 2 - Patriotism | Tense Writing Exercises,Long,paragraph,Write five sentences about your daily routine using the Simple Present tense.,Medium,5,ELITE,1
q_9_eng_ch2_lq_014,1,ENGLISH_A | Unit 2 - Patriotism | Tense Writing Exercises,Long,paragraph,Write a short paragraph about what you did last weekend using the Simple Past tense.,Medium,5,ELITE,1
