question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_cs_ch2_001,1,2.2 Boolean Algebra and Logic Gates,Topic,topic_separator,,,,,,1
q_9_cs_ch2_lq_001,1,2.2 Boolean Algebra and Logic Gates,Long,explain,"Explain the usage of Boolean operations in computers. Discuss AND, OR, and NOT operations with their logical behaviour.",computers میں Boolean operations کے استعمال کی وضاحت کریں۔ AND، OR اور NOT operations کے logical behaviour پر بحث کریں۔,Medium,5,PRO,1
q_9_cs_ch2_lq_002,1,2.2 Boolean Algebra and Logic Gates,Long,diagram_based,"Explain the functions of AND, OR, and NOT gates and construct their truth tables and logic symbols.",AND، OR اور NOT gates کے functions کی وضاحت کریں اور ان کی truth tables اور logic symbols بنائیں۔,Medium,5,ULTRA,1
sep_9_cs_ch2_002,1,2.3 Simplification of Boolean Functions,Topic,topic_separator,,,,,,1
q_9_cs_ch2_lq_003,1,2.3 Simplification of Boolean Functions,Numerical,solve,"Simplify the following Boolean function using Boolean algebra rules: F(A, B) = A·B + A·B̄","Boolean algebra rules استعمال کرتے ہوئے درج ذیل Boolean function simplify کریں: F(A, B) = A·B + A·B̄",Hard,4,PRO,1
q_9_cs_ch2_lq_004,1,2.3 Simplification of Boolean Functions,Long,state_and_explain,State and explain the major Boolean identities and the principle of duality used in simplifying Boolean expressions.,Boolean expressions simplify کرنے کے لیے استعمال ہونے والی major Boolean identities اور principle of duality بیان کریں اور وضاحت کریں۔,Hard,5,ULTRA,1
sep_9_cs_ch2_003,1,2.5 System Troubleshooting,Topic,topic_separator,,,,,,1
q_9_cs_ch2_lq_005,1,2.5 System Troubleshooting,Long,discuss,"Discuss the importance of troubleshooting in maintaining the smooth operation of systems, especially computing systems.",systems، خصوصاً computing systems، کی smooth operation برقرار رکھنے میں troubleshooting کی اہمیت پر بحث کریں۔,Medium,5,PRO,1
q_9_cs_ch2_lq_006,1,2.5 System Troubleshooting,Long,process_procedure,Explain the systematic process of troubleshooting and describe each step in detail.,troubleshooting کے systematic process کی وضاحت کریں اور ہر step کو تفصیل سے بیان کریں۔,Hard,5,PRO,1
q_9_cs_ch2_lq_007,1,2.5 System Troubleshooting,Long,discuss,"Discuss the importance of documenting findings, actions, and outcomes during the troubleshooting process.",troubleshooting process کے دوران findings، actions اور outcomes document کرنے کی اہمیت پر بحث کریں۔,Medium,5,PRO,1
q_9_cs_ch2_lq_008,1,2.5 System Troubleshooting,Long,classification,Describe the different data backup methods and explain how they support data protection and system recovery.,مختلف data backup methods بیان کریں اور وضاحت کریں کہ وہ data protection اور system recovery میں کیسے مدد دیتے ہیں۔,Medium,5,PRO,1
sep_9_cs_ch2_004,1,2.1 Basic Concept of Digital Systems,Topic,topic_separator,,,,,,1
q_9_cs_ch2_lq_009,1,2.1 Basic Concept of Digital Systems,Long,compare,Differentiate between analog and digital signals and explain the purposes of ADC and DAC.,analog اور digital signals میں فرق بیان کریں اور ADC اور DAC کے purposes کی وضاحت کریں۔,Medium,5,ULTRA,1
sep_9_cs_ch2_005,1,2.4 Creating Logic Diagrams,Topic,topic_separator,,,,,,1
q_9_cs_ch2_lq_010,1,2.4 Creating Logic Diagrams,Long,diagram_based,"Explain how a Boolean function is represented through a logic diagram. Describe the relationship between variables, operators, and gates.",وضاحت کریں کہ Boolean function کو logic diagram کے ذریعے کیسے represent کیا جاتا ہے۔ variables، operators اور gates کے باہمی تعلق کو بیان کریں۔,Medium,5,ELITE,1
