question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,4.1 Computational Thinking,topic_separator,,,,,,1
q_9_cs_ch4_sq_001,1,4.1 Computational Thinking,definition_function,Define computational thinking and state its main purpose in problem-solving.,computational thinking کی تعریف کریں اور problem-solving میں اس کا بنیادی مقصد بیان کریں۔,Easy,2,PRO,1
q_9_cs_ch4_sq_002,1,4.1 Computational Thinking,definition_function,Define decomposition and explain why it is useful in computational thinking.,decomposition کی تعریف کریں اور computational thinking میں اس کی افادیت واضح کریں۔,Easy,2,PRO,1
q_9_cs_ch4_sq_003,1,4.1 Computational Thinking,concept_explanation,Describe abstraction in problem-solving and state its benefit.,problem-solving میں abstraction کی وضاحت کریں اور اس کا فائدہ بیان کریں۔,Medium,2,PRO,1
q_9_cs_ch4_sq_004,1,4.1 Computational Thinking,list_state,Identify the required item or fact and state one related feature or function: Which statement best defines computational thinking?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سا بیان computational thinking کی بہترین تعریف کرتا ہے؟,Easy,2,PRO,1
q_9_cs_ch4_sq_005,1,4.1 Computational Thinking,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is decomposition?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: decomposition کیا ہے؟,Easy,2,PRO,1
q_9_cs_ch4_sq_006,1,4.1 Computational Thinking,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is pattern recognition?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: pattern recognition کیا ہے؟,Easy,2,PRO,1
q_9_cs_ch4_sq_007,1,4.1 Computational Thinking,function_purpose,State the required function or purpose and explain its importance: How does pattern recognition help problem-solving?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: pattern recognition problem-solving میں کیسے مدد کرتی ہے؟,Medium,2,PRO,1
q_9_cs_ch4_sq_008,1,4.1 Computational Thinking,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is abstraction?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: abstraction کیا ہے؟,Easy,2,PRO,1
q_9_cs_ch4_sq_009,1,4.1 Computational Thinking,list_state,Identify the required item or fact and state one related feature or function: Which computational-thinking technique is used when irrelevant details are removed?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: irrelevant details remove کرنے پر کون سی computational-thinking technique استعمال ہوتی ہے؟,Easy,2,ULTRA,1
