question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 2 - Patriotism | Complete Glossary,Topic,,,,,,,,,,1
q_9_eng_ch2_001,1,ENGLISH_A | Unit 2 - Patriotism | Complete Glossary,Remember,Choose the correct meaning of [[commendable]].,the act of accepting an idea or belief with enthusiasm,deserving praise and approval,connected with the place where a person was born and first lived,a person's feelings or state of mind,B | deserving praise and approval,Easy,1,PRO,1
q_9_eng_ch2_002,1,ENGLISH_A | Unit 2 - Patriotism | Complete Glossary,Remember,Choose the correct meaning of [[devoid]].,examples,the act of keeping something in its original state or good condition,highest in rank or position,completely without something or deprived,D | completely without something or deprived,Easy,1,PRO,1
q_9_eng_ch2_003,1,ENGLISH_A | Unit 2 - Patriotism | Complete Glossary,Remember,Choose the correct meaning of [[devotion]].,"great love, care and support for somebody or something",death suffered because of adherence to a cause or faith,a person's feelings or state of mind,deserving praise and approval,"A | great love, care and support for somebody or something",Easy,1,PRO,1
q_9_eng_ch2_004,1,ENGLISH_A | Unit 2 - Patriotism | Complete Glossary,Remember,Choose the correct meaning of [[embrace]].,connected with the place where a person was born and first lived,highest in rank or position,the act of accepting an idea or belief with enthusiasm,completely without something or deprived,C | the act of accepting an idea or belief with enthusiasm,Easy,1,PRO,1
q_9_eng_ch2_005,1,ENGLISH_A | Unit 2 - Patriotism | Complete Glossary,Remember,Choose the correct meaning of [[instances]].,the act of keeping something in its original state or good condition,deserving praise and approval,examples,"great love, care and support for somebody or something",C | examples,Easy,1,PRO,1
q_9_eng_ch2_006,1,ENGLISH_A | Unit 2 - Patriotism | Complete Glossary,Remember,Choose the correct meaning of [[martyrdom]].,death suffered because of adherence to a cause or faith,a person's feelings or state of mind,completely without something or deprived,the act of accepting an idea or belief with enthusiasm,A | death suffered because of adherence to a cause or faith,Medium,1,PRO,1
q_9_eng_ch2_007,1,ENGLISH_A | Unit 2 - Patriotism | Complete Glossary,Remember,Choose the correct meaning of [[native]].,highest in rank or position,"great love, care and support for somebody or something",examples,connected with the place where a person was born and first lived,D | connected with the place where a person was born and first lived,Medium,1,PRO,1
q_9_eng_ch2_008,1,ENGLISH_A | Unit 2 - Patriotism | Complete Glossary,Remember,Choose the correct meaning of [[preservation]].,deserving praise and approval,the act of keeping something in its original state or good condition,the act of accepting an idea or belief with enthusiasm,death suffered because of adherence to a cause or faith,B | the act of keeping something in its original state or good condition,Medium,1,PRO,1
q_9_eng_ch2_009,1,ENGLISH_A | Unit 2 - Patriotism | Complete Glossary,Remember,Choose the correct meaning of [[spirit]].,a person's feelings or state of mind,completely without something or deprived,examples,connected with the place where a person was born and first lived,A | a person's feelings or state of mind,Medium,1,PRO,1
q_9_eng_ch2_010,1,ENGLISH_A | Unit 2 - Patriotism | Complete Glossary,Remember,Choose the correct meaning of [[supreme]].,"great love, care and support for somebody or something",death suffered because of adherence to a cause or faith,highest in rank or position,the act of keeping something in its original state or good condition,C | highest in rank or position,Medium,1,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Topic,,,,,,,,,,1
q_9_eng_ch2_011,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: deserving praise and approval.,commendible,commendable,comendable,commmendable,B | commendable,Easy,1,ULTRA,1
q_9_eng_ch2_012,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: completely without something.,devoide,divoid,devoed,devoid,D | devoid,Easy,1,ULTRA,1
q_9_eng_ch2_013,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,"Choose the correctly spelt word meaning: great love, care, and support.",devosion,devotian,divotion,devotion,D | devotion,Easy,1,ULTRA,1
q_9_eng_ch2_014,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: accepting an idea or belief with enthusiasm.,embrase,embrace,embraise,emmb race,B | embrace,Easy,1,ULTRA,1
q_9_eng_ch2_015,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: examples.,instences,instanses,instances,instancess,C | instances,Easy,1,ULTRA,1
q_9_eng_ch2_016,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: death suffered for adherence to a cause or faith.,martyrdom,martirdom,marterdom,martyrdome,A | martyrdom,Easy,1,ULTRA,1
q_9_eng_ch2_017,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: connected with the place of one's birth.,nattive,native,naitive,natave,B | native,Easy,1,ULTRA,1
q_9_eng_ch2_018,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: keeping something in its original or good condition.,preservasion,presarvation,preservetion,preservation,D | preservation,Easy,1,ULTRA,1
q_9_eng_ch2_019,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: a person's feelings or state of mind.,spirit,spirrit,sperit,spiritte,A | spirit,Easy,1,ULTRA,1
q_9_eng_ch2_020,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: highest in rank or position.,supreem,suprime,supreme,suppreme,C | supreme,Easy,1,ULTRA,1
q_9_eng_ch2_021,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: love for the motherland or devotion to one's country.,patriotizm,patriatism,patriotism,patriotisim,C | patriotism,Medium,1,ULTRA,1
q_9_eng_ch2_022,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: one of the supreme national values named with integrity and honour.,sovereignty,soverignty,sovereignity,sovreignty,A | sovereignty,Medium,1,ULTRA,1
q_9_eng_ch2_023,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: one of the supreme national values named with sovereignty and honour.,integrety,integritty,intigrity,integrity,D | integrity,Medium,1,ULTRA,1
q_9_eng_ch2_024,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: giving up something valuable for a greater cause.,sacrifise,sacrifice,sacrefice,saccrifice,B | sacrifice,Medium,1,ULTRA,1
q_9_eng_ch2_025,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: inspires people into united action.,galvanizes,galvenizes,galvanisess,galvinizes,A | galvanizes,Medium,1,ULTRA,1
q_9_eng_ch2_026,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: an attack on a country by foreign forces.,invassion,invaasion,invasion,invasian,C | invasion,Medium,1,ULTRA,1
q_9_eng_ch2_027,1,ENGLISH_A | Unit 2 - Patriotism | Correct Spellings,Remember,Choose the correctly spelt word meaning: Pakistan's highest military award mentioned in the lesson.,Nishan-e-Hyder,Nishan-e-Haider,Nishan-e-Haiderh,Nishan-i-Haidar,B | Nishan-e-Haider,Medium,1,ULTRA,1
TOPIC_SEP,1,ENGLISH_A | Unit 2 - Patriotism | Direct Textbook MCQs,Topic,,,,,,,,,,1
q_9_eng_ch2_028,1,ENGLISH_A | Unit 2 - Patriotism | Direct Textbook MCQs,Remember,The word [[patriot]] originates from:,the Greek word 'patriotikos',the French word 'patriote',the Spanish word 'patriota',the Latin word 'patriota',D | the Latin word 'patriota',Easy,1,PRO,1
q_9_eng_ch2_029,1,ENGLISH_A | Unit 2 - Patriotism | Direct Textbook MCQs,Remember,Which quality is described as commendable in the text?,bravery,intelligence,honesty,patriotism,D | patriotism,Easy,1,PRO,1
q_9_eng_ch2_030,1,ENGLISH_A | Unit 2 - Patriotism | Direct Textbook MCQs,Remember,Who led the Muslims of the subcontinent in their struggle for a separate homeland?,Allama Iqbal,Quaid-e-Azam Muhammad Ali Jinnah,Liaquat Ali Khan,Sir Syed Ahmad Khan,B | Quaid-e-Azam Muhammad Ali Jinnah,Easy,1,PRO,1
q_9_eng_ch2_031,1,ENGLISH_A | Unit 2 - Patriotism | Direct Textbook MCQs,Remember,What are the supreme values for a patriot according to the text?,wealth and power,education and knowledge,"sovereignty, integrity and honour",freedom and independence,"C | sovereignty, integrity and honour",Easy,1,PRO,1
q_9_eng_ch2_032,1,ENGLISH_A | Unit 2 - Patriotism | Direct Textbook MCQs,Remember,In which wars did many brave soldiers lay down their lives for Pakistan?,"the wars of 1965, 1971, and the Kargil War 1999",World War I and World War II,the War of 1857 and the Afghan Wars,the Gulf War and the Iraq War,"A | the wars of 1965, 1971, and the Kargil War 1999",Easy,1,PRO,1
TOPIC_SEP,1,"ENGLISH_A | Unit 2 - Patriotism | Fact, Opinion, Cause and Evidence",Topic,,,,,,,,,,1
q_9_eng_ch2_033,1,"ENGLISH_A | Unit 2 - Patriotism | Fact, Opinion, Cause and Evidence",Understand,The statement “Patriotism is a commendable quality” is presented in the exercise as a:,opinion,fact,question,command,B | fact,Medium,1,PRO,1
q_9_eng_ch2_034,1,"ENGLISH_A | Unit 2 - Patriotism | Fact, Opinion, Cause and Evidence",Understand,The statement “Many soldiers were awarded Nishan-e-Haider for their bravery” is presented in the exercise as a:,opinion,request,prediction,fact,D | fact,Medium,1,PRO,1
q_9_eng_ch2_035,1,"ENGLISH_A | Unit 2 - Patriotism | Fact, Opinion, Cause and Evidence",Understand,The statement “Many soldiers showed great bravery during the wars of 1965 and 1971” is:,a generalized statement,evidence-based information,a definition,a command,A | a generalized statement,Medium,1,PRO,1
q_9_eng_ch2_036,1,"ENGLISH_A | Unit 2 - Patriotism | Fact, Opinion, Cause and Evidence",Understand,The statement “Major Tufail Muhammad was awarded Nishan-e-Haider for his bravery in the 1965 War” is:,a generalized statement,an opinion,evidence-based information,a prediction,C | evidence-based information,Medium,1,PRO,1
q_9_eng_ch2_037,1,"ENGLISH_A | Unit 2 - Patriotism | Fact, Opinion, Cause and Evidence",Understand,What is the main idea of paragraph 2?,Patriotism is unimportant.,Patriotism is only about honour.,Patriotism requires sacrifice.,Patriotism is about personal interests.,C | Patriotism requires sacrifice.,Medium,1,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 2 - Patriotism | Contextual Vocabulary,Topic,,,,,,,,,,1
q_9_eng_ch2_038,1,ENGLISH_A | Unit 2 - Patriotism | Contextual Vocabulary,Understand,Choose the inferred meaning of [[commendable]] as used in the unit.,deserving praise,giving up something valuable for a greater cause,"the state of being whole, united, and morally sound",the entry of armed forces into another country,A | deserving praise,Medium,1,ULTRA,1
q_9_eng_ch2_039,1,ENGLISH_A | Unit 2 - Patriotism | Contextual Vocabulary,Understand,Choose the inferred meaning of [[render]] as used in the unit.,the supreme authority and independence of a state,inspires people to take action,completely without,to give or provide,D | to give or provide,Medium,1,ULTRA,1
q_9_eng_ch2_040,1,ENGLISH_A | Unit 2 - Patriotism | Contextual Vocabulary,Understand,Choose the inferred meaning of [[sacrifice]] as used in the unit.,"the state of being whole, united, and morally sound",giving up something valuable for a greater cause,the entry of armed forces into another country,the country where a person was born,B | giving up something valuable for a greater cause,Medium,1,ULTRA,1
q_9_eng_ch2_041,1,ENGLISH_A | Unit 2 - Patriotism | Contextual Vocabulary,Understand,Choose the inferred meaning of [[sovereignty]] as used in the unit.,the supreme authority and independence of a state,inspires people to take action,completely without,deserving praise,A | the supreme authority and independence of a state,Medium,1,ULTRA,1
q_9_eng_ch2_042,1,ENGLISH_A | Unit 2 - Patriotism | Contextual Vocabulary,Understand,Choose the inferred meaning of [[integrity]] as used in the unit.,the entry of armed forces into another country,the country where a person was born,"the state of being whole, united, and morally sound",to give or provide,"C | the state of being whole, united, and morally sound",Medium,1,ULTRA,1
q_9_eng_ch2_043,1,ENGLISH_A | Unit 2 - Patriotism | Contextual Vocabulary,Understand,Choose the inferred meaning of [[galvanizes]] as used in the unit.,completely without,inspires people to take action,deserving praise,giving up something valuable for a greater cause,B | inspires people to take action,Medium,1,ULTRA,1
q_9_eng_ch2_044,1,ENGLISH_A | Unit 2 - Patriotism | Contextual Vocabulary,Understand,Choose the inferred meaning of [[invasion]] as used in the unit.,the country where a person was born,to give or provide,the supreme authority and independence of a state,the entry of armed forces into another country,D | the entry of armed forces into another country,Medium,1,ULTRA,1
q_9_eng_ch2_045,1,ENGLISH_A | Unit 2 - Patriotism | Contextual Vocabulary,Understand,Choose the inferred meaning of [[devoid]] as used in the unit.,deserving praise,giving up something valuable for a greater cause,"the state of being whole, united, and morally sound",completely without,D | completely without,Medium,1,ULTRA,1
q_9_eng_ch2_046,1,ENGLISH_A | Unit 2 - Patriotism | Contextual Vocabulary,Understand,Choose the inferred meaning of [[native land]] as used in the unit.,to give or provide,the country where a person was born,the supreme authority and independence of a state,inspires people to take action,B | the country where a person was born,Medium,1,ULTRA,1
TOPIC_SEP,1,ENGLISH_A | Unit 2 - Patriotism | Complete Tense Table,Topic,,,,,,,,,,1
q_9_eng_ch2_047,1,ENGLISH_A | Unit 2 - Patriotism | Complete Tense Table,Understand,Identify the tense used in the sentence: “She writes in her journal every day.”,Present Continuous,Present Perfect,Simple Present,Present Perfect Continuous,C | Simple Present,Medium,1,PRO,1
q_9_eng_ch2_048,1,ENGLISH_A | Unit 2 - Patriotism | Complete Tense Table,Understand,Which function belongs to the [[Simple Present]] tense?,"habitual actions, general truths, or present actions",actions that will happen at a specific time in the future,actions that will be ongoing in the future,actions that will be completed before a specific future time,"A | habitual actions, general truths, or present actions",Hard,1,ULTRA,1
q_9_eng_ch2_049,1,ENGLISH_A | Unit 2 - Patriotism | Complete Tense Table,Understand,Identify the tense used in the sentence: “He visited to the museum last weekend.”,Past Continuous,Simple Past,Past Perfect,Past Perfect Continuous,B | Simple Past,Medium,1,PRO,1
q_9_eng_ch2_050,1,ENGLISH_A | Unit 2 - Patriotism | Complete Tense Table,Understand,Which function belongs to the [[Simple Past]] tense?,actions happening now or around the current time,actions at an unspecified past time or actions continuing to the present,"actions that started in the past and are still continuing, emphasizing duration",actions completed at a specific time in the past,D | actions completed at a specific time in the past,Hard,1,ULTRA,1
q_9_eng_ch2_051,1,ENGLISH_A | Unit 2 - Patriotism | Complete Tense Table,Understand,Identify the tense used in the sentence: “They will travel to Quetta next summer.”,Simple Future,Future Continuous,Future Perfect,Future Perfect Continuous,A | Simple Future,Medium,1,PRO,1
q_9_eng_ch2_052,1,ENGLISH_A | Unit 2 - Patriotism | Complete Tense Table,Understand,Which function belongs to the [[Simple Future]] tense?,actions that were ongoing in the past,actions completed before another action in the past,actions that will happen at a specific time in the future,"actions that were ongoing before another past action, emphasizing duration",C | actions that will happen at a specific time in the future,Hard,1,ULTRA,1
q_9_eng_ch2_053,1,ENGLISH_A | Unit 2 - Patriotism | Complete Tense Table,Understand,Identify the tense used in the sentence: “She is reading a book.”,Present Perfect,Present Perfect Continuous,Present Continuous,Simple Present,C | Present Continuous,Medium,1,PRO,1
q_9_eng_ch2_054,1,ENGLISH_A | Unit 2 - Patriotism | Complete Tense Table,Understand,Which function belongs to the [[Present Continuous]] tense?,actions happening now or around the current time,actions that will be ongoing in the future,actions that will be completed before a specific future time,"actions continuing up to a specific future time, emphasizing duration",A | actions happening now or around the current time,Hard,1,ULTRA,1
q_9_eng_ch2_055,1,ENGLISH_A | Unit 2 - Patriotism | Complete Tense Table,Understand,Identify the tense used in the sentence: “He was cooking dinner when the phone rang.”,Past Perfect,Past Perfect Continuous,Simple Past,Past Continuous,D | Past Continuous,Medium,1,PRO,1
q_9_eng_ch2_056,1,ENGLISH_A | Unit 2 - Patriotism | Complete Tense Table,Understand,Which function belongs to the [[Past Continuous]] tense?,actions at an unspecified past time or actions continuing to the present,actions that were ongoing in the past,"actions that started in the past and are still continuing, emphasizing duration","habitual actions, general truths, or present actions",B | actions that were ongoing in the past,Hard,1,ULTRA,1
q_9_eng_ch2_057,1,ENGLISH_A | Unit 2 - Patriotism | Complete Tense Table,Understand,Identify the tense used in the sentence: “They will be waiting for us at the airport.”,Future Continuous,Future Perfect,Future Perfect Continuous,Simple Future,A | Future Continuous,Medium,1,PRO,1
q_9_eng_ch2_058,1,ENGLISH_A | Unit 2 - Patriotism | Complete Tense Table,Understand,Which function belongs to the [[Future Continuous]] tense?,actions completed before another action in the past,"actions that were ongoing before another past action, emphasizing duration",actions that will be ongoing in the future,actions completed at a specific time in the past,C | actions that will be ongoing in the future,Hard,1,ULTRA,1
q_9_eng_ch2_059,1,ENGLISH_A | Unit 2 - Patriotism | Complete Tense Table,Understand,Identify the tense used in the sentence: “She has lived here for ten years.”,Present Perfect Continuous,Present Perfect,Simple Present,Present Continuous,B | Present Perfect,Medium,1,PRO,1
q_9_eng_ch2_060,1,ENGLISH_A | Unit 2 - Patriotism | Complete Tense Table,Understand,Which function belongs to the [[Present Perfect]] tense?,actions that will be completed before a specific future time,"actions continuing up to a specific future time, emphasizing duration",actions that will happen at a specific time in the future,actions at an unspecified past time or actions continuing to the present,D | actions at an unspecified past time or actions continuing to the present,Hard,1,ULTRA,1
