question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
,1,1.1 Physical and Non-Physical Quantities,,,,,,,,,,,,1
q_9_phy_ch1_001,,1.1 Physical and Non-Physical Quantities,Remember,Which of the following is a physical quantity?,درج ذیل میں سے کون سی طبیعی مقدار ہے؟,Love / محبت,Fear / خوف,Length / لمبائی,Beauty / خوبصورتی,C | Length / لمبائی,Easy,1,high,
q_9_phy_ch1_002,,1.1 Physical and Non-Physical Quantities,Remember,Which of the following is a non-physical quantity?,درج ذیل میں سے کون سی غیر طبیعی مقدار ہے؟,Distance / فاصلہ,Density / کثافت,Colour / رنگ,Temperature / درجہ حرارت,C | Colour / رنگ,Easy,1,high,
q_9_phy_ch1_003,,1.1 Physical and Non-Physical Quantities,Remember,Physical quantities are expressed through:,طبیعی مقداریں کس کے ذریعے ظاہر کی جاتی ہیں؟,Numerical value and unit / عددی قیمت اور اکائی,Only feelings / صرف احساسات,Only surveys / صرف سروے,Only colours / صرف رنگ,A | Numerical value and unit / عددی قیمت اور اکائی,Easy,1,high,
q_9_phy_ch1_004,,1.1 Physical and Non-Physical Quantities,Remember,Non-physical quantities are usually related to:,غیر طبیعی مقداریں عموماً کس سے متعلق ہوتی ہیں؟,Perception or interpretation of observer / مشاہدہ کرنے والے کے تاثر یا تشریح,Metre rule readings only / صرف میٹر رول ریڈنگز,Fixed SI units / مقررہ ایس آئی اکائیاں,Mass and volume only / صرف کمیت اور حجم,A | Perception or interpretation of observer / مشاہدہ کرنے والے کے تاثر یا تشریح,Easy,1,high,
,1,1.2 Measurement of a Physical Quantity,,,,,,,,,,,,1
q_9_phy_ch1_005,,1.2 Measurement of a Physical Quantity,Remember,Measurement is a comparison of an unknown quantity with a:,پیمائش نامعلوم مقدار کا کس کے ساتھ تقابل ہے؟,Widely accepted standard quantity / وسیع طور پر تسلیم شدہ معیاری مقدار,Random guess / بے ترتیب اندازہ,Personal opinion / ذاتی رائے,Colour index / رنگی اشاریہ,A | Widely accepted standard quantity / وسیع طور پر تسلیم شدہ معیاری مقدار,Easy,1,high,
q_9_phy_ch1_006,,1.2 Measurement of a Physical Quantity,Remember,A measurement consists of:,ایک پیمائش کن چیزوں پر مشتمل ہوتی ہے؟,A number and a unit / عدد اور اکائی,Only a number / صرف عدد,Only a unit / صرف اکائی,Only an instrument / صرف آلہ,A | A number and a unit / عدد اور اکائی,Easy,1,high,
,1,1.2 Base and Derived Physical Quantities,,,,,,,,,,,,1
q_9_phy_ch1_007,,1.2 Base and Derived Physical Quantities,Remember,Quantities selected by scientists to play a key role are called:,سائنس دانوں کی منتخب کردہ اہم کردار ادا کرنے والی مقداریں کیا کہلاتی ہیں؟,Base quantities / بنیادی مقداریں,Derived quantities / اخذ شدہ مقداریں,Non-physical quantities / غیر طبیعی مقداریں,Estimated quantities / تخمینی مقداریں,A | Base quantities / بنیادی مقداریں,Easy,1,high,
