question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,4.1 Chemical Formula,topic_separator,,,,,,1
q_9_chem_ch4_sq_001,1,4.1 Chemical Formula,formula_relationship,State the information provided by a molecular formula.,سالماتی فارمولا کی فراہم کردہ معلومات بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch4_sq_002,1,4.1 Chemical Formula,formula_relationship,State what an empirical formula shows.,بیان کریں کہ تجرباتی فارمولا کیا ظاہر کرتا ہے۔,Easy,2,PRO,1
q_9_chem_ch4_sq_003,1,4.1 Chemical Formula,explain_reason,Why are ionic compounds generally represented by empirical formulas?,آئونی مرکبات کو عموماً تجرباتی فارمولوں سے کیوں ظاہر کیا جاتا ہے؟,Medium,2,PRO,1
q_9_chem_ch4_sq_004,1,4.1 Chemical Formula,numerical_short,Determine the empirical formula of C₆H₁₂. Show the required working.,C₆H₁₂ کا تجرباتی فارمولا معلوم کریں اور ضروری طریقۂ کار دکھائیں۔,Easy,2,PRO,1
q_9_chem_ch4_sq_005,1,4.1 Chemical Formula,numerical_short,Determine the empirical formula of H₂O₂. Show the required working.,H₂O₂ کا تجرباتی فارمولا معلوم کریں اور ضروری طریقۂ کار دکھائیں۔,Easy,2,ULTRA,1
q_9_chem_ch4_sq_006,1,4.1 Chemical Formula,formula_relationship,Write the relation connecting molecular formula and empirical formula. Also state what the symbol or relation represents.,سالماتی اور تجرباتی فارمولے کے درمیان کون سا تعلق ہے۔ علامت یا تعلق کا مطلب بھی بیان کریں۔,Medium,2,PRO,1
q_9_chem_ch4_sq_007,1,4.1 Chemical Formula,process_steps,How is n calculated when determining a molecular formula?,سالماتی فارمولا معلوم کرتے وقت n کیسے نکالا جاتا ہے؟,Medium,2,PRO,1
q_9_chem_ch4_sq_008,1,4.1 Chemical Formula,numerical_short,Solve the following short numerical problem and show the required working: A compound has empirical formula CH₂O and molar mass 180 g mol⁻¹. What is its molecular formula.,ایک مرکب کا تجرباتی فارمولا CH₂O اور مولر کمیت 180 g mol⁻¹ ہے۔ اس کا سالماتی فارمولا معلوم کریں اور ضروری طریقۂ کار دکھائیں۔,Hard,2,PRO,1
TOPIC_SEP,1,4.3 Writing Formulae of Ionic Compounds,topic_separator,,,,,,1
