question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
,1,6.1 Deformation of Solids,,,,,,,,,,,,1
q_9_phy_ch6_001,,6.1 Deformation of Solids,Remember,Which force can change the size or shape of an object?,کون سی قوت کسی جسم کے سائز یا شکل کو تبدیل کر سکتی ہے؟,Balanced force / متوازن قوت,Deforming force / بگاڑنے والی قوت,Frictional force / رگڑ کی قوت,Gravitational force / ثقلی قوت,B | Deforming force / بگاڑنے والی قوت,Easy,1,high,
q_9_phy_ch6_002,,6.1 Deformation of Solids,Remember,What is the increase in the length of a spring due to an applied force called?,لگائی گئی قوت کی وجہ سے سپرنگ کی لمبائی میں اضافہ کیا کہلاتا ہے؟,Compression / دباؤ سے سکڑاؤ,Extension / پھیلاؤ,Density / کثافت,Pressure / دباؤ,B | Extension / پھیلاؤ,Easy,1,high,
q_9_phy_ch6_003,,6.1 Deformation of Solids,Remember,What is the reduction in the length of a spring due to an applied force called?,لگائی گئی قوت کی وجہ سے سپرنگ کی لمبائی میں کمی کیا کہلاتی ہے؟,Extension / پھیلاؤ,Compression / دباؤ سے سکڑاؤ,Elasticity / لچک,Density / کثافت,B | Compression / دباؤ سے سکڑاؤ,Easy,1,high,
q_9_phy_ch6_004,,6.1 Deformation of Solids,Understand,An object returns to its original size and shape after the deforming force is removed. What is the object called?,ایک جسم بگاڑنے والی قوت ہٹانے کے بعد اپنے اصل سائز اور شکل میں واپس آ جاتا ہے۔ اس جسم کو کیا کہتے ہیں؟,Elastic / لچک دار,Inelastic / غیر لچک دار,Rigid only / صرف سخت,Compressed only / صرف سکڑا ہوا,A | Elastic / لچک دار,Medium,1,high,
q_9_phy_ch6_005,,6.1 Deformation of Solids,Remember,Which property allows a solid to come back to its original shape when the deforming force stops acting?,کون سی خاصیت ٹھوس کو بگاڑنے والی قوت ختم ہونے پر اپنی اصل شکل میں واپس آنے دیتی ہے؟,Density / کثافت,Elasticity / لچک,Pressure / دباؤ,Altitude / بلندی,B | Elasticity / لچک,Easy,1,high,
q_9_phy_ch6_006,,6.1 Deformation of Solids,Remember,Which materials are given as examples of inelastic materials?,کن مادّوں کو غیر لچک دار مادّوں کی مثال کے طور پر دیا گیا ہے؟,Steel and spring / فولاد اور سپرنگ,Clay dough and plasticine / گندھی ہوئی مٹی اور پلاسٹیسین,Water and mercury / پانی اور پارہ,Gold and osmium / سونا اور اوسمیئم,B | Clay dough and plasticine / گندھی ہوئی مٹی اور پلاسٹیسین,Easy,1,high,
q_9_phy_ch6_007,,6.1 Deformation of Solids,Analyze,What happens when a material is deformed beyond its elastic limit?,جب کسی مادّے کو اس کی لچکی حد سے آگے بگاڑا جائے تو کیا ہوتا ہے؟,It always returns instantly / یہ ہمیشہ فوراً واپس آ جاتا ہے,The change becomes permanent / تبدیلی مستقل ہو جاتی ہے,Its density becomes zero / اس کی کثافت صفر ہو جاتی ہے,Its pressure disappears / اس کا دباؤ ختم ہو جاتا ہے,B | The change becomes permanent / تبدیلی مستقل ہو جاتی ہے,Hard,1,high,
q_9_phy_ch6_008,,6.1 Deformation of Solids,Understand,A tennis ball and racket strings regain their original shape after impact. Which concept does this illustrate?,ٹینس بال اور ریکٹ کی تاریں ٹکر کے بعد اپنی اصل شکل واپس حاصل کر لیتی ہیں۔ یہ کس تصور کو ظاہر کرتا ہے؟,Atmospheric pressure / فضائی دباؤ,Elasticity / لچک,Pascal's law / پاسکل کا قانون,Manometer reading / مینومیٹر کی قرأت,B | Elasticity / لچک,Medium,1,high,
,1,6.2 Hooke's Law and Spring Constant,,,,,,,,,,,,1
q_9_phy_ch6_009,,6.2 Hooke's Law and Spring Constant,Remember,"Within the elastic limit of a helical spring, extension or compression is directly proportional to which quantity?",ہیلیکل سپرنگ کی لچکی حد کے اندر پھیلاؤ یا سکڑاؤ کس مقدار کے براہِ راست متناسب ہوتا ہے؟,Applied force / لگائی گئی قوت,Density / کثافت,Area / رقبہ,Atmospheric pressure / فضائی دباؤ,A | Applied force / لگائی گئی قوت,Easy,1,high,
q_9_phy_ch6_010,,6.2 Hooke's Law and Spring Constant,Remember,Which equation represents Hooke's law for a spring within the elastic limit?,لچکی حد کے اندر سپرنگ کے لیے ہوک کے قانون کو کون سی مساوات ظاہر کرتی ہے؟,P = F/A / P = F/A,F = kx / F = kx,P = ρgh / P = ρgh,ρ = m/V / ρ = m/V,B | F = kx / F = kx,Easy,1,high,
q_9_phy_ch6_011,,6.2 Hooke's Law and Spring Constant,Remember,"In the equation F = kx, what does k represent?",مساوات F = kx میں k کیا ظاہر کرتا ہے؟,Pressure constant / دباؤ مستقل,Spring constant / سپرنگ مستقل,Density constant / کثافت مستقل,Atmospheric constant / فضائی مستقل,B | Spring constant / سپرنگ مستقل,Easy,1,high,
q_9_phy_ch6_012,,6.2 Hooke's Law and Spring Constant,Remember,What is the SI unit of spring constant?,سپرنگ مستقل کی SI اکائی کیا ہے؟,N m⁻¹ / نیوٹن فی میٹر,N m⁻² / نیوٹن فی مربع میٹر,kg m⁻³ / کلوگرام فی مکعب میٹر,Pa / پاسکل,A | N m⁻¹ / نیوٹن فی میٹر,Easy,1,high,
q_9_phy_ch6_013,,6.2 Hooke's Law and Spring Constant,Understand,What does a greater value of spring constant indicate?,سپرنگ مستقل کی زیادہ قدر کیا ظاہر کرتی ہے؟,Greater stiffness or strength of spring / سپرنگ کی زیادہ سختی یا مضبوطی,Lower density of spring / سپرنگ کی کم کثافت,Less atmospheric pressure / کم فضائی دباؤ,Smaller contact area only / صرف چھوٹا رابطہ رقبہ,A | Greater stiffness or strength of spring / سپرنگ کی زیادہ سختی یا مضبوطی,Medium,1,high,
q_9_phy_ch6_014,,6.2 Hooke's Law and Spring Constant,Understand,What is the shape of a force-extension graph for a spring within its elastic limit?,لچکی حد کے اندر سپرنگ کے لیے قوت-پھیلاؤ گراف کی شکل کیا ہوتی ہے؟,Circle / دائرہ,Straight line through origin / مبدأ سے گزرنے والی سیدھی لکیر,Parabola only / صرف قطع مکافی,Horizontal line only / صرف افقی لکیر,B | Straight line through origin / مبدأ سے گزرنے والی سیدھی لکیر,Medium,1,high,
q_9_phy_ch6_015,,6.2 Hooke's Law and Spring Constant,Understand,What does the gradient of the force-extension graph represent?,قوت-پھیلاؤ گراف کا ڈھلوان کیا ظاہر کرتا ہے؟,Spring constant k / سپرنگ مستقل k,Atmospheric pressure / فضائی دباؤ,Volume / حجم,Mass per unit area / فی اکائی رقبہ کمیت,A | Spring constant k / سپرنگ مستقل k,Medium,1,high,
q_9_phy_ch6_016,,6.2 Hooke's Law and Spring Constant,Analyze,"If the same experiment is repeated with a stiffer spring, how will the force-extension graph change within the elastic limit?",اگر یہی تجربہ زیادہ سخت سپرنگ کے ساتھ دہرایا جائے تو لچکی حد کے اندر قوت-پھیلاؤ گراف کیسے بدلے گا؟,It will have a greater slope / اس کا ڈھلوان زیادہ ہو گا,It will become horizontal / یہ افقی ہو جائے گا,It will pass below the origin / یہ مبدأ سے نیچے گزرے گا,It will show zero force / یہ صفر قوت دکھائے گا,A | It will have a greater slope / اس کا ڈھلوان زیادہ ہو گا,Hard,1,high,
q_9_phy_ch6_017,,6.2 Hooke's Law and Spring Constant,Apply,A spring is stretched 20 mm by a load of 40 N. What is its spring constant?,"درج ذیل صورت میں سپرنگ مستقل معلوم کریں: load = 40 N, extension = 20 mm",0.5 N m⁻¹ / 0.5 نیوٹن فی میٹر,2 N m⁻¹ / 2 نیوٹن فی میٹر,2 kN m⁻¹ / 2 کلو نیوٹن فی میٹر,20 kN m⁻¹ / 20 کلو نیوٹن فی میٹر,C | 2 kN m⁻¹ / 2 کلو نیوٹن فی میٹر,Medium,1,high,
q_9_phy_ch6_018,,6.2 Hooke's Law and Spring Constant,Analyze,"A wire is stretched by a weight W. If its diameter is reduced to half of its previous value, the extension will become:",ایک تار کو وزن W سے کھینچا گیا ہے۔ اگر تار کا قطر اپنی پچھلی قدر کا نصف کر دیا جائے تو پھیلاؤ کیا ہو گا؟,One half / نصف,Double / دو گنا,One fourth / ایک چوتھائی,Four times / چار گنا,D | Four times / چار گنا,Hard,1,high,
