question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b3_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غزوہ تبوک,Remember,مدینہ منورہ سے دمشق کے راستے پر واقع تبوک نام ہے:,چشمے کا,سرائے کا,باغ کا,دریا کا,A | چشمے کا,Medium,1,ELITE,1
q_10_isl_b3_mcq_002,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غزوہ تبوک,Remember,غزوہ تبوک کے موقع پر حضرت ابوبکر صدیق رضی اللہ عنہ نے پیش کیا:,گھر کا سارا سامان,نصف مال,13 ٹن کھجوریں,صرف اونٹ,A | گھر کا سارا سامان,Medium,1,ELITE,1
q_10_isl_b3_mcq_003,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غزوہ تبوک,Remember,غزوہ تبوک کے موقع پر حضرت علی رضی اللہ عنہ کی ذمہ داری بنی:,اہل بیت کی حفاظت,لشکر کی تیاری,اسلامی لشکر کی سپہ سالاری,مال غنیمت کی تقسیم,A | اہل بیت کی حفاظت,Medium,1,ELITE,1
q_10_isl_b3_mcq_004,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غزوہ تبوک,Remember,غزوہ تبوک کے موقع پر مسلمانوں کے پاس:,زاد راہ کی شدید قلت تھی,جنگی سامان بہت زیادہ تھا,سواریوں کی کثرت تھی,پانی کی فراوانی تھی,A | زاد راہ کی شدید قلت تھی,Medium,1,ELITE,1
q_10_isl_b3_mcq_005,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غزوہ تبوک,Remember,حضرت کعب بن مالک رضی اللہ عنہ کی توبہ قبول ہوئی:,سچ بولنے کی وجہ سے,وعدہ پورا کرنے سے,سخاوت سے,کفایت شعاری سے,A | سچ بولنے کی وجہ سے,Medium,1,ELITE,1
q_10_isl_b3_mcq_006,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حجۃ الوداع,Remember,نبی کریم ﷺ نے حجۃ الوداع ادا فرمایا:,10 ہجری,8 ہجری,9 ہجری,11 ہجری,A | 10 ہجری,Medium,1,ELITE,1
q_10_isl_b3_mcq_007,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حجۃ الوداع,Remember,حج اور عمرہ کے لیے ایک ہی احرام باندھنا کہلاتا ہے:,حج قران,حج مبرور,حج تمتع,حج افراد,A | حج قران,Medium,1,ELITE,1
q_10_isl_b3_mcq_008,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حجۃ الوداع,Remember,ہدی سے مراد ہے:,قربانی کا جانور,پالتو جانور,حلال جانور,طاقتور جانور,A | قربانی کا جانور,Medium,1,ELITE,1
q_10_isl_b3_mcq_009,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حجۃ الوداع,Remember,حجۃ الوداع سے واپسی پر حضرت علی رضی اللہ عنہ کی شان بیان کی گئی:,غدیر خم میں,ذوالحلیفہ میں,حدیبیہ میں,منیٰ میں,A | غدیر خم میں,Medium,1,ELITE,1
q_10_isl_b3_mcq_010,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حجۃ الوداع,Remember,خطبہ حجۃ الوداع میں صحابہ کرام رضی اللہ عنہم سے گواہی لی گئی:,رسالت کا حق ادا کرنے پر,حج ادا کرنے پر,قربانی کرنے پر,نماز ادا کرنے پر,A | رسالت کا حق ادا کرنے پر,Medium,1,ELITE,1
q_10_isl_b3_mcq_011,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | وصال نبوی ﷺ,Remember,نبی کریم ﷺ کی بیماری کا آغاز ہوا:,صفر کے آخری ایام میں,محرم کے آخری ایام میں,ربیع الاول کے آخری ایام میں,رمضان کے آخری ایام میں,A | صفر کے آخری ایام میں,Medium,1,ELITE,1
