question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,6.2 Data Types,topic_separator,,,,,,1
q_9_cs_ch6_sq_001,1,6.2 Data Types,difference,Differentiate between qualitative and quantitative data using two points.,qualitative اور quantitative data میں دو نکات کی بنیاد پر فرق لکھیں۔,Medium,2,PRO,1
q_9_cs_ch6_sq_002,1,6.2 Data Types,classification,Classify the number of students in a class as a data type and state one reason.,class میں students کی number کو data type کے طور پر classify کریں اور ایک وجہ بیان کریں۔,Medium,2,PRO,1
q_9_cs_ch6_sq_003,1,6.2 Data Types,classification,Classify the required data or concepts and state one feature of each category: Into which two broad categories is data divided?,درج ذیل data یا concepts کی classification کریں اور ہر category کی ایک feature بیان کریں: data کو کن دو broad categories میں divide کیا جاتا ہے؟,Medium,2,PRO,1
q_9_cs_ch6_sq_004,1,6.2 Data Types,list_state,Identify the required item or fact and state one related feature or function: Which feature best describes qualitative data?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سی feature qualitative data کو بہترین طور پر describe کرتی ہے؟,Easy,2,PRO,1
q_9_cs_ch6_sq_005,1,6.2 Data Types,definition_example,"Define or identify the required concept and state one key feature, purpose, or example: Which example represents qualitative data?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: کون سی example qualitative data represent کرتی ہے؟,Easy,2,ULTRA,1
q_9_cs_ch6_sq_006,1,6.2 Data Types,list_state,Identify the required item or fact and state one related feature or function: Which characteristic belongs to quantitative data?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سی characteristic quantitative data سے تعلق رکھتی ہے؟,Easy,2,PRO,1
q_9_cs_ch6_sq_007,1,6.2 Data Types,definition_example,"Define or identify the required concept and state one key feature, purpose, or example: Which tool is used in the textbook example to measure temperature?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: textbook example میں temperature measure کرنے کے لیے کون سا tool استعمال ہوتا ہے؟,Easy,2,ELITE,1
q_9_cs_ch6_sq_008,1,6.2 Data Types,explain_reason,"Explain the following and state one resulting effect, benefit, or application: Why can quantitative data be used in arithmetic operations?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: quantitative data کو arithmetic operations میں کیوں استعمال کیا جا سکتا ہے؟,Medium,2,ULTRA,1
TOPIC_SEP,1,6.3.1 Methods and Tools of Data Collection,topic_separator,,,,,,1
q_9_cs_ch6_sq_009,1,6.3.1 Methods and Tools of Data Collection,application_scenario,Select a suitable method for collecting opinions from a large group about a new school policy and justify the choice.,نئی school policy کے بارے میں بڑے group کی opinions collect کرنے کے لیے suitable method منتخب کریں اور انتخاب کی وجہ بیان کریں۔,Hard,2,PRO,1
q_9_cs_ch6_sq_010,1,6.3.1 Methods and Tools of Data Collection,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is data collection?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: data collection کیا ہے؟,Easy,2,PRO,1
q_9_cs_ch6_sq_011,1,6.3.1 Methods and Tools of Data Collection,list_state,Identify the required item or fact and state one related feature or function: Which method gathers information by asking people questions?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سا method لوگوں سے questions پوچھ کر information gather کرتا ہے؟,Easy,2,PRO,1
q_9_cs_ch6_sq_012,1,6.3.1 Methods and Tools of Data Collection,list_state,Identify the required item or fact and state one related feature or function: Which is a best practice in survey design?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: survey design میں کون سی best practice ہے؟,Easy,2,ULTRA,1
q_9_cs_ch6_sq_013,1,6.3.1 Methods and Tools of Data Collection,list_state,Identify the required item or fact and state one related feature or function: Which online tool is provided by Google for creating surveys?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: survey create کرنے کے لیے Google کا کون سا online tool ہے؟,Easy,2,ELITE,1
q_9_cs_ch6_sq_014,1,6.3.1 Methods and Tools of Data Collection,concept_explanation,"Explain the following and state one resulting effect, benefit, or application: How is a questionnaire described?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: questionnaire کو کیسے describe کیا گیا ہے؟,Medium,2,ULTRA,1
q_9_cs_ch6_sq_015,1,6.3.1 Methods and Tools of Data Collection,list_state,Identify the required item or fact and state one related feature or function: Which method involves talking to an individual one-on-one?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سا method کسی individual سے one-on-one بات کرنے پر مشتمل ہے؟,Easy,2,ULTRA,1
q_9_cs_ch6_sq_016,1,6.3.1 Methods and Tools of Data Collection,list_state,Identify the required item or fact and state one related feature or function: Which method involves watching and noting what happens?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سا method ہونے والے واقعات کو watch اور note کرنے پر مشتمل ہے؟,Easy,2,ULTRA,1
q_9_cs_ch6_sq_017,1,6.3.1 Methods and Tools of Data Collection,list_state,Identify the required item or fact and state one related feature or function: Which of the following is an online data source?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: درج ذیل میں سے کون online data source ہے؟,Easy,2,ELITE,1
TOPIC_SEP,1,6.3 Organising and Analysing Data,topic_separator,,,,,,1
q_9_cs_ch6_sq_018,1,6.3 Organising and Analysing Data,explain_reason,Explain why data should be organised into tables or charts before analysis.,وضاحت کریں کہ analysis سے پہلے data کو tables یا charts میں organise کرنا کیوں ضروری ہے۔,Medium,2,PRO,1
q_9_cs_ch6_sq_019,1,6.3 Organising and Analysing Data,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is a major benefit of organising data systematically?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: data کو systematically organise کرنے کا major benefit کیا ہے؟,Easy,2,PRO,1
q_9_cs_ch6_sq_020,1,6.3 Organising and Analysing Data,difference,Differentiate the required concepts using two clear points: Which structure makes student scores easy to compare?,درج ذیل required concepts میں دو واضح نکات کی بنیاد پر فرق بیان کریں: کون سا structure student scores کو compare کرنا آسان بناتا ہے؟,Medium,2,ULTRA,1
q_9_cs_ch6_sq_021,1,6.3 Organising and Analysing Data,list_state,Identify the required item or fact and state one related feature or function: What do charts help identify in a dataset?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: charts dataset میں کیا identify کرنے میں مدد دیتی ہیں؟,Easy,2,ULTRA,1
