question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 6 - The Value of Time | Complete Glossary,Topic,,,,,,,,,,1
q_9_eng_ch6_001,1,ENGLISH_A | Unit 6 - The Value of Time | Complete Glossary,Remember,Choose the correct meaning of [[cherished]].,very interested and wanting to know more,loved and protected very much,able to be trusted,pleasure when a desire is satisfied,B | loved and protected very much,Easy,1,PRO,1
q_9_eng_ch6_002,1,ENGLISH_A | Unit 6 - The Value of Time | Complete Glossary,Remember,Choose the correct meaning of [[elucidate]].,in a careful and logical way,important enough to have an effect or be noticed,very interested and wanting to know more,to explain something more clearly,D | to explain something more clearly,Easy,1,PRO,1
q_9_eng_ch6_003,1,ENGLISH_A | Unit 6 - The Value of Time | Complete Glossary,Remember,Choose the correct meaning of [[gratification]].,pleasure when a desire is satisfied,in a way that continues for a long time without stopping,loved and protected very much,in a careful and logical way,A | pleasure when a desire is satisfied,Easy,1,PRO,1
q_9_eng_ch6_004,1,ENGLISH_A | Unit 6 - The Value of Time | Complete Glossary,Remember,Choose the correct meaning of [[intrigued]].,giving importance to something before other things,to explain something more clearly,very interested and wanting to know more,in a way that continues for a long time without stopping,C | very interested and wanting to know more,Easy,1,PRO,1
q_9_eng_ch6_005,1,ENGLISH_A | Unit 6 - The Value of Time | Complete Glossary,Remember,Choose the correct meaning of [[methodically]].,able to be trusted,pleasure when a desire is satisfied,in a careful and logical way,giving importance to something before other things,C | in a careful and logical way,Medium,1,PRO,1
q_9_eng_ch6_006,1,ENGLISH_A | Unit 6 - The Value of Time | Complete Glossary,Remember,Choose the correct meaning of [[perpetually]].,in a way that continues for a long time without stopping,important enough to have an effect or be noticed,very interested and wanting to know more,able to be trusted,A | in a way that continues for a long time without stopping,Medium,1,PRO,1
q_9_eng_ch6_007,1,ENGLISH_A | Unit 6 - The Value of Time | Complete Glossary,Remember,Choose the correct meaning of [[prioritising]].,loved and protected very much,in a careful and logical way,important enough to have an effect or be noticed,giving importance to something before other things,D | giving importance to something before other things,Medium,1,PRO,1
q_9_eng_ch6_008,1,ENGLISH_A | Unit 6 - The Value of Time | Complete Glossary,Remember,Choose the correct meaning of [[reliable]].,to explain something more clearly,able to be trusted,in a way that continues for a long time without stopping,loved and protected very much,B | able to be trusted,Medium,1,PRO,1
q_9_eng_ch6_009,1,ENGLISH_A | Unit 6 - The Value of Time | Complete Glossary,Remember,Choose the correct meaning of [[significant]].,important enough to have an effect or be noticed,pleasure when a desire is satisfied,giving importance to something before other things,to explain something more clearly,A | important enough to have an effect or be noticed,Medium,1,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 6 - The Value of Time | Correct Spellings,Topic,,,,,,,,,,1
q_9_eng_ch6_010,1,ENGLISH_A | Unit 6 - The Value of Time | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 6 word: [[cherished]].,cherishe,cehrished,cherished,cheerished,C | cherished,Easy,1,ULTRA,1
q_9_eng_ch6_011,1,ENGLISH_A | Unit 6 - The Value of Time | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 6 word: [[elucidate]].,elucidat,elucidate,eulcidate,eluucidate,B | elucidate,Easy,1,ULTRA,1
q_9_eng_ch6_012,1,ENGLISH_A | Unit 6 - The Value of Time | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 6 word: [[gratification]].,gratificatio,gartification,graatification,gratification,D | gratification,Easy,1,ULTRA,1
q_9_eng_ch6_013,1,ENGLISH_A | Unit 6 - The Value of Time | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 6 word: [[intrigued]].,intrigue,itnrigued,inttrigued,intrigued,D | intrigued,Easy,1,ULTRA,1
q_9_eng_ch6_014,1,ENGLISH_A | Unit 6 - The Value of Time | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 6 word: [[methodically]].,methodicall,methodically,mtehodically,metthodically,B | methodically,Medium,1,ULTRA,1
q_9_eng_ch6_015,1,ENGLISH_A | Unit 6 - The Value of Time | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 6 word: [[perpetually]].,perpetuall,prepetually,perpetually,perrpetually,C | perpetually,Medium,1,ULTRA,1
q_9_eng_ch6_016,1,ENGLISH_A | Unit 6 - The Value of Time | Correct Spellings,Remember,Choose the correctly spelt form of the Unit 6 word: [[prioritising]].,prioritising,prioritisin,piroritising,priioritising,A | prioritising,Medium,1,ULTRA,1
