question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,5.1 Linear Equations in One Variable,topic_separator,,,,,,1
q_9_math_ch5_sq_001,1,5.1 Linear Equations in One Variable,definition_formula,Define a linear equation in one variable and state its general form.,one variable میں linear equation کی تعریف کریں اور اس کی general form بیان کریں۔,Easy,2,ULTRA,1
q_9_math_ch5_sq_002,1,5.1 Linear Equations in One Variable,process_steps,State the main steps used to solve a linear equation in one variable.,one variable میں linear equation solve کرنے کے main steps بیان کریں۔,Easy,2,ULTRA,1
q_9_math_ch5_sq_003,1,5.1 Linear Equations in One Variable,numerical_short,Solve the linear equation: 5x − 10 = 10,درج ذیل linear equation solve کریں: 5x − 10 = 10,Easy,2,PRO,1
TOPIC_SEP,1,5.1 Verification of a Solution,topic_separator,,,,,,1
q_9_math_ch5_sq_004,1,5.1 Verification of a Solution,process_steps,State how the solution of a linear equation is verified in the original equation.,بیان کریں کہ linear equation کے solution کو original equation میں کیسے verify کیا جاتا ہے۔,Easy,2,ELITE,1
TOPIC_SEP,1,5.1 Number-Line Representation,topic_separator,,,,,,1
q_9_math_ch5_sq_005,1,5.1 Number-Line Representation,diagram_based,Explain how a single solution of a linear equation is represented on a number line.,وضاحت کریں کہ linear equation کے single solution کو number line پر کیسے represent کیا جاتا ہے۔,Easy,2,ELITE,1
TOPIC_SEP,1,5.2 Linear Inequalities,topic_separator,,,,,,1
q_9_math_ch5_sq_006,1,5.2 Linear Inequalities,definition_formula,Define a linear inequality in one variable and give one symbolic example.,one variable میں linear inequality کی تعریف کریں اور one symbolic example دیں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,5.2 Properties of Inequalities,topic_separator,,,,,,1
q_9_math_ch5_sq_007,1,5.2 Properties of Inequalities,law_principle,State how adding or subtracting the same real number on both sides affects an inequality.,بیان کریں کہ both sides پر same real number add یا subtract کرنے سے inequality کیسے affect ہوتی ہے۔,Easy,2,ULTRA,1
q_9_math_ch5_sq_008,1,5.2 Properties of Inequalities,law_principle,State the rule for multiplying or dividing both sides of an inequality by a negative number.,inequality کے both sides کو negative number سے multiply یا divide کرنے کا rule بیان کریں۔,Easy,2,PRO,1
q_9_math_ch5_sq_009,1,5.2 Linear Inequalities,numerical_short,Solve the inequality and express the solution set: x − 6 ≤ −2,inequality solve کریں اور solution set express کریں: x − 6 ≤ −2,Easy,2,PRO,1
TOPIC_SEP,1,5.2 Interval Notation,topic_separator,,,,,,1
q_9_math_ch5_sq_010,1,5.2 Interval Notation,definition_example,Define open and closed intervals and give one example of each.,open اور closed intervals کی تعریف کریں اور ہر ایک کی one example دیں۔,Easy,2,ULTRA,1
q_9_math_ch5_sq_011,1,5.2 Interval Notation,numerical_short,Write the inequality in interval notation: x > 1,درج ذیل inequality کو interval notation میں لکھیں: x > 1,Easy,2,PRO,1
q_9_math_ch5_sq_012,1,5.2 Interval Notation,numerical_short,Write the inequality in interval notation: x ≤ 1,درج ذیل inequality کو interval notation میں لکھیں: x ≤ 1,Easy,2,PRO,1
TOPIC_SEP,1,5.2 Linear Inequalities in Two Variables,topic_separator,,,,,,1
q_9_math_ch5_sq_013,1,5.2 Linear Inequalities in Two Variables,definition_function,Define a linear inequality in two variables and state what its graph represents.,two variables میں linear inequality کی تعریف کریں اور بیان کریں کہ اس کا graph کیا represent کرتا ہے۔,Easy,2,ULTRA,1
TOPIC_SEP,1,5.2 Associated Equation,topic_separator,,,,,,1
q_9_math_ch5_sq_014,1,5.2 Associated Equation,definition_function,Define the associated equation of a linear inequality and state its use in graphing.,linear inequality کی associated equation کی تعریف کریں اور graphing میں اس کا use بیان کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,5.3 Feasible Region,topic_separator,,,,,,1
q_9_math_ch5_sq_015,1,5.3 Feasible Region,definition_function,Define a feasible region and state the role of non-negative constraints.,feasible region کی تعریف کریں اور non-negative constraints کا role بیان کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,5.3 Corner Point,topic_separator,,,,,,1
q_9_math_ch5_sq_016,1,5.3 Corner Point,definition_function,Define a corner point or vertex of a feasible region and state how it is obtained.,feasible region کے corner point یا vertex کی تعریف کریں اور بیان کریں کہ یہ کیسے obtain ہوتا ہے۔,Easy,2,ULTRA,1
q_9_math_ch5_sq_017,1,5.1 Linear Equations in One Variable,numerical_short,Solve the linear equation: 12x + 30 = −6,درج ذیل linear equation solve کریں: 12x + 30 = −6,Medium,2,PRO,1
q_9_math_ch5_sq_018,1,5.1 Linear Equations in One Variable,numerical_short,Solve the linear equation: x/3 + 6 = −12,درج ذیل linear equation solve کریں: x/3 + 6 = −12,Medium,2,PRO,1
TOPIC_SEP,1,5.1 Equations Containing Fractions,topic_separator,,,,,,1
q_9_math_ch5_sq_019,1,5.1 Equations Containing Fractions,process_steps,Explain how the LCM of denominators is used while solving a linear equation containing fractions.,وضاحت کریں کہ fractions والی linear equation solve کرتے وقت denominators کا LCM کیسے use ہوتا ہے۔,Medium,2,ELITE,1
q_9_math_ch5_sq_020,1,5.1 Equations Containing Fractions,numerical_short,Solve the equation: (x − 2)/5 − (x − 4)/2 = 2,درج ذیل equation solve کریں: (x − 2)/5 − (x − 4)/2 = 2,Medium,2,PRO,1
q_9_math_ch5_sq_021,1,5.2 Linear Inequalities,numerical_short,Solve the inequality and represent the result on a number line: 7x + 4 < 6x + 6,inequality solve کریں اور result کو number line پر represent کریں: 7x + 4 < 6x + 6,Medium,2,PRO,1
q_9_math_ch5_sq_022,1,5.2 Linear Inequalities,numerical_short,Solve the inequality and write its interval: −2x > 6,inequality solve کریں اور اس کا interval لکھیں: −2x > 6,Medium,2,PRO,1
TOPIC_SEP,1,5.2 Boundary Lines,topic_separator,,,,,,1
q_9_math_ch5_sq_023,1,5.2 Boundary Lines,difference,Differentiate between the boundary lines used for strict and non-strict inequalities.,strict اور non-strict inequalities کے لیے used boundary lines میں فرق بیان کریں۔,Medium,2,ELITE,1
TOPIC_SEP,1,5.2 Half-Planes,topic_separator,,,,,,1
q_9_math_ch5_sq_024,1,5.2 Half-Planes,compare_contrast,Compare the half-planes produced by vertical and non-vertical boundary lines.,vertical اور non-vertical boundary lines سے produced half-planes کا موازنہ کریں۔,Medium,2,ELITE,1
TOPIC_SEP,1,5.2 Test-Point Method,topic_separator,,,,,,1
q_9_math_ch5_sq_025,1,5.2 Test-Point Method,process_steps,State the test-point method for identifying the solution half-plane of a linear inequality.,linear inequality کا solution half-plane identify کرنے کے لیے test-point method بیان کریں۔,Medium,2,ULTRA,1
TOPIC_SEP,1,5.2 Graphing a Linear Inequality,topic_separator,,,,,,1
