question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,15.1 Molar Volume,Topic,,,,,,,,,,,1
q_10_chem_ch15_001,1,15.1 Molar Volume,Remember,Which conditions are used as room temperature and pressure (RTP) in the chapter?,باب میں room temperature and pressure (RTP) کے لیے کون سے حالات استعمال کیے گئے ہیں؟,25 °C (298.15 K) and 1 atmosphere (760 torr) / 25 °C (298.15 K) اور 1 atmosphere (760 torr),0 °C (273 K) and 2 atmospheres / 0 °C (273 K) اور 2 atmospheres,100 °C (373 K) and 760 atmospheres / 100 °C (373 K) اور 760 atmospheres,25 K and 1 torr / 25 K اور 1 torr,A | 25 °C (298.15 K) and 1 atmosphere (760 torr) / 25 °C (298.15 K) اور 1 atmosphere (760 torr),Easy,1,PRO,1
q_10_chem_ch15_002,1,15.1 Molar Volume,Remember,What volume is occupied by one mole of any gas at RTP?,RTP پر کسی بھی گیس کا ایک mole کتنا حجم گھیرتا ہے؟,22.4 dm³ / 22.4 dm³,24 dm³ / 24 dm³,12 dm³ / 12 dm³,44 dm³ / 44 dm³,B | 24 dm³ / 24 dm³,Easy,1,PRO,1
q_10_chem_ch15_003,1,15.1 Molar Volume,Understand,Why can the molar volume concept be used for different gases at RTP?,RTP پر مختلف گیسوں کے لیے molar volume کا تصور کیوں استعمال کیا جا سکتا ہے؟,All gases have the same molar mass / تمام گیسوں کا molar mass یکساں ہوتا ہے,One mole of every gas occupies the same volume at the same temperature and pressure / ایک ہی درجہ حرارت اور دباؤ پر ہر گیس کا ایک mole یکساں حجم گھیرتا ہے,All gas molecules have the same size / تمام گیس سالمات کا حجم یکساں ہوتا ہے,All gases contain the same mass in one mole / تمام گیسوں کے ایک mole میں یکساں کمیت ہوتی ہے,B | One mole of every gas occupies the same volume at the same temperature and pressure / ایک ہی درجہ حرارت اور دباؤ پر ہر گیس کا ایک mole یکساں حجم گھیرتا ہے,Medium,1,ULTRA,1
q_10_chem_ch15_004,1,15.1 Molar Volume,Apply,How many moles are present in 2.5 dm³ of nitrogen gas at RTP?,RTP پر nitrogen gas کے 2.5 dm³ میں کتنے moles موجود ہیں؟,0.24 mol / 0.24 mol,0.10 mol / 0.10 mol,2.50 mol / 2.50 mol,60.0 mol / 60.0 mol,B | 0.10 mol / 0.10 mol,Medium,1,PRO,1
q_10_chem_ch15_005,1,15.1 Molar Volume,Apply,What volume is occupied by 0.5 mol of hydrogen gas at RTP?,RTP پر 0.5 mol hydrogen gas کتنا حجم گھیرتی ہے؟,24 dm³ / 24 dm³,48 dm³ / 48 dm³,12 dm³ / 12 dm³,0.0208 dm³ / 0.0208 dm³,C | 12 dm³ / 12 dm³,Easy,1,PRO,1
q_10_chem_ch15_006,1,15.1 Molar Volume,Apply,What volume is occupied by 15 mol of ammonia gas at RTP?,RTP پر 15 mol ammonia gas کتنا حجم گھیرتی ہے؟,224 dm³ / 224 dm³,360 dm³ / 360 dm³,160 dm³ / 160 dm³,265 dm³ / 265 dm³,B | 360 dm³ / 360 dm³,Medium,1,PRO,1
q_10_chem_ch15_007,1,15.1 Molar Volume,Apply,How many moles of methane are present in 18 dm³ of CH₄ at RTP?,RTP پر CH₄ کے 18 dm³ میں کتنے moles موجود ہیں؟,0.67 mol / 0.67 mol,0.85 mol / 0.85 mol,0.75 mol / 0.75 mol,0.56 mol / 0.56 mol,C | 0.75 mol / 0.75 mol,Medium,1,PRO,1
q_10_chem_ch15_008,1,15.1 Molar Volume,Analyze,One mole of two different gases is compared at RTP. Which statement is correct?,RTP پر دو مختلف گیسوں کے ایک ایک mole کا تقابل کیا جاتا ہے۔ کون سا بیان درست ہے؟,They have the same mass but occupy different volumes / ان کی کمیت یکساں لیکن حجم مختلف ہوتے ہیں,They contain different numbers of molecules and equal masses / ان میں سالمات کی تعداد مختلف اور کمیت یکساں ہوتی ہے,Their molecular sizes determine different molar volumes at RTP / ان کے سالماتی حجم RTP پر مختلف molar volumes مقرر کرتے ہیں,They occupy the same volume but may have different masses / وہ یکساں حجم گھیرتی ہیں لیکن ان کی کمیتیں مختلف ہو سکتی ہیں,D | They occupy the same volume but may have different masses / وہ یکساں حجم گھیرتی ہیں لیکن ان کی کمیتیں مختلف ہو سکتی ہیں,Hard,1,ELITE,1
TOPIC_SEP,1,15.2 Concentration of a Solution,Topic,,,,,,,,,,,1
