question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
sep_10_q1b_0001,1,ENGLISH_A | Q1(b) CORRECT SPELLINGS | COMPLETE BOOK MASTER,Topic,,,,,,,,,,1
sep_10_q1b_0002,1,ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNITS 1-5 + REVIEW-I | PAPER QUOTA 2 MARKS,Topic,,,,,,,,,,1
sep_10_q1b_0003,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Topic,,,,,,,,,,1
q_10_q1b_0001,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Remember,Choose the correctly spelt word.,acocuntable,accountabll,accoutable,accountable,D | accountable,Medium,1,ULTRA,1
q_10_q1b_0002,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Remember,Choose the correctly spelt word.,amonn,amng,among,amnog,C | among,Medium,1,PRO,1
q_10_q1b_0003,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Remember,Choose the correctly spelt word.,elevted,elevated,elveated,elevatee,B | elevated,Medium,1,PRO,1
q_10_q1b_0004,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Remember,Choose the correctly spelt word.,emancipation,emnacipation,emancipatioo,emanciation,A | emancipation,Medium,1,ULTRA,1
q_10_q1b_0005,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Remember,Choose the correctly spelt word.,emhpasized,emphasizee,emphaized,emphasized,D | emphasized,Medium,1,ULTRA,1
q_10_q1b_0006,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Remember,Choose the correctly spelt word.,financiaa,finacial,financial,fianncial,C | financial,Medium,1,PRO,1
q_10_q1b_0007,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Remember,Choose the correctly spelt word.,inhrit,inherit,inehrit,inherii,B | inherit,Medium,1,PRO,1
q_10_q1b_0008,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Remember,Choose the correctly spelt word.,inseparable,inesparable,inseparabll,inseprable,A | inseparable,Medium,1,ULTRA,1
q_10_q1b_0009,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Remember,Choose the correctly spelt word.,muutal,mutuaa,mutal,mutual,D | mutual,Medium,1,PRO,1
q_10_q1b_0010,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Remember,Choose the correctly spelt word.,oppressee,opprssed,oppressed,oprpessed,C | oppressed,Medium,1,PRO,1
q_10_q1b_0011,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves | MODEL PAPER DIRECT",Remember,Choose the correctly spelt word.,patrirchal,patriarchal,partiarchal,patriarchaa,B | patriarchal,Medium,1,ELITE,1
q_10_q1b_0012,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Remember,Choose the correctly spelt word.,prominent,prmoinent,prominenn,promnent,A | prominent,Medium,1,PRO,1
q_10_q1b_0013,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Remember,Choose the correctly spelt word.,reofrms,reformm,refrms,reforms,D | reforms,Medium,1,PRO,1
q_10_q1b_0014,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Remember,Choose the correctly spelt word.,relevann,releant,relevant,reelvant,C | relevant,Medium,1,PRO,1
q_10_q1b_0015,1,"ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 1 - Hazrat Muhammad’s Social Reforms for the Rights of Women, Orphans and Slaves",Remember,Choose the correctly spelt word.,widesread,widespread,wiedspread,widespreaa,B | widespread,Medium,1,ULTRA,1
sep_10_q1b_0004,1,ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 2 - My Beloved Pakistan,Topic,,,,,,,,,,1
q_10_q1b_0016,1,ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 2 - My Beloved Pakistan,Remember,Choose the correctly spelt word.,beacon,becaon,beacoo,beaon,A | beacon,Medium,1,PRO,1
q_10_q1b_0017,1,ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 2 - My Beloved Pakistan,Remember,Choose the correctly spelt word.,bloominn,blooing,bllooming,blooming,D | blooming,Medium,1,PRO,1
q_10_q1b_0018,1,ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 2 - My Beloved Pakistan,Remember,Choose the correctly spelt word.,glowinn,gloing,glowing,glwoing,C | glowing,Medium,1,PRO,1
q_10_q1b_0019,1,ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 2 - My Beloved Pakistan,Remember,Choose the correctly spelt word.,pece,peace,pecae,peacc,B | peace,Medium,1,PRO,1
q_10_q1b_0020,1,ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 2 - My Beloved Pakistan,Remember,Choose the correctly spelt word.,pride,prdie,pridd,prde,A | pride,Medium,1,PRO,1
q_10_q1b_0021,1,ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 2 - My Beloved Pakistan,Remember,Choose the correctly spelt word.,soer,coar,soaar,soar,D | soar,Medium,1,PRO,1
q_10_q1b_0022,1,ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 2 - My Beloved Pakistan,Remember,Choose the correctly spelt word.,strivv,strve,strive,stirve,C | strive,Medium,1,PRO,1
sep_10_q1b_0005,1,ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 3 - Digital Globalisation Transforming the English Language,Topic,,,,,,,,,,1
q_10_q1b_0023,1,ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 3 - Digital Globalisation Transforming the English Language,Remember,Choose the correctly spelt word.,abbrevations,abbreviations,abrbeviations,abbreviationn,B | abbreviations,Medium,1,ULTRA,1
q_10_q1b_0024,1,ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 3 - Digital Globalisation Transforming the English Language,Remember,Choose the correctly spelt word.,controversial,cotnroversial,controversiaa,controersial,A | controversial,Medium,1,ULTRA,1
q_10_q1b_0025,1,ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 3 - Digital Globalisation Transforming the English Language,Remember,Choose the correctly spelt word.,covnersation,conversatioo,converation,conversation,D | conversation,Medium,1,ULTRA,1
q_10_q1b_0026,1,ENGLISH_A | Q1(b) CORRECT SPELLINGS | UNIT 3 - Digital Globalisation Transforming the English Language,Remember,Choose the correctly spelt word.,evolvv,evove,evolve,evlove,C | evolve,Medium,1,PRO,1
