question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,11.1 Heat Transfer and Thermal Equilibrium,topic_separator,,,,,,1
q_10_phy_ch11_sq_001,1,11.1 Heat Transfer and Thermal Equilibrium,definition_function,Define heat transfer and state the direction in which thermal energy flows between two objects.,حرارت کی منتقلی کی تعریف کریں اور بیان کریں کہ دو اجسام کے درمیان حرارتی توانائی کس سمت میں بہتی ہے۔,Easy,2,PRO,1
q_10_phy_ch11_sq_002,1,11.1 Heat Transfer and Thermal Equilibrium,definition_function,Define thermal equilibrium.,حرارتی توازن کی تعریف کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,11.1 Modes of Heat Transfer,topic_separator,,,,,,1
q_10_phy_ch11_sq_003,1,11.1 Modes of Heat Transfer,classification,Name the three primary modes of heat transfer.,حرارت کی منتقلی کے تین بنیادی طریقوں کے نام لکھیں۔,Easy,2,PRO,1
TOPIC_SEP,1,11.1 Conduction,topic_separator,,,,,,1
q_10_phy_ch11_sq_004,1,11.1 Conduction,definition_function,Define conduction of heat.,ترسیلِ حرارت کی تعریف کریں۔,Easy,2,PRO,1
q_10_phy_ch11_sq_005,1,11.1 Conduction,explain_reason,Why does heat travel faster through metals than through non-metals?,حرارت غیر دھاتوں کے مقابلے میں دھاتوں میں زیادہ تیزی سے کیوں منتقل ہوتی ہے؟,Easy,2,PRO,1
TOPIC_SEP,1,11.1 Conduction in Metals,topic_separator,,,,,,1
q_10_phy_ch11_sq_006,1,11.1 Conduction in Metals,function_purpose,State the role of free electrons in the conduction of heat through metals.,دھاتوں میں ترسیلِ حرارت کے دوران آزاد الیکٹرون کا کردار بیان کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,11.2 Convection,topic_separator,,,,,,1
q_10_phy_ch11_sq_007,1,11.2 Convection,definition_function,Define convection.,حملِ حرارت کی تعریف کریں۔,Easy,2,PRO,1
TOPIC_SEP,1,11.2 Convection Currents,topic_separator,,,,,,1
q_10_phy_ch11_sq_008,1,11.2 Convection Currents,cause_effect,What causes convection currents in liquids and gases?,مائعات اور گیسوں میں حملی روئیں کس وجہ سے پیدا ہوتی ہیں؟,Easy,2,PRO,1
TOPIC_SEP,1,11.2 Convection in Fluids,topic_separator,,,,,,1
q_10_phy_ch11_sq_009,1,11.2 Convection in Fluids,concept_explanation,State why heated fluid rises while cooler fluid sinks.,بیان کریں کہ گرم سیال اوپر کیوں اٹھتا ہے جبکہ ٹھنڈا سیال نیچے کیوں بیٹھتا ہے۔,Easy,2,PRO,1
TOPIC_SEP,1,11.2 Land and Sea Breezes,topic_separator,,,,,,1
q_10_phy_ch11_sq_010,1,11.2 Land and Sea Breezes,difference,Differentiate between a sea breeze and a land breeze.,سمندری ہوا اور خشکی کی ہوا میں فرق بیان کریں۔,Easy,2,PRO,1
TOPIC_SEP,1,11.2 Thermal Currents,topic_separator,,,,,,1
q_10_phy_ch11_sq_011,1,11.2 Thermal Currents,application_scenario,How do birds and gliders use thermal air currents?,پرندے اور گلائیڈر گرم ہوا کی حملی روؤں کو کیسے استعمال کرتے ہیں؟,Easy,2,ELITE,1
TOPIC_SEP,1,11.3 Radiation,topic_separator,,,,,,1
q_10_phy_ch11_sq_012,1,11.3 Radiation,definition_function,Define thermal radiation and state whether it requires a material medium.,حرارتی اشعاع کی تعریف کریں اور بیان کریں کہ آیا اسے مادی میڈیم کی ضرورت ہوتی ہے۔,Easy,2,PRO,1
q_10_phy_ch11_sq_013,1,11.3 Radiation,application_scenario,How does heat from the Sun reach Earth?,سورج کی حرارت زمین تک کیسے پہنچتی ہے؟,Easy,2,PRO,1
TOPIC_SEP,1,11.3 Surface Properties and Radiation,topic_separator,,,,,,1
q_10_phy_ch11_sq_014,1,11.3 Surface Properties and Radiation,list_state,State the surface characteristics of a good absorber and emitter of infrared radiation.,infrared radiation کے اچھے absorber اور emitter کی surface characteristics بیان کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,11.3 Infrared Thermometer,topic_separator,,,,,,1
q_10_phy_ch11_sq_015,1,11.3 Infrared Thermometer,function_purpose,State the function of an infrared thermometer.,infrared thermometer کا function بیان کریں۔,Easy,2,ELITE,1
TOPIC_SEP,1,11.4 Greenhouse Effect,topic_separator,,,,,,1
q_10_phy_ch11_sq_016,1,11.4 Greenhouse Effect,definition_function,Define the greenhouse effect.,گرین ہاؤس اثر کی تعریف کریں۔,Easy,2,PRO,1
TOPIC_SEP,1,11.1 Conduction in Solids,topic_separator,,,,,,1
q_10_phy_ch11_sq_017,1,11.1 Conduction in Solids,concept_explanation,Explain thermal conduction in a non-metallic solid in terms of atomic or molecular lattice vibrations.,ایٹمی یا سالماتی جالی کے ارتعاشات کی مدد سے غیر دھاتی ٹھوس میں ترسیلِ حرارت کی وضاحت کریں۔,Medium,2,PRO,1
q_10_phy_ch11_sq_018,1,11.1 Conduction in Metals,compare_contrast,Compare heat conduction in metals and non-metals in terms of particle vibrations and free electrons.,ذرات کے ارتعاش اور آزاد الیکٹرون کے لحاظ سے دھاتوں اور غیر دھاتوں میں ترسیلِ حرارت کا موازنہ کریں۔,Medium,2,PRO,1
TOPIC_SEP,1,11.1 Applications of Conduction,topic_separator,,,,,,1
q_10_phy_ch11_sq_019,1,11.1 Applications of Conduction,application_scenario,Explain how conduction transfers heat through a metal cooking pan while its wooden or plastic handle remains relatively cool.,وضاحت کریں کہ دھاتی cooking pan میں ترسیل کے ذریعے حرارت کیسے منتقل ہوتی ہے جبکہ اس کا لکڑی یا پلاسٹک کا handle نسبتاً ٹھنڈا رہتا ہے۔,Medium,2,ELITE,1
