question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b6_mcq_001,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | اہل بیت اطہار | حضرت امام زین العابدین رحمۃ اللہ علیہ,Remember,حضرت امام زین العابدین رحمۃ اللہ علیہ کے والد تھے:,حضرت امام حسین رضی اللہ عنہ,حضرت امام حسن رضی اللہ عنہ,حضرت عباس رضی اللہ عنہ,حضرت جعفر رضی اللہ عنہ,A | حضرت امام حسین رضی اللہ عنہ,Medium,1,ELITE,1
q_9_isl_b6_mcq_002,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | اہل بیت اطہار | حضرت امام زین العابدین رحمۃ اللہ علیہ,Remember,لقب «زین العابدین» کا مفہوم ہے:,عبادت گزاروں کی زینت,علماء کے امام,مجاہدوں کے سردار,سخیوں کے سردار,A | عبادت گزاروں کی زینت,Medium,1,ELITE,1
q_9_isl_b6_mcq_003,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | اہل بیت اطہار | حضرت امام زین العابدین رحمۃ اللہ علیہ,Remember,حضرت امام زین العابدین رحمۃ اللہ علیہ کی مشہور تصنیف ہے:,رسالۃ الحقوق,صحیفہ صادقہ,الرسالہ القشیریہ,تذکرۃ الاولیاء,A | رسالۃ الحقوق,Medium,1,ELITE,1
q_9_isl_b6_mcq_004,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | اہل بیت اطہار | حضرت امام زین العابدین رحمۃ اللہ علیہ,Remember,حضرت امام زین العابدین رحمۃ اللہ علیہ کی نمایاں صفت تھی:,عبادت و تقویٰ,تجارت,شاعری,سپہ سالاری,A | عبادت و تقویٰ,Medium,1,ELITE,1
q_9_isl_b6_mcq_005,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | اہل بیت اطہار | حضرت امام زین العابدین رحمۃ اللہ علیہ,Remember,حضرت امام زین العابدین رحمۃ اللہ علیہ کا تعلق تھا:,اہل بیت نبوی سے,بنو امیہ سے,بنو تمیم سے,ثقیف سے,A | اہل بیت نبوی سے,Medium,1,ELITE,1
q_9_isl_b6_mcq_006,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,Remember,حضرت امام زید بن علی رحمۃ اللہ علیہ کے والد تھے:,حضرت امام زین العابدین رحمۃ اللہ علیہ,حضرت امام محمد باقر رحمۃ اللہ علیہ,حضرت امام جعفر صادق رحمۃ اللہ علیہ,حضرت امام حسن رضی اللہ عنہ,A | حضرت امام زین العابدین رحمۃ اللہ علیہ,Medium,1,ELITE,1
q_9_isl_b6_mcq_007,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,Remember,حضرت امام زید بن علی رحمۃ اللہ علیہ کا مشہور لقب تھا:,حلیف القرآن,امین الامت,ترجمان القرآن,سیف اللہ,A | حلیف القرآن,Medium,1,ELITE,1
q_9_isl_b6_mcq_008,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,Remember,حضرت امام زید بن علی رحمۃ اللہ علیہ سے منسوب فقہی مکتب ہے:,فقہ زیدیہ,فقہ حنفیہ,فقہ شافعیہ,فقہ مالکیہ,A | فقہ زیدیہ,Medium,1,ELITE,1
q_9_isl_b6_mcq_009,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,Remember,حضرت امام زید بن علی رحمۃ اللہ علیہ علوم اسلامیہ میں مشہور تھے:,علم و فقہ,صرف طب,صرف ہندسہ,صرف تجارت,A | علم و فقہ,Medium,1,ELITE,1
q_9_isl_b6_mcq_010,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,Remember,حضرت امام زید بن علی رحمۃ اللہ علیہ کی زندگی کا نمایاں وصف تھا:,حق گوئی و شجاعت,مال جمع کرنا,تنہائی,سفر,A | حق گوئی و شجاعت,Medium,1,ELITE,1
q_9_isl_b6_mcq_011,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت ابو موسیٰ اشعری رضی اللہ عنہ,Remember,حضرت ابو موسیٰ اشعری رضی اللہ عنہ کا اصل نام تھا:,عبداللہ بن قیس,عبداللہ بن عمر,عمرو بن عاص,جابر بن عبداللہ,A | عبداللہ بن قیس,Medium,1,ELITE,1
q_9_isl_b6_mcq_012,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت ابو موسیٰ اشعری رضی اللہ عنہ,Remember,حضرت ابو موسیٰ اشعری رضی اللہ عنہ کس قبیلے سے تعلق رکھتے تھے؟,اشعر,قریش,بنو تمیم,ثقیف,A | اشعر,Medium,1,ELITE,1
q_9_isl_b6_mcq_013,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت ابو موسیٰ اشعری رضی اللہ عنہ,Remember,حضرت ابو موسیٰ اشعری رضی اللہ عنہ کی نمایاں خصوصیت تھی:,خوش الحانی سے قرآن پڑھنا,فن تعمیر,طب,شاعری,A | خوش الحانی سے قرآن پڑھنا,Medium,1,ELITE,1
q_9_isl_b6_mcq_014,1,ISLAMIAT | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | صحابہ کرام رضی اللہ عنہم | حضرت ابو موسیٰ اشعری رضی اللہ عنہ,Remember,حضرت ابو موسیٰ اشعری رضی اللہ عنہ کی قراءت کو تشبیہ دی گئی:,آل داؤد کے مزامیر سے,بارش سے,تلوار سے,سمندر سے,A | آل داؤد کے مزامیر سے,Medium,1,ELITE,1
