question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_10_isl_b7_mcq_001,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل کی منصوبہ بندی کا تعلق کس وقت کی تیاری سے ہے؟,موجودہ وقت,آنے والے وقت,جاری وقت,گزرے ہوئے وقت,B | آنے والے وقت,Medium,1,ELITE,1
q_10_isl_b7_mcq_002,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مصر والوں کو قحط سے بچانے کے لیے منصوبہ بندی کس نبی نے کی؟,حضرت یعقوب علیہ السلام,حضرت یوسف علیہ السلام,حضرت اسماعیل علیہ السلام,حضرت اسحاق علیہ السلام,B | حضرت یوسف علیہ السلام,Medium,1,ELITE,1
q_10_isl_b7_mcq_003,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,غزوہ خندق میں خندق کھودنے کا مشورہ کس نے دیا؟,حضرت صہیب رومی رضی اللہ عنہ,حضرت ابوذر غفاری رضی اللہ عنہ,حضرت بلال رضی اللہ عنہ,حضرت سلمان فارسی رضی اللہ عنہ,D | حضرت سلمان فارسی رضی اللہ عنہ,Medium,1,ELITE,1
q_10_isl_b7_mcq_004,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,فتح مکہ کا پیش خیمہ کون سا واقعہ تھا؟,واقعہ معراج,ہجرت حبشہ,سفر طائف,صلح حدیبیہ,D | صلح حدیبیہ,Medium,1,ELITE,1
q_10_isl_b7_mcq_005,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,اللہ تعالیٰ پر بھروسہ کرتے ہوئے اسباب اختیار کرنا کیا کہلاتا ہے؟,بخل,تقویٰ,طمع,توکل,D | توکل,Medium,1,ELITE,1
q_10_isl_b7_mcq_006,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اسلامی تہذیب کے امتیازات,Remember,کسی قوم کے نظریات، ذہن، طرز عمل اور عمومی رویوں کے مجموعے کو کیا کہتے ہیں؟,جغرافیہ,خاندان داری,شہریت,تہذیب,D | تہذیب,Medium,1,ELITE,1
q_10_isl_b7_mcq_007,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اسلامی تہذیب کے امتیازات,Remember,اسلامی تہذیب سے روشنی حاصل کی:,تمام قوموں نے,صرف اہل عرب نے,صرف مسلمانوں نے,صرف اہل مغرب نے,A | تمام قوموں نے,Medium,1,ELITE,1
q_10_isl_b7_mcq_008,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اسلامی تہذیب کے امتیازات,Remember,اللہ تعالیٰ کی توحید پر قائم رہنے والا بندہ کس تہذیب سے تعلق رکھتا ہے؟,فارسی تہذیب,ہندوستانی تہذیب,آریائی تہذیب,اسلامی تہذیب,D | اسلامی تہذیب,Medium,1,ELITE,1
q_10_isl_b7_mcq_009,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اسلامی تہذیب کے امتیازات,Remember,قرآن مجید نے تمام انسانوں کو حق، بھلائی اور اخلاقی شرافت کی بنیاد پر قرار دیا:,ایک قبیلہ,ایک گروہ,ایک لشکر,ایک کنبہ,D | ایک کنبہ,Medium,1,ELITE,1
q_10_isl_b7_mcq_010,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | اسلامی تہذیب کے امتیازات,Remember,پہلی وحی میں حکم دیا گیا:,پڑھنے کا,پاک صاف رہنے کا,نماز کا,توحید کا,A | پڑھنے کا,Medium,1,ELITE,1
q_10_isl_b7_mcq_011,1,ISLAMIAT | CLASS 10 | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | اسلام میں مستقبل کی منصوبہ بندی کی اہمیت,Remember,مستقبل سے مراد ہے:,بے عملی,آنے والا وقت,غفلت,تکبر,B | آنے والا وقت,Medium,1,ULTRA,1
