question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b1_long_001,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q7 ELIGIBLE | TEXTBOOK DETAILED,Long,detailed_question,جمع و تدوین قرآن مجید کی تفصیل بیان کریں۔,Medium,10,ELITE,1
q_9_isl_b1_long_002,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q7 ELIGIBLE | TEXTBOOK DETAILED,Long,detailed_question,جمع و تدوین حدیث پر تفصیل سے روشنی ڈالیں۔,Medium,10,ELITE,1
q_9_isl_b1_hadith_01,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 1,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
أَكْمَلُ الْمُؤْمِنِينَ إِيمَانًا أَحْسَنُهُمْ خُلُقًا، وَخِيَارُهُمْ خِيَارُهُمْ لِنِسَائِهِمْ",Medium,5,ELITE,1
q_9_isl_b1_hadith_02,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 2,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
مَنْ لَمْ يَرْحَمْ صَغِيرَنَا وَيَعْرِفْ حَقَّ كَبِيرِنَا فَلَيْسَ مِنَّا",Medium,5,ELITE,1
q_9_isl_b1_hadith_03,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 3,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
أَيُّهَا النَّاسُ اتَّقُوا اللَّهَ وَأَجْمِلُوا فِي الطَّلَبِ، فَإِنَّ نَفْسًا لَنْ تَمُوتَ حَتَّى تَسْتَوْفِيَ رِزْقَهَا وَإِنْ أَبْطَأَ عَنْهَا، فَاتَّقُوا اللَّهَ وَأَجْمِلُوا فِي الطَّلَبِ، خُذُوا مَا حَلَّ، وَدَعُوا مَا حَرُمَ",Medium,5,ELITE,1
q_9_isl_b1_hadith_04,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 4,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
مَنْ أَحَبَّ أَنْ يُبْسَطَ لَهُ فِي رِزْقِهِ وَيُنْسَأَ لَهُ فِي أَثَرِهِ فَلْيَصِلْ رَحِمَهُ",Medium,5,ELITE,1
q_9_isl_b1_hadith_05,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 5,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
عَنِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فِي الْكَبَائِرِ قَالَ: الْإِشْرَاكُ بِاللَّهِ، وَعُقُوقُ الْوَالِدَيْنِ، وَقَتْلُ النَّفْسِ، وَقَوْلُ الزُّورِ",Medium,5,ELITE,1
q_9_isl_b1_hadith_06,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 6,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
إِنَّ إِخْوَانَكُمْ خَوَلُكُمْ جَعَلَهُمُ اللَّهُ تَحْتَ أَيْدِيكُمْ، فَمَنْ كَانَ أَخُوهُ تَحْتَ يَدِهِ فَلْيُطْعِمْهُ مِمَّا يَأْكُلُ، وَلْيُلْبِسْهُ مِمَّا يَلْبَسُ، وَلَا تُكَلِّفُوهُمْ مَا يَغْلِبُهُمْ، فَإِنْ كَلَّفْتُمُوهُمْ مَا يَغْلِبُهُمْ فَأَعِينُوهُمْ",Medium,5,ELITE,1
q_9_isl_b1_hadith_07,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 7,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
مَنْ أُفْتِيَ بِغَيْرِ عِلْمٍ كَانَ إِثْمُهُ عَلَى مَنْ أَفْتَاهُ، وَمَنْ أَشَارَ عَلَى أَخِيهِ بِأَمْرٍ يَعْلَمُ أَنَّ الرُّشْدَ فِي غَيْرِهِ فَقَدْ خَانَهُ",Medium,5,ELITE,1
q_9_isl_b1_hadith_08,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 8,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
الْحَيَاءُ لَا يَأْتِي إِلَّا بِخَيْرٍ",Medium,5,ELITE,1
q_9_isl_b1_hadith_09,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 9,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
اللَّهُمَّ إِنِّي أَسْأَلُكَ عِلْمًا نَافِعًا، وَرِزْقًا طَيِّبًا، وَعَمَلًا مُتَقَبَّلًا",Medium,5,ELITE,1
q_9_isl_b1_hadith_10,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 10,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
كُلُّ الْمُسْلِمِ عَلَى الْمُسْلِمِ حَرَامٌ: دَمُهُ، وَمَالُهُ، وَعِرْضُهُ",Medium,5,ELITE,1
q_9_isl_b1_hadith_11,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 11,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
بَقِيَّةُ رِجْزٍ، أَوْ عَذَابٌ أُرْسِلَ عَلَى طَائِفَةٍ مِنْ بَنِي إِسْرَائِيلَ، فَإِذَا وَقَعَ بِأَرْضٍ وَأَنْتُمْ بِهَا فَلَا تَخْرُجُوا مِنْهَا، وَإِذَا وَقَعَ بِأَرْضٍ وَلَسْتُمْ بِهَا فَلَا تَهْبِطُوا عَلَيْهَا",Medium,5,ELITE,1
q_9_isl_b1_hadith_12,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 12,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
فَيَرْضَى لَكُمْ أَنْ تَعْبُدُوهُ، وَلَا تُشْرِكُوا بِهِ شَيْئًا، وَأَنْ تَعْتَصِمُوا بِحَبْلِ اللَّهِ جَمِيعًا وَلَا تَفَرَّقُوا، وَيَكْرَهُ لَكُمْ قِيلَ وَقَالَ، وَكَثْرَةَ السُّؤَالِ، وَإِضَاعَةَ الْمَالِ",Medium,5,ELITE,1
q_9_isl_b1_hadith_13,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 13,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
مَا مِنْ مُسْلِمٍ يَغْرِسُ غَرْسًا أَوْ يَزْرَعُ زَرْعًا فَيَأْكُلُ مِنْهُ طَيْرٌ أَوْ إِنْسَانٌ أَوْ بَهِيمَةٌ إِلَّا كَانَ لَهُ بِهِ صَدَقَةٌ",Medium,5,ELITE,1
q_9_isl_b1_hadith_14,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 14,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
مَنْ كَانَ يُؤْمِنُ بِاللَّهِ وَالْيَوْمِ الْآخِرِ فَلَا يُؤْذِ جَارَهُ، وَمَنْ كَانَ يُؤْمِنُ بِاللَّهِ وَالْيَوْمِ الْآخِرِ فَلْيُكْرِمْ ضَيْفَهُ، وَمَنْ كَانَ يُؤْمِنُ بِاللَّهِ وَالْيَوْمِ الْآخِرِ فَلْيَقُلْ خَيْرًا أَوْ لِيَصْمُتْ",Medium,5,ELITE,1
q_9_isl_b1_hadith_15,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 15,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
الْمُسْلِمُ أَخُو الْمُسْلِمِ، لَا يَظْلِمُهُ، وَلَا يَخْذُلُهُ، وَلَا يَحْقِرُهُ",Medium,5,ELITE,1
q_9_isl_b1_hadith_16,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 16,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
اللَّهُمَّ إِنِّي أُحَرِّجُ حَقَّ الضَّعِيفَيْنِ: الْيَتِيمِ وَالْمَرْأَةِ",Medium,5,ELITE,1
q_9_isl_b1_hadith_17,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 17,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
مَا أَمَرْتُكُمْ بِهِ فَخُذُوهُ، وَمَا نَهَيْتُكُمْ عَنْهُ فَانْتَهُوا",Medium,5,ELITE,1
q_9_isl_b1_hadith_18,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 18,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
إِيَّاكُمْ وَالظَّنَّ، فَإِنَّ الظَّنَّ أَكْذَبُ الْحَدِيثِ",Medium,5,ELITE,1
q_9_isl_b1_hadith_19,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE BOARD PATTERN | Q5 ELIGIBLE | منتخب احادیث مبارکہ | HADITH 19,Special,selected_hadith_translation,"درج ذیل حدیث مبارکہ کا اردو ترجمہ لکھیں:
لَعْنَةُ اللَّهِ عَلَى الرَّاشِي وَالْمُرْتَشِي",Medium,5,ELITE,1
