question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b6_short_001,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت امام زید بن علی رحمۃ اللہ علیہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_002,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت امام زید بن علی رحمۃ اللہ علیہ کی دو نمایاں صفات بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_003,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت امام زید بن علی رحمۃ اللہ علیہ کی علمی یا دینی خدمات میں سے دو بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_004,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت امام زید بن علی رحمۃ اللہ علیہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_005,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | اہل بیت اطہار | حضرت امام زید بن علی رحمۃ اللہ علیہ,textbook_exercise_or_direct,حضرت امام زید بن علی رحمۃ اللہ علیہ کے بارے میں کتاب میں بیان کردہ کسی ایک اہم واقعے یا خدمت کا ذکر کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_006,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابہ کرام رضی اللہ عنہم | حضرت عقبہ بن عامر رضی اللہ عنہ,textbook_exercise_or_direct,حضرت عقبہ بن عامر رضی اللہ عنہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_007,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابہ کرام رضی اللہ عنہم | حضرت عقبہ بن عامر رضی اللہ عنہ,textbook_exercise_or_direct,حضرت عقبہ بن عامر رضی اللہ عنہ کی دو نمایاں صفات بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_008,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابہ کرام رضی اللہ عنہم | حضرت عقبہ بن عامر رضی اللہ عنہ,textbook_exercise_or_direct,حضرت عقبہ بن عامر رضی اللہ عنہ کی علمی یا دینی خدمات میں سے دو بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b6_short_009,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابہ کرام رضی اللہ عنہم | حضرت عقبہ بن عامر رضی اللہ عنہ,textbook_exercise_or_direct,حضرت عقبہ بن عامر رضی اللہ عنہ کی زندگی سے حاصل ہونے والے دو اسباق لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_010,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابہ کرام رضی اللہ عنہم | حضرت عقبہ بن عامر رضی اللہ عنہ,textbook_exercise_or_direct,حضرت عقبہ بن عامر رضی اللہ عنہ کے بارے میں کتاب میں بیان کردہ کسی ایک اہم واقعے یا خدمت کا ذکر کریں۔,Medium,2,ULTRA,1
q_10_isl_b6_short_011,1,ISLAMIAT | CLASS 10 | BAB 6 - ہدایت کے سرچشمے اور مشاہیر اسلام | BOOK-BASED PAPER GENERATOR | BOARD/EXERCISE | صحابہ کرام رضی اللہ عنہم | حضرت جابر بن عبداللہ رضی اللہ عنہ,textbook_exercise_or_direct,حضرت جابر بن عبداللہ رضی اللہ عنہ کا مختصر تعارف بیان کریں۔,Medium,2,ELITE,1
