question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b5_short_001,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | سود کی حرمت,textbook_exercise_direct,سود کا معنی و مفہوم بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b5_short_002,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | سود کی حرمت,textbook_exercise_direct,سود کی حرمت پر ایک آیت مبارکہ کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b5_short_003,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | سود کی حرمت,textbook_exercise_direct,سود کی حرمت پر ایک حدیث مبارکہ کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b5_short_004,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | سود کی حرمت,textbook_exercise_direct,قرض حسنہ کی ایک فضیلت تحریر کریں۔,Medium,2,ELITE,1
q_10_isl_b5_short_005,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | سود کی حرمت,textbook_exercise_direct,سود کے معاشرے پر دو نقصانات تحریر کریں۔,Medium,2,ELITE,1
q_10_isl_b5_short_006,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی ریاست,textbook_exercise_direct,اسلامی ریاست کی نمایاں خصوصیات کیا ہیں؟,Medium,2,ELITE,1
q_10_isl_b5_short_007,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی ریاست,textbook_exercise_direct,اسلامی فلاحی ریاست سے کیا مراد ہے؟,Medium,2,ELITE,1
q_10_isl_b5_short_008,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی ریاست,textbook_exercise_direct,اسلامی ریاست میں غیر مسلموں کے کوئی سے دو حقوق بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b5_short_009,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی ریاست,textbook_exercise_direct,اسلامی ریاست میں بے سہارا لوگوں کی نگہداشت کے کوئی سے تین احکام لکھیں۔,Medium,2,ELITE,1
q_10_isl_b5_short_010,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | اسلامی ریاست,textbook_exercise_direct,مملکت خداداد پاکستان کو ہم کیسے ایک اسلامی فلاحی ریاست بنا سکتے ہیں؟,Medium,2,ELITE,1
q_10_isl_b5_short_011,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | جہاد فی سبیل اللہ,textbook_exercise_direct,جہاد کے لغوی معنی کیا ہیں؟,Medium,2,ELITE,1
q_10_isl_b5_short_012,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | جہاد فی سبیل اللہ,textbook_exercise_direct,جہاد کا مقصد کیا ہے؟,Medium,2,ELITE,1
q_10_isl_b5_short_013,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | جہاد فی سبیل اللہ,textbook_exercise_direct,جہاد کی فضیلت پر ایک آیت قرآنی کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b5_short_014,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | جہاد فی سبیل اللہ,textbook_exercise_direct,جہاد کی فضیلت پر ایک حدیث مبارکہ کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b5_short_015,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 BOARD ELIGIBLE | EXERCISE DIRECT | جہاد فی سبیل اللہ,textbook_exercise_direct,پیغام پاکستان کے متعلق کیا جانتے ہیں؟,Medium,2,ELITE,1
q_10_isl_b5_short_016,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,ربا سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_017,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,قرآن مجید میں تجارت اور سود کے بارے میں کیا حکم ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_018,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,اللہ تعالیٰ سود کو مٹانے اور صدقات کو بڑھانے سے کیا سبق دیتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_019,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,سود اور حلال تجارت میں بنیادی فرق بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b5_short_020,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,سود مال کی حقیقی برکت کو کیسے متاثر کرتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_021,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,سود دولت کے ارتکاز کا سبب کیسے بنتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_022,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,سود کمزور طبقے کو کیسے متاثر کرتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_023,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,سود محنت اور کاروبار کے جذبے کو کیسے کم کر سکتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_024,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,سود معاشرے میں طبقاتی فرق کیسے بڑھاتا ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_025,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,سود کے دو معاشی نقصانات لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b5_short_026,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,سود کے دو معاشرتی نقصانات لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b5_short_027,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,قرض حسنہ سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b5_short_028,1,ISLAMIAT | CLASS 10 | BAB 5 - حسن معاملات و معاشرت | BOOK-BASED PAPER GENERATOR | Q4 PRACTICE ONLY | EXTRA IMPORTANT | سود کی حرمت,extra_important_book_derived,قرض حسنہ اور سودی قرض میں فرق بیان کریں۔,Medium,2,ULTRA,1
