question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 3 - Daffodils | While-reading Questions,topic_separator,,,,,1
q_9_eng_ch3_sq_001,1,ENGLISH_A | Unit 3 - Daffodils | While-reading Questions,while_reading,"Who is the speaker in the poem, and what is he doing at the beginning?",Easy,2,PRO,1
q_9_eng_ch3_sq_002,1,ENGLISH_A | Unit 3 - Daffodils | While-reading Questions,while_reading,To which natural element is the speaker compared in the first line?,Easy,2,PRO,1
q_9_eng_ch3_sq_003,1,ENGLISH_A | Unit 3 - Daffodils | While-reading Questions,while_reading,"Where does the speaker encounter the daffodils, and how are they described?",Easy,2,PRO,1
q_9_eng_ch3_sq_004,1,ENGLISH_A | Unit 3 - Daffodils | While-reading Questions,while_reading,How does the poet describe the number of daffodils?,Easy,2,PRO,1
q_9_eng_ch3_sq_005,1,ENGLISH_A | Unit 3 - Daffodils | While-reading Questions,while_reading,What action are the daffodils performing in the breeze?,Easy,2,PRO,1
q_9_eng_ch3_sq_006,1,ENGLISH_A | Unit 3 - Daffodils | While-reading Questions,while_reading,How do the waves beside the daffodils compare with the daffodils?,Medium,2,PRO,1
q_9_eng_ch3_sq_007,1,ENGLISH_A | Unit 3 - Daffodils | While-reading Questions,while_reading,What effect do the daffodils have on the poet’s mood?,Medium,2,PRO,1
q_9_eng_ch3_sq_008,1,ENGLISH_A | Unit 3 - Daffodils | While-reading Questions,while_reading,What does the poet mean by “jocund company”?,Medium,2,PRO,1
q_9_eng_ch3_sq_009,1,ENGLISH_A | Unit 3 - Daffodils | While-reading Questions,while_reading,What happens when the poet lies on his couch in a vacant or pensive mood?,Medium,2,PRO,1
q_9_eng_ch3_sq_010,1,ENGLISH_A | Unit 3 - Daffodils | While-reading Questions,while_reading,What is the “inward eye” mentioned by the poet?,Medium,2,PRO,1
q_9_eng_ch3_sq_011,1,ENGLISH_A | Unit 3 - Daffodils | While-reading Questions,while_reading,How does the memory of the daffodils affect the poet in the end?,Medium,2,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 3 - Daffodils | Reading and Critical Thinking,topic_separator,,,,,1
q_9_eng_ch3_sq_012,1,ENGLISH_A | Unit 3 - Daffodils | Reading and Critical Thinking,exercise_direct,What is the central idea of the poem “Daffodils”?,Easy,2,PRO,1
q_9_eng_ch3_sq_013,1,ENGLISH_A | Unit 3 - Daffodils | Reading and Critical Thinking,exercise_direct,Describe the setting where the poet saw the daffodils. How does it contribute to the mood?,Medium,2,PRO,1
q_9_eng_ch3_sq_014,1,ENGLISH_A | Unit 3 - Daffodils | Reading and Critical Thinking,exercise_direct,"How does the poet describe the daffodils, and what imagery brings them to life?",Medium,2,PRO,1
q_9_eng_ch3_sq_015,1,ENGLISH_A | Unit 3 - Daffodils | Reading and Critical Thinking,exercise_direct,Identify and explain the use of personification in the poem.,Medium,2,PRO,1
q_9_eng_ch3_sq_016,1,ENGLISH_A | Unit 3 - Daffodils | Reading and Critical Thinking,exercise_direct,What is the effect of the rhyme scheme on the rhythm and flow of the poem?,Hard,2,ULTRA,1
q_9_eng_ch3_sq_017,1,ENGLISH_A | Unit 3 - Daffodils | Reading and Critical Thinking,exercise_direct,"Why does the poet describe the daffodils as “jocund company,” and what impact do they have on him?",Medium,2,PRO,1
q_9_eng_ch3_sq_018,1,ENGLISH_A | Unit 3 - Daffodils | Reading and Critical Thinking,exercise_direct,"What does “the bliss of solitude” mean, and how do the daffodils contribute to it?",Hard,2,PRO,1
q_9_eng_ch3_sq_019,1,ENGLISH_A | Unit 3 - Daffodils | Reading and Critical Thinking,exercise_direct,Imagine the poet revisits the same place after many years. Briefly describe his possible feelings and the scene.,Hard,2,ELITE,1
TOPIC_SEP,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Questions,topic_separator,,,,,1
q_9_eng_ch3_sq_020,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Questions,exercise_direct,Identify the simile in the first line. How does it convey the poet’s mood?,Medium,2,PRO,1
q_9_eng_ch3_sq_021,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Questions,exercise_direct,Give two examples of personification and explain how they enliven the daffodils.,Hard,2,PRO,1
q_9_eng_ch3_sq_022,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Questions,exercise_direct,What is the purpose of the hyperbole in the poem?,Medium,2,PRO,1
q_9_eng_ch3_sq_023,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Questions,exercise_direct,Explain the metaphor “They flash upon that inward eye.”,Medium,2,PRO,1
q_9_eng_ch3_sq_024,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Questions,exercise_direct,Identify an example of alliteration and explain its musical effect.,Medium,2,PRO,1
q_9_eng_ch3_sq_025,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Questions,exercise_direct,Describe the imagery that compares the daffodils to stars.,Medium,2,PRO,1
q_9_eng_ch3_sq_026,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Questions,exercise_direct,Why has Wordsworth chosen some figures of speech and not others in “Daffodils”?,Hard,2,ULTRA,1
q_9_eng_ch3_sq_027,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Questions,exercise_direct,How would euphemism or oxymoron change the tone of the poem?,Hard,2,ULTRA,1
q_9_eng_ch3_sq_028,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Questions,exercise_direct,"How can oxymoron add depth to poetry, and why is it absent from “Daffodils”?",Hard,2,ULTRA,1
q_9_eng_ch3_sq_029,1,ENGLISH_A | Unit 3 - Daffodils | Figurative Language Questions,exercise_direct,Why might a poet choose to use or avoid euphemism?,Medium,2,ELITE,1
TOPIC_SEP,1,ENGLISH_A | Unit 3 - Daffodils | Text-derived Board Questions,topic_separator,,,,,1
q_9_eng_ch3_sq_030,1,ENGLISH_A | Unit 3 - Daffodils | Text-derived Board Questions,poem_short,How does the poet’s mood change from the beginning to the end of the poem?,Medium,2,PRO,1
