question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
q_9_phy_ch5_lq_001,,5.1 Work,Long,explain,Explain the scientific meaning of work. Derive the expression W = FS for a constant force and state the condition when no work is done.,کام کا سائنسی مفہوم واضح کریں۔ مستقل قوت کے لیے اظہار W = FS اخذ کریں اور وہ شرط بیان کریں جب کام نہیں ہوتا۔,Easy,5,high,
q_9_phy_ch5_lq_002,,5.1 Work,Long,elaborate,Explain work done when a force acts at an angle θ with the direction of motion. Discuss the cases θ = 0° and θ = 90°.,"حرکت کی سمت کے ساتھ زاویہ θ بنانے والی قوت کے ذریعے کیے گئے کام کی وضاحت کریں۔ درج ذیل صورتیں بیان کریں: θ = 0°, θ = 90°",Medium,5,high,
q_9_phy_ch5_lq_003,,5.1 Work,Long,describe,Describe how work done can be calculated from a force-distance graph.,بیان کریں کہ قوت-فاصلہ گراف سے کیا گیا کام کیسے معلوم کیا جا سکتا ہے۔,Medium,5,high,
q_9_phy_ch5_lq_004,,5.2 Energy,Long,explain,Explain energy as the ability to do work. Describe energy transfer with examples and state why energy is a scalar quantity.,توانائی کو کام کرنے کی صلاحیت کے طور پر واضح کریں۔ مثالوں کے ساتھ توانائی کی منتقلی بیان کریں اور بتائیں کہ توانائی عددی مقدار کیوں ہے۔,Easy,5,high,
q_9_phy_ch5_lq_005,,5.2 Energy,Long,state_and_explain,State and explain the two basic forms of energy. Explain why their combination is called mechanical energy.,توانائی کی دو بنیادی اقسام بیان اور واضح کریں۔ وضاحت کریں کہ ان دونوں کے مجموعے کو میکانی توانائی کیوں کہا جاتا ہے۔,Easy,5,high,
q_9_phy_ch5_lq_006,,5.2 Energy,Long,elaborate,Derive the expression for kinetic energy of a moving body using work done and a velocity-time graph.,کام اور رفتار-وقت گراف کی مدد سے حرکت کرتے ہوئے جسم کی حرکی توانائی کا اظہار اخذ کریں۔,Hard,5,high,
q_9_phy_ch5_lq_007,,5.2 Energy,Long,explain,Explain gravitational potential energy and derive the formula Ep = mgh for a body raised to a height h.,ثقلی ذخیرہ شدہ توانائی کی وضاحت کریں اور اونچائی h تک اٹھائے گئے جسم کے لیے فارمولا Ep = mgh اخذ کریں۔,Medium,5,high,
q_9_phy_ch5_lq_008,,5.2 Energy,Long,describe,"Describe different forms of potential energy including gravitational, elastic, chemical, thermal and nuclear energy.","ذخیرہ شدہ توانائی کی مختلف اقسام بیان کریں جن میں ثقلی، لچکدار، کیمیائی، حرارتی اور جوہری توانائی شامل ہیں۔",Medium,5,high,
q_9_phy_ch5_lq_009,,5.3 Conservation of Energy,Long,state_and_explain,State the principle of conservation of energy and explain it with the example of a falling body.,بقائے توانائی کا اصول بیان کریں اور گرتے ہوئے جسم کی مثال سے اس کی وضاحت کریں۔,Medium,5,high,
q_9_phy_ch5_lq_010,,5.3 Conservation of Energy,Long,discuss,Discuss why some energy appears to be lost during energy transfer processes and how it is dissipated in the environment.,بحث کریں کہ توانائی کی منتقلی کے عمل میں کچھ توانائی ضائع شدہ کیوں محسوس ہوتی ہے اور یہ ماحول میں کیسے منتشر ہوتی ہے۔,Hard,5,high,
q_9_phy_ch5_lq_011,,5.4 Sources of Energy,Long,describe,"Describe electricity generation by fossil fuels using a boiler, steam, turbine, generator, transformer and transmission lines.","بوائلر، بھاپ، ٹربائن، جنریٹر، ٹرانسفارمر اور ٹرانسمیشن لائنز کی مدد سے فوسل فیولز سے بجلی پیدا کرنے کا عمل بیان کریں۔",Medium,5,high,
q_9_phy_ch5_lq_012,,5.4 Sources of Energy,Long,describe,Describe hydroelectric generation and explain the energy changes involved when water falls from a reservoir.,ہائیڈرو الیکٹرک جنریشن بیان کریں اور ذخیرے سے پانی گرنے کے دوران توانائی کی تبدیلیوں کی وضاحت کریں۔,Medium,5,high,
