question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch1_lq_001,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q3 Textbook Paragraph | Translate into Urdu",Topic,topic_separator,,,,,1
q_10_eng_ch1_lq_001,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q3 Textbook Paragraph | Translate into Urdu",Long,translate_to_urdu,"Translate the following passage into Urdu:
Hazrat Muhammad (PBUH), the Last Rasool of Allah, transformed a deeply tribal and unjust society into one based on justice, compassion, and equality. Among his most groundbreaking reforms were those aimed at uplifting the most marginalized and oppressed groups of his time: women, orphans, and slaves.",Medium,8,ELITE,1
q_10_eng_ch1_lq_002,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q3 Textbook Paragraph | Translate into Urdu",Long,translate_to_urdu,"Translate the following passage into Urdu:
Before the advent of Islam, Arabian society was marked by a strong tribal structure, patriarchal norms, and social inequality. Women were deprived of their basic human rights, orphans were often left without care or protection, and slavery was widespread. Hazrat Muhammad (PBUH) introduced reforms based on human dignity, justice, and mercy.",Medium,8,ELITE,1
q_10_eng_ch1_lq_003,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q3 Textbook Paragraph | Translate into Urdu",Long,translate_to_urdu,"Translate the following passage into Urdu:
Under Islamic law, women were given basic human rights. They were granted the right to own and inherit property, their consent became necessary for a valid marriage, and rules were introduced for fair treatment and financial support in divorce. The pursuit of knowledge was also encouraged for both men and women.",Medium,8,ELITE,1
q_10_eng_ch1_lq_004,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q3 Textbook Paragraph | Translate into Urdu",Long,translate_to_urdu,"Translate the following passage into Urdu:
Hazrat Muhammad (PBUH) redefined the role of women in family and society. His matrimonial life served as an example of mutual respect and partnership. He involved women in public matters, allowing them to voice their opinions, participate in treaties, and even serve in combat when necessary.",Medium,8,ULTRA,1
q_10_eng_ch1_lq_005,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q3 Textbook Paragraph | Translate into Urdu",Long,translate_to_urdu,"Translate the following passage into Urdu:
Orphans were very helpless in the time before Islam. Through his teachings and actions, Hazrat Muhammad (PBUH) encouraged people to treat orphans with love, respect, and kindness. Strong ethical and legal frameworks were established to protect them and to hold guardians accountable for their treatment and wealth.",Medium,8,ELITE,1
q_10_eng_ch1_lq_006,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q3 Textbook Paragraph | Translate into Urdu",Long,translate_to_urdu,"Translate the following passage into Urdu:
Misusing or grabbing an orphan's property was declared a major sin. Hazrat Muhammad's (PBUH) reforms not only protected orphans legally but also elevated their status within the community. Taking care of them came to be recognized as a noble and rewarding act.",Medium,8,ULTRA,1
q_10_eng_ch1_lq_007,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q3 Textbook Paragraph | Translate into Urdu",Long,translate_to_urdu,"Translate the following passage into Urdu:
One of Hazrat Muhammad's (PBUH) most transformative contributions to society was his approach to slavery. Rather than an abrupt abolition, which could have caused severe economic and social upheaval, Islam introduced measures that promoted emancipation, human dignity, and equality.",Medium,8,ELITE,1
q_10_eng_ch1_lq_008,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q3 Textbook Paragraph | Translate into Urdu",Long,translate_to_urdu,"Translate the following passage into Urdu:
Freeing slaves was regarded as a highly virtuous act and an expiation for various sins. Hazrat Muhammad (PBUH) instructed Muslims to treat slaves like brothers, feeding them from what they ate and clothing them as they clothed themselves. Slaves were also granted legal rights and protections.",Medium,8,ELITE,1
q_10_eng_ch1_lq_009,1,"ENGLISH_A | Unit 1 - Hazrat Muhammad's Social Reforms for the Rights of Women, Orphans and Slaves | Q3 Textbook Paragraph | Translate into Urdu",Long,translate_to_urdu,"Translate the following passage into Urdu:
Hazrat Bilal ibn Rabah (RA), a former slave, became the Rasoolullah's muezzin and a prominent companion. His life symbolizes Islam's commitment to racial and social equality. The reforms concerning slaves were part of a broader vision based on Tauheed, human brotherhood, and moral responsibility.",Medium,8,ELITE,1
