question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,6.1 Reversible and Irreversible Reactions,Topic,,,,,,,,,,,1
q_9_chem_ch6_001,1,6.1 Reversible and Irreversible Reactions,Remember,What is an irreversible reaction?,ناقابلِ واپسی تعامل کیا ہے؟,A reaction that always occurs equally in both directions / ایسا تعامل جو ہمیشہ دونوں سمتوں میں برابر ہو,A reaction that proceeds essentially in one direction / ایسا تعامل جو بنیادی طور پر ایک ہی سمت میں آگے بڑھے,A reaction with no products / ایسا تعامل جس میں حاصل مادّے نہ ہوں,A reaction in which rates are always zero / ایسا تعامل جس میں رفتاریں ہمیشہ صفر ہوں,B | A reaction that proceeds essentially in one direction / ایسا تعامل جو بنیادی طور پر ایک ہی سمت میں آگے بڑھے,Easy,1,PRO,1
q_9_chem_ch6_002,1,6.1 Reversible and Irreversible Reactions,Remember,What is a reversible reaction?,قابلِ واپسی تعامل کیا ہے؟,A reaction that can occur only once / ایسا تعامل جو صرف ایک بار ہو,A reaction with no reactants / ایسا تعامل جس میں عامل مادّے نہ ہوں,A reaction that cannot reach equilibrium / ایسا تعامل جو توازن تک نہ پہنچ سکے,A reaction that can proceed in both forward and reverse directions / ایسا تعامل جو آگے اور پیچھے دونوں سمتوں میں ہو سکتا ہے,D | A reaction that can proceed in both forward and reverse directions / ایسا تعامل جو آگے اور پیچھے دونوں سمتوں میں ہو سکتا ہے,Easy,1,PRO,1
q_9_chem_ch6_003,1,6.1 Reversible and Irreversible Reactions,Remember,Which symbol is used for a reversible reaction?,قابلِ واپسی تعامل کے لیے کون سی علامت استعمال ہوتی ہے؟,⇌,→,←,≠,A | ⇌,Easy,1,ULTRA,1
q_9_chem_ch6_004,1,6.1 Reversible and Irreversible Reactions,Understand,Why are many combustion reactions considered irreversible?,بہت سے احتراقی تعاملات ناقابلِ واپسی کیوں سمجھے جاتے ہیں؟,They always have zero activation energy / ان کی فعالی توانائی ہمیشہ صفر ہوتی ہے,They contain no oxygen / ان میں آکسیجن نہیں ہوتی,Products escape or are very stable and do not readily reform reactants / حاصل مادّے نکل جاتے ہیں یا بہت مستحکم ہوتے ہیں اور آسانی سے عامل مادّے نہیں بناتے,They occur only in solids / وہ صرف ٹھوس میں ہوتے ہیں,C | Products escape or are very stable and do not readily reform reactants / حاصل مادّے نکل جاتے ہیں یا بہت مستحکم ہوتے ہیں اور آسانی سے عامل مادّے نہیں بناتے,Medium,1,PRO,1
q_9_chem_ch6_005,1,6.1 Reversible and Irreversible Reactions,Understand,When can a reaction become reversible according to the chapter?,باب کے مطابق تعامل کب قابلِ واپسی بن سکتا ہے؟,When the reverse activation energy is infinite / جب پیچھے کے تعامل کی فعالی توانائی لامحدود ہو,When activation energies of forward and reverse reactions are comparable / جب آگے اور پیچھے کے تعاملات کی فعالی توانائیاں قابلِ موازنہ ہوں,When no products are formed / جب کوئی حاصل مادّہ نہ بنے,When all reactants are solids / جب تمام عامل مادّے ٹھوس ہوں,B | When activation energies of forward and reverse reactions are comparable / جب آگے اور پیچھے کے تعاملات کی فعالی توانائیاں قابلِ موازنہ ہوں,Hard,1,PRO,1
TOPIC_SEP,1,6.2 Dynamic Equilibrium,Topic,,,,,,,,,,,1
q_9_chem_ch6_006,1,6.2 Dynamic Equilibrium,Remember,What is dynamic equilibrium?,حرکی توازن کیا ہے؟,A state where forward and reverse reactions continue at equal rates / ایسی حالت جس میں آگے اور پیچھے کے تعامل برابر رفتار سے جاری رہیں,A state where all molecular motion stops / ایسی حالت جس میں تمام سالماتی حرکت رک جائے,A state with only products / ایسی حالت جس میں صرف حاصل مادّے ہوں,A state with zero concentration of reactants / ایسی حالت جس میں عامل مادّوں کا ارتکاز صفر ہو,A | A state where forward and reverse reactions continue at equal rates / ایسی حالت جس میں آگے اور پیچھے کے تعامل برابر رفتار سے جاری رہیں,Easy,1,PRO,1
q_9_chem_ch6_007,1,6.2 Dynamic Equilibrium,Understand,What happens to concentrations at dynamic equilibrium?,حرکی توازن پر ارتکاز کے ساتھ کیا ہوتا ہے؟,They all become equal / وہ سب برابر ہو جاتے ہیں,Reactant concentrations become zero / عامل مادّوں کے ارتکاز صفر ہو جاتے ہیں,Product concentrations keep increasing / حاصل مادّوں کے ارتکاز بڑھتے رہتے ہیں,They remain constant with time / وہ وقت کے ساتھ مستقل رہتے ہیں,D | They remain constant with time / وہ وقت کے ساتھ مستقل رہتے ہیں,Medium,1,PRO,1
q_9_chem_ch6_008,1,6.2 Dynamic Equilibrium,Understand,Does dynamic equilibrium mean the reaction has stopped?,کیا حرکی توازن کا مطلب تعامل کا رک جانا ہے؟,"Yes, all particles become stationary / ہاں، تمام ذرّات ساکن ہو جاتے ہیں","Yes, only the forward reaction stops / ہاں، صرف آگے کا تعامل رک جاتا ہے","No, both forward and reverse reactions continue / نہیں، آگے اور پیچھے دونوں تعامل جاری رہتے ہیں","Yes, only the reverse reaction continues / ہاں، صرف پیچھے کا تعامل جاری رہتا ہے","C | No, both forward and reverse reactions continue / نہیں، آگے اور پیچھے دونوں تعامل جاری رہتے ہیں",Medium,1,PRO,1
