question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
,1,1.1 Physical and Non-Physical Quantities,,,,,,,1
q_9_phy_ch1_sq_001,,1.1 Physical and Non-Physical Quantities,define,Define physical quantity and give two examples with measuring instruments.,طبیعی مقدار کی تعریف کریں اور پیمائشی آلات کے ساتھ دو مثالیں دیں۔,Easy,2,high,
q_9_phy_ch1_sq_002,,1.1 Physical and Non-Physical Quantities,define,Define non-physical quantity and give two examples.,غیر طبیعی مقدار کی تعریف کریں اور دو مثالیں دیں۔,Easy,2,high,
q_9_phy_ch1_sq_003,,1.1 Physical and Non-Physical Quantities,conceptual,Can a non-physical quantity be measured? Explain one method used to describe or compare it.,کیا غیر طبیعی مقدار کو ناپا جا سکتا ہے؟ اسے بیان یا موازنہ کرنے کا ایک طریقہ واضح کریں۔,Easy,2,high,
,1,1.2 Measurement of a Physical Quantity,,,,,,,1
q_9_phy_ch1_sq_004,,1.2 Measurement of a Physical Quantity,define,Define measurement and name its two parts.,پیمائش کی تعریف کریں اور اس کے دو حصوں کے نام لکھیں۔,Easy,2,high,
q_9_phy_ch1_sq_005,,1.2 Measurement of a Physical Quantity,conceptual,Why is a measurement without a unit meaningless? Give one suitable example.,اکائی کے بغیر پیمائش بے معنی کیوں ہوتی ہے؟ ایک مناسب مثال دیں۔,Easy,2,high,
,1,1.2 Base and Derived Physical Quantities,,,,,,,1
q_9_phy_ch1_sq_006,,1.2 Base and Derived Physical Quantities,define,Define base quantities and give three examples.,بنیادی مقداروں کی تعریف کریں اور تین مثالیں دیں۔,Easy,2,high,
q_9_phy_ch1_sq_007,,1.2 Base and Derived Physical Quantities,define,Define derived quantities and give three examples.,اخذ شدہ مقداروں کی تعریف کریں اور تین مثالیں دیں۔,Easy,2,high,
,1,1.3 International System of Units,,,,,,,1
q_9_phy_ch1_sq_008,,1.3 International System of Units,define,What is the International System of Units? Write its abbreviation.,بین الاقوامی نظامِ اکائیات کیا ہے؟ اس کا مخفف لکھیں۔,Easy,2,high,
q_9_phy_ch1_sq_009,,1.3 International System of Units,list,Write the names and symbols of all seven SI base units.,تمام سات ایس آئی بنیادی اکائیوں کے نام اور علامات لکھیں۔,Easy,2,high,
q_9_phy_ch1_sq_010,,1.3 International System of Units,application,Which SI unit is suitable for expressing the height of a desk? Write its symbol.,میز کی اونچائی ظاہر کرنے کے لیے کون سی ایس آئی اکائی مناسب ہے؟ اس کی علامت لکھیں۔,Easy,2,high,
,1,1.3 Derived Units,,,,,,,1
q_9_phy_ch1_sq_011,,1.3 Derived Units,define,Define derived unit and give two examples with symbols.,اخذ شدہ اکائی کی تعریف کریں اور دو مثالیں علامات سمیت دیں۔,Easy,2,high,
q_9_phy_ch1_sq_012,,1.3 Derived Units,list,Write three derived quantities with their SI units and symbols.,تین اخذ شدہ مقداریں ان کی ایس آئی اکائیوں اور علامات سمیت لکھیں۔,Easy,2,high,
,1,1.4 SI Prefixes,,,,,,,1
q_9_phy_ch1_sq_013,,1.4 SI Prefixes,define,Define SI prefix and give three examples with symbols.,ایس آئی سابقہ کی تعریف کریں اور تین مثالیں علامات سمیت دیں۔,Easy,2,high,
,1,1.4 Scientific Notation,,,,,,,1
q_9_phy_ch1_sq_014,,1.4 Scientific Notation,define,Define scientific notation and write one example.,سائنسی ترقیم (scientific notation) کی تعریف کریں اور ایک مثال لکھیں۔,Easy,2,high,
,1,1.5 Length Measuring Instruments,,,,,,,1
q_9_phy_ch1_sq_015,,1.5 Length Measuring Instruments,define,Define least count and write the least count of a metre rule.,لیسٹ کاؤنٹ کی تعریف کریں اور میٹر رول کا لیسٹ کاؤنٹ لکھیں۔,Easy,2,high,
,1,1.5 Vernier Callipers,,,,,,,1
q_9_phy_ch1_sq_016,,1.5 Vernier Callipers,application,State the purpose of Vernier Callipers and name its two main parts.,ورنیئر کیلپرز کا مقصد بیان کریں اور اس کے دو اہم حصوں کے نام لکھیں۔,Easy,2,high,
,1,1.5 Micrometer Screw Gauge,,,,,,,1
q_9_phy_ch1_sq_017,,1.5 Micrometer Screw Gauge,application,State the purpose of a micrometer screw gauge and give one example of a small length it can measure.,مائیکرو میٹر سکرو گیج کا مقصد بیان کریں اور ایک چھوٹی لمبائی کی مثال دیں جسے یہ ناپ سکتا ہے۔,Easy,2,high,
,1,1.7 Time Measuring Instruments,,,,,,,1
q_9_phy_ch1_sq_018,,1.7 Time Measuring Instruments,application,What is a stopwatch used for? Write the least count of the described mechanical stopwatch.,سٹاپ واچ کس لیے استعمال ہوتی ہے؟ بیان کردہ مکینیکل سٹاپ واچ کا لیسٹ کاؤنٹ لکھیں۔,Easy,2,high,
,1,1.8 Volume Measuring Instruments,,,,,,,1
q_9_phy_ch1_sq_019,,1.8 Volume Measuring Instruments,application,What is a measuring cylinder used for? Mention one unit marked on it.,پیمائشی سلنڈر کس لیے استعمال ہوتا ہے؟ اس پر درج ایک اکائی لکھیں۔,Easy,2,high,
,1,1.9 Errors in Measurements,,,,,,,1
