question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,1.1 Theory of Systems,topic_separator,,,,,,1
q_9_cs_ch1_sq_001,1,1.1 Theory of Systems,definition_function,Define a system and state its main purpose.,system کی تعریف کریں اور اس کا بنیادی مقصد بیان کریں۔,Easy,2,PRO,1
q_9_cs_ch1_sq_002,1,1.1 Theory of Systems,list_state,Identify the required item or fact and state one related feature or function: Which statement best defines a system?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سا بیان system کی بہترین تعریف کرتا ہے؟,Easy,2,PRO,1
q_9_cs_ch1_sq_003,1,1.1 Theory of Systems,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is the principal objective of a computer system?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: کمپیوٹر سسٹم کا بنیادی مقصد کیا ہے؟,Easy,2,PRO,1
q_9_cs_ch1_sq_004,1,1.1 Theory of Systems,function_purpose,State the required function or purpose and explain its importance: Which of the following is a basic concept used to describe a system?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: درج ذیل میں سے کون سا system کو بیان کرنے والا بنیادی تصور ہے؟,Medium,2,ULTRA,1
q_9_cs_ch1_sq_005,1,1.1 Theory of Systems,explain_reason,"Explain the following and state one resulting effect, benefit, or application: Why is communication among system components important?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: system کے اجزا کے درمیان communication کیوں اہم ہے؟,Medium,2,ULTRA,1
q_9_cs_ch1_sq_006,1,1.1 Theory of Systems,function_purpose,State the required function or purpose and explain its importance: What does the environment of a system include?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: system کا environment کیا شامل کرتا ہے؟,Medium,2,ULTRA,1
q_9_cs_ch1_sq_007,1,1.1 Theory of Systems,concept_explanation,"Explain the following and state one resulting effect, benefit, or application: An information system combines technology and people mainly to do what?",درج ذیل کی وضاحت کریں اور ایک نتیجہ، فائدہ یا application بیان کریں: information system ٹیکنالوجی اور لوگوں کو بنیادی طور پر کس کام کے لیے یکجا کرتا ہے؟,Medium,2,ELITE,1
TOPIC_SEP,1,1.3 The Architecture of von Neumann Computers,topic_separator,,,,,,1
q_9_cs_ch1_sq_008,1,1.3 The Architecture of von Neumann Computers,list_state,Enlist the main components of the Von Neumann architecture and state the role of any two components.,Von Neumann architecture کے بنیادی components کی فہرست بنائیں اور کسی دو components کا کردار بیان کریں۔,Medium,2,PRO,1
