question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch3_sq_001,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch3_sq_001,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,"What is digital globalisation, and how is it connected to the English language?",Medium,2,ELITE,1
q_10_eng_ch3_sq_002,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Give examples of vocabulary that emerged through digital globalisation.,Medium,2,ELITE,1
q_10_eng_ch3_sq_003,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,"What is code-switching, and how does it appear in online communication?",Medium,2,ELITE,1
q_10_eng_ch3_sq_004,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,How has digital communication affected traditional grammar rules?,Medium,2,ELITE,1
q_10_eng_ch3_sq_005,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What concerns does the author raise about the dominance of English on digital platforms?,Medium,2,ELITE,1
q_10_eng_ch3_sq_006,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Do you agree with the author's claim that English is becoming more flexible and creative due to digital globalisation?,Medium,2,ELITE,1
q_10_eng_ch3_sq_007,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,How do emojis and memes function as a new kind of language?,Medium,2,ELITE,1
sep_10_eng_ch3_sq_002,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | In-Text Questions,topic_separator,,,,,1
q_10_eng_ch3_sq_008,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | In-Text Questions,in_text_question,"What is code-switching, and how does it reflect the influence of digital globalisation on English?",Hard,2,ELITE,1
q_10_eng_ch3_sq_009,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | In-Text Questions,in_text_question,How does the dominance of English on digital platforms create both opportunities and challenges for speakers of local languages?,Hard,2,ELITE,1
sep_10_eng_ch3_sq_003,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,topic_separator,,,,,1
q_10_eng_ch3_sq_010,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,prose_short,How has digital globalisation changed the role of English in the 21st century?,Medium,2,ELITE,1
q_10_eng_ch3_sq_011,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,event_cause_effect,Why has English become a dominant medium of digital communication?,Medium,2,ELITE,1
q_10_eng_ch3_sq_012,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,prose_short,"What are neologisms, and why are they common in digital English?",Medium,2,ELITE,1
q_10_eng_ch3_sq_013,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,evidence_based,Give two examples of abbreviations used in digital communication.,Easy,2,ULTRA,1
q_10_eng_ch3_sq_014,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,event_cause_effect,Why are abbreviations common in online communication?,Medium,2,ULTRA,1
q_10_eng_ch3_sq_015,1,ENGLISH_A | Unit 3 - Digital Globalisation Transforming the English Language | Q2 Short Questions | Core Lesson,prose_short,How does English absorb words from other cultures?,Medium,2,ULTRA,1
