question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
sep_10_q1a_master_0001,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600,Topic,,,,,,,,,,1
sep_10_q1a_master_0002,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2019 Evening,Topic,,,,,,,,,,1
q_10_q1a_master_0001,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2019 Evening,Apply,She — French at present.,is learning,learnt,was learning,learn,A | is learning,Medium,1,ULTRA,1
q_10_q1a_master_0002,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2019 Evening,Apply,She — in this office for seven years.,had worked,worked,is working,has been working,D | has been working,Medium,1,ULTRA,1
q_10_q1a_master_0003,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2019 Evening,Apply,After you — I went to sleep.,has left,had left,leaves,will leave,B | had left,Medium,1,ULTRA,1
q_10_q1a_master_0004,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2019 Evening,Apply,I — tea when the door bell rang.,made,making,was making,make,C | was making,Medium,1,ULTRA,1
q_10_q1a_master_0005,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2019 Evening,Apply,It — to rain an hour ago.,begins,began,begin,will begin,B | began,Medium,1,ULTRA,1
sep_10_q1a_master_0003,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2019 Morning,Topic,,,,,,,,,,1
q_10_q1a_master_0006,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2019 Morning,Apply,My mother — to me for ten years.,was not writing,has not been writing,not write,do not write,B | has not been writing,Medium,1,ULTRA,1
q_10_q1a_master_0007,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2019 Morning,Apply,He — twenty minutes ago.,leaves,will leave,will be leaving,left,D | left,Medium,1,ELITE,1
q_10_q1a_master_0008,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2019 Morning,Apply,The meeting — by the time we gather.,ended,had ended,will ended,will have ended,D | will have ended,Medium,1,ULTRA,1
q_10_q1a_master_0009,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2019 Morning,Apply,They always — back home late.,come,comes,is came,will come,A | come,Medium,1,ULTRA,1
q_10_q1a_master_0010,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2019 Morning,Apply,The sun — in the east.,rise,is rose,rises,was rise,C | rises,Medium,1,ELITE,1
sep_10_q1a_master_0004,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2020 Evening,Topic,,,,,,,,,,1
q_10_q1a_master_0011,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2020 Evening,Apply,You — since morning.,rests,rest,have been resting,rested,C | have been resting,Medium,1,ELITE,1
q_10_q1a_master_0012,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2020 Evening,Apply,I shall — my work in a minute.,finished,finish,finishes,finishing,B | finish,Medium,1,ULTRA,1
q_10_q1a_master_0013,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2020 Evening,Apply,The baby — for milk now.,cry,crying,cried,is crying,D | is crying,Medium,1,ULTRA,1
q_10_q1a_master_0014,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2020 Evening,Apply,She — before the party began.,had left,leaves,leave,left,A | had left,Medium,1,ULTRA,1
q_10_q1a_master_0015,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2020 Evening,Apply,I — this bike a month ago.,bought,buy,buys,will buy,A | bought,Medium,1,ULTRA,1
sep_10_q1a_master_0005,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2021 Evening,Topic,,,,,,,,,,1
q_10_q1a_master_0016,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2021 Evening,Apply,Girls were —.,song,sang,sings,singing,D | singing,Medium,1,ULTRA,1
q_10_q1a_master_0017,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2021 Evening,Apply,The sun — in the west.,set,sets,has setting,setting,B | sets,Medium,1,ULTRA,1
q_10_q1a_master_0018,1,ENGLISH_B | Q1(a) CORRECT FORM OF VERB | BISE BOARD MASTER 600 | 2021 Evening,Apply,It is —.,raining,rain,rains,rained,A | raining,Medium,1,ULTRA,1
