question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 7 - If | While-reading Questions,topic_separator,,,,,1
q_9_eng_ch7_sq_001,1,ENGLISH_A | Unit 7 - If | While-reading Questions,while_reading,How should you handle failure in your life?,Easy,2,PRO,1
q_9_eng_ch7_sq_002,1,ENGLISH_A | Unit 7 - If | While-reading Questions,while_reading,How should you celebrate success in your life?,Easy,2,PRO,1
q_9_eng_ch7_sq_003,1,ENGLISH_A | Unit 7 - If | While-reading Questions,while_reading,What qualities are important for maintaining integrity and resilience?,Medium,2,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 7 - If | Reading and Critical Thinking,topic_separator,,,,,1
q_9_eng_ch7_sq_004,1,ENGLISH_A | Unit 7 - If | Reading and Critical Thinking,exercise_direct,"According to the poet, how should one respond to criticism and blame?",Medium,2,PRO,1
q_9_eng_ch7_sq_005,1,ENGLISH_A | Unit 7 - If | Reading and Critical Thinking,exercise_direct,What quality does the poem emphasize in handling doubt and self-trust?,Medium,2,PRO,1
q_9_eng_ch7_sq_006,1,ENGLISH_A | Unit 7 - If | Reading and Critical Thinking,exercise_direct,What message does the poem give about dreams and aspirations?,Medium,2,PRO,1
q_9_eng_ch7_sq_007,1,ENGLISH_A | Unit 7 - If | Reading and Critical Thinking,exercise_direct,How should a person handle twisted truths and personal losses?,Medium,2,PRO,1
q_9_eng_ch7_sq_008,1,ENGLISH_A | Unit 7 - If | Reading and Critical Thinking,exercise_direct,What does the poem suggest about resilience and rebuilding after setbacks?,Medium,2,PRO,1
q_9_eng_ch7_sq_009,1,ENGLISH_A | Unit 7 - If | Reading and Critical Thinking,exercise_direct,"According to the poem, how should one persist in difficult times?",Medium,2,PRO,1
q_9_eng_ch7_sq_010,1,ENGLISH_A | Unit 7 - If | Reading and Critical Thinking,exercise_direct,What is the message of the poem regarding integrity and humility?,Medium,2,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 7 - If | Text-derived Board Questions,topic_separator,,,,,1
q_9_eng_ch7_sq_011,1,ENGLISH_A | Unit 7 - If | Text-derived Board Questions,prose_short,Why are Triumph and Disaster called impostors?,Medium,2,ULTRA,1
q_9_eng_ch7_sq_012,1,ENGLISH_A | Unit 7 - If | Text-derived Board Questions,prose_short,What does “not make thoughts your aim” mean?,Medium,2,ULTRA,1
q_9_eng_ch7_sq_013,1,ENGLISH_A | Unit 7 - If | Text-derived Board Questions,prose_short,What does the poet advise when others twist your words?,Medium,2,ULTRA,1
q_9_eng_ch7_sq_014,1,ENGLISH_A | Unit 7 - If | Text-derived Board Questions,prose_short,What does rebuilding with worn-out tools symbolize?,Medium,2,ULTRA,1
q_9_eng_ch7_sq_015,1,ENGLISH_A | Unit 7 - If | Text-derived Board Questions,prose_short,How should a person behave with crowds and kings?,Medium,2,ULTRA,1
q_9_eng_ch7_sq_016,1,ENGLISH_A | Unit 7 - If | Text-derived Board Questions,prose_short,What does the poet mean by keeping the common touch?,Medium,2,ULTRA,1
q_9_eng_ch7_sq_017,1,ENGLISH_A | Unit 7 - If | Text-derived Board Questions,theme_message,State the central message of the poem.,Medium,2,ULTRA,1
q_9_eng_ch7_sq_018,1,ENGLISH_A | Unit 7 - If | Text-derived Board Questions,prose_short,"How does the poem develop resilience, self-control, humility, and perseverance?",Medium,2,ULTRA,1
