question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,3.1 Matrices,topic_separator,,,,,,1
q_10_math_ch3_sq_001,1,3.1 Matrices,definition_example,Define a matrix and give one practical example of information that can be arranged in matrix form.,matrix کی تعریف کریں اور information کی ایک practical example دیں جسے matrix form میں arrange کیا جا سکتا ہو۔,Easy,2,ULTRA,1
TOPIC_SEP,1,3.1.1 Rows and Columns of a Matrix,topic_separator,,,,,,1
q_10_math_ch3_sq_002,1,3.1.1 Rows and Columns of a Matrix,compare_contrast,Differentiate between a row and a column of a matrix.,matrix کی row اور column میں فرق بیان کریں۔,Medium,2,ULTRA,1
TOPIC_SEP,1,3.1.2 Elements or Entries,topic_separator,,,,,,1
q_10_math_ch3_sq_003,1,3.1.2 Elements or Entries,definition_example,"Define an element of a matrix and identify the entries of A = [[1, 2, 3], [4, 5, 6]].","matrix کے element کی تعریف کریں اور درج ذیل matrix کی entries identify کریں: A = [[1, 2, 3], [4, 5, 6]]",Medium,2,ULTRA,1
TOPIC_SEP,1,3.1.3 Order or Size of a Matrix,topic_separator,,,,,,1
q_10_math_ch3_sq_004,1,3.1.3 Order or Size of a Matrix,definition_formula,Define the order of a matrix and state how it is written when a matrix has m rows and n columns.,matrix کے order کی تعریف کریں اور بیان کریں کہ m rows اور n columns والی matrix کا order کیسے لکھا جاتا ہے۔,Medium,2,ULTRA,1
q_10_math_ch3_sq_005,1,3.1.3 Order or Size of a Matrix,numerical_short,"Determine the order of each matrix: A = [[3, 5]] and B = [[1], [2], [3]].","درج ذیل matrices کے orders معلوم کریں: A = [[3, 5]], B = [[1], [2], [3]]",Easy,2,PRO,1
TOPIC_SEP,1,3.1.4 Equal Matrices,topic_separator,,,,,,1
q_10_math_ch3_sq_006,1,3.1.4 Equal Matrices,law_principle,State the conditions under which two matrices are equal.,وہ conditions بیان کریں جن میں two matrices equal ہوتی ہیں۔,Medium,2,ULTRA,1
q_10_math_ch3_sq_007,1,3.1.4 Equal Matrices,numerical_short,"Determine x and y if the matrices are equal: [[2x + 1, 4], [7, 5]] = [[9, 4], [7, y]].","اگر درج ذیل matrices equal ہوں تو x اور y معلوم کریں: [[2x + 1, 4], [7, 5]] = [[9, 4], [7, y]]",Medium,2,PRO,1
TOPIC_SEP,1,3.2 Types of Matrices,topic_separator,,,,,,1
q_10_math_ch3_sq_008,1,3.2 Types of Matrices,classification,"Classify row, column, zero, square, and rectangular matrices by their defining characteristics.",row، column، zero، square اور rectangular matrices کو ان کی defining characteristics کی بنیاد پر classify کریں۔,Medium,2,ULTRA,1
q_10_math_ch3_sq_009,1,3.2 Types of Matrices,compare_contrast,Differentiate between a diagonal matrix and a scalar matrix.,diagonal matrix اور scalar matrix میں فرق بیان کریں۔,Medium,2,ULTRA,1
q_10_math_ch3_sq_010,1,3.2 Types of Matrices,compare_contrast,Differentiate between a scalar matrix and an identity matrix.,scalar matrix اور identity matrix میں فرق بیان کریں۔,Medium,2,ULTRA,1
q_10_math_ch3_sq_011,1,3.2 Types of Matrices,definition_formula,Define the transpose of a matrix and state how rows and columns are interchanged.,matrix کے transpose کی تعریف کریں اور بیان کریں کہ rows اور columns کیسے interchange ہوتے ہیں۔,Medium,2,ULTRA,1
q_10_math_ch3_sq_012,1,3.2 Types of Matrices,compare_contrast,Differentiate between symmetric and skew-symmetric matrices.,symmetric اور skew-symmetric matrices میں فرق بیان کریں۔,Medium,2,ULTRA,1
q_10_math_ch3_sq_013,1,3.2 Types of Matrices,numerical_short,"Identify the types of the following matrices: [[1, 0], [0, 1]] and [[0, 0], [0, 0]].","درج ذیل matrices کی types identify کریں: [[1, 0], [0, 1]], [[0, 0], [0, 0]]",Easy,2,PRO,1
q_10_math_ch3_sq_014,1,3.2 Types of Matrices,numerical_short,"Find the transpose of the matrix: A = [[2, 3], [4, 5], [6, 7]].","درج ذیل matrix کا transpose معلوم کریں: A = [[2, 3], [4, 5], [6, 7]]",Easy,2,PRO,1
q_10_math_ch3_sq_015,1,3.2 Types of Matrices,numerical_short,"Find the negative of the matrix: A = [[−3, 0], [5, 6]].","درج ذیل matrix کا negative معلوم کریں: A = [[−3, 0], [5, 6]]",Easy,2,PRO,1
TOPIC_SEP,1,3.3 Algebraic Operations on Matrices,topic_separator,,,,,,1
