question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,4.1 Chemical Formula,Topic,,,,,,,,,,,1
q_9_chem_ch4_001,1,4.1 Chemical Formula,Remember,What information does a molecular formula provide?,سالماتی فارمولا کیا معلومات فراہم کرتا ہے؟,Only the simplest whole-number ratio of atoms / صرف ایٹموں کا سادہ ترین صحیح عددی تناسب,The actual number of atoms of each element in a molecule / ایک سالمے میں ہر عنصر کے ایٹموں کی اصل تعداد,Only the physical state of a compound / صرف مرکب کی طبعی حالت,The rate of a reaction / کیمیائی تعامل کی رفتار,B | The actual number of atoms of each element in a molecule / ایک سالمے میں ہر عنصر کے ایٹموں کی اصل تعداد,Easy,1,PRO,1
q_9_chem_ch4_002,1,4.1 Chemical Formula,Remember,What does an empirical formula show?,تجرباتی فارمولا کیا ظاہر کرتا ہے؟,The exact number of atoms in every molecule / ہر سالمے میں ایٹموں کی اصل تعداد,The number of molecules in one mole / ایک مول میں سالمات کی تعداد,The structural arrangement of all bonds / تمام بندوں کی ساختی ترتیب,The simplest whole-number ratio of atoms in a compound / مرکب میں ایٹموں کا سادہ ترین صحیح عددی تناسب,D | The simplest whole-number ratio of atoms in a compound / مرکب میں ایٹموں کا سادہ ترین صحیح عددی تناسب,Easy,1,PRO,1
q_9_chem_ch4_003,1,4.1 Chemical Formula,Understand,Why are ionic compounds generally represented by empirical formulas?,آئونی مرکبات کو عموماً تجرباتی فارمولوں سے کیوں ظاہر کیا جاتا ہے؟,They consist of giant ionic lattices rather than discrete molecules / وہ الگ الگ سالمات کے بجائے دیوقامت آئونی جالیوں پر مشتمل ہوتے ہیں,They contain no ions / ان میں آئن نہیں ہوتے,Their atoms cannot be counted / ان کے ایٹم گنے نہیں جا سکتے,They are always gases / وہ ہمیشہ گیسیں ہوتے ہیں,A | They consist of giant ionic lattices rather than discrete molecules / وہ الگ الگ سالمات کے بجائے دیوقامت آئونی جالیوں پر مشتمل ہوتے ہیں,Medium,1,PRO,1
q_9_chem_ch4_004,1,4.1 Chemical Formula,Apply,What is the empirical formula of C₆H₁₂?,C₆H₁₂ کا تجرباتی فارمولا کیا ہے؟,C₆H₁₂,C₃H₆,CH₂,CH,C | CH₂,Easy,1,PRO,1
q_9_chem_ch4_005,1,4.1 Chemical Formula,Apply,What is the empirical formula of H₂O₂?,H₂O₂ کا تجرباتی فارمولا کیا ہے؟,H₂O₂,HO,H₂O,HO₂,B | HO,Easy,1,ULTRA,1
q_9_chem_ch4_006,1,4.1 Chemical Formula,Remember,Which relation connects molecular formula and empirical formula?,سالماتی اور تجرباتی فارمولے کے درمیان کون سا تعلق ہے؟,Molecular formula = n × empirical formula / سالماتی فارمولا = n × تجرباتی فارمولا,Molecular formula = empirical formula ÷ n / سالماتی فارمولا = تجرباتی فارمولا ÷ n,Molecular formula = molar mass + empirical mass / سالماتی فارمولا = مولر کمیت + تجرباتی کمیت,Molecular formula = atomic number × volume / سالماتی فارمولا = ایٹمی عدد × حجم,A | Molecular formula = n × empirical formula / سالماتی فارمولا = n × تجرباتی فارمولا,Medium,1,PRO,1
q_9_chem_ch4_007,1,4.1 Chemical Formula,Remember,How is n calculated when determining a molecular formula?,سالماتی فارمولا معلوم کرتے وقت n کیسے نکالا جاتا ہے؟,n = empirical formula mass ÷ molar mass / n = تجرباتی فارمولا کمیت ÷ مولر کمیت,n = atomic number ÷ mass number / n = ایٹمی عدد ÷ کمیتی عدد,n = volume × density only / n = صرف حجم × کثافت,n = molar mass ÷ empirical formula mass / n = مولر کمیت ÷ تجرباتی فارمولا کمیت,D | n = molar mass ÷ empirical formula mass / n = مولر کمیت ÷ تجرباتی فارمولا کمیت,Medium,1,PRO,1
q_9_chem_ch4_008,1,4.1 Chemical Formula,Apply,A compound has empirical formula CH₂O and molar mass 180 g mol⁻¹. What is its molecular formula?,ایک مرکب کا تجرباتی فارمولا CH₂O اور مولر کمیت 180 g mol⁻¹ ہے۔ اس کا سالماتی فارمولا کیا ہے؟,CH₂O,C₂H₄O₂,C₆H₁₂O₆,C₃H₆O₃,C | C₆H₁₂O₆,Hard,1,PRO,1
TOPIC_SEP,1,4.3 Writing Formulae of Ionic Compounds,Topic,,,,,,,,,,,1
