question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch2_sq_001,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch2_sq_001,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What is the overall message of the poem?,Medium,2,ELITE,1
q_10_eng_ch2_sq_002,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,How does the poet show love for Pakistan?,Medium,2,ELITE,1
q_10_eng_ch2_sq_003,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Which natural features of Pakistan have been mentioned in the poem?,Medium,2,ELITE,1
q_10_eng_ch2_sq_004,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What symbols in the poem represent unity and patriotism?,Medium,2,ELITE,1
q_10_eng_ch2_sq_005,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,How can students express patriotism in their daily life?,Medium,2,ELITE,1
sep_10_eng_ch2_sq_002,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | In-Text Questions,topic_separator,,,,,1
q_10_eng_ch2_sq_006,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | In-Text Questions,in_text_question,What qualities of Pakistan's land are celebrated in the poem?,Medium,2,ELITE,1
q_10_eng_ch2_sq_007,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | In-Text Questions,in_text_question,How does the poet use symbolism while describing the national flag?,Medium,2,ELITE,1
q_10_eng_ch2_sq_008,1,ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | In-Text Questions,in_text_question,What message does the speaker convey about their relationship with Pakistan?,Medium,2,ELITE,1
sep_10_eng_ch2_sq_003,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",topic_separator,,,,,1
q_10_eng_ch2_sq_009,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",poem_short,"Why does the poet call Pakistan a land of green, rich, and true?",Medium,2,ULTRA,1
q_10_eng_ch2_sq_010,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",poem_short,How do the skies and rivers contribute to the image of Pakistan in the poem?,Medium,2,ULTRA,1
q_10_eng_ch2_sq_011,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",poem_short,What picture of northern Pakistan is created through the phrase about snowy peaks?,Medium,2,ULTRA,1
q_10_eng_ch2_sq_012,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",comparison,How does the poet contrast the North and South of Pakistan?,Hard,2,ELITE,1
q_10_eng_ch2_sq_013,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",symbolism,What do the blooming trees symbolize in the poem?,Medium,2,ELITE,1
q_10_eng_ch2_sq_014,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",figurative_language,Why is the flag compared to a beacon in the night?,Medium,2,ELITE,1
q_10_eng_ch2_sq_015,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",symbolism,How does the national flag become a symbol of pride in the poem?,Medium,2,ELITE,1
q_10_eng_ch2_sq_016,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",theme_message,"What does the line “We'll work, we'll learn, we'll stand as one” emphasize?",Medium,2,ELITE,1
q_10_eng_ch2_sq_017,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",theme_message,How does the poem connect learning with national progress?,Hard,2,ELITE,1
q_10_eng_ch2_sq_018,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",theme_message,What role does unity play in the poem's message?,Medium,2,ELITE,1
q_10_eng_ch2_sq_019,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",poem_short,How does the poet honour people who serve Pakistan?,Medium,2,ULTRA,1
q_10_eng_ch2_sq_020,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",theme_message,Why is peace an important part of the speaker's promise to Pakistan?,Hard,2,ULTRA,1
q_10_eng_ch2_sq_021,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",theme_message,How does the speaker express personal responsibility toward Pakistan?,Medium,2,ELITE,1
q_10_eng_ch2_sq_022,1,"ENGLISH_A | Unit 2 - My Beloved Pakistan (Poem) | Q2 Short Questions | Poem, Theme and Literary Understanding",literary_response,What feelings are created by the description of Pakistan's landscape?,Medium,2,ULTRA,1
