question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,9.1 Group 1: Alkali Metals,topic_separator,,,,,,1
q_9_chem_ch9_sq_001,1,9.1 Group 1: Alkali Metals,numerical_short,Calculate how many valence electrons do group 1 elements have. Show the required working.,تعداد یا مقدار بیان کریں: گروپ 1 کے عناصر کے کتنے ظرفی الیکٹران ہوتے ہیں۔,Easy,2,PRO,1
q_9_chem_ch9_sq_002,1,9.1 Group 1: Alkali Metals,cause_effect,How does atomic size change down group 1?,گروپ 1 میں نیچے جاتے ہوئے ایٹمی جسامت کیسے بدلتی ہے؟,Easy,2,PRO,1
q_9_chem_ch9_sq_003,1,9.1 Group 1: Alkali Metals,explain_reason,Why do group 1 elements lose their outer electron more easily down the group?,گروپ 1 میں نیچے جاتے ہوئے بیرونی الیکٹران کھونا آسان کیوں ہوتا ہے؟,Medium,2,PRO,1
q_9_chem_ch9_sq_004,1,9.1 Group 1: Alkali Metals,cause_effect,How does chemical reactivity of alkali metals change down group 1?,گروپ 1 میں نیچے جاتے ہوئے الکلی دھاتوں کی کیمیائی فعالیت کیسے بدلتی ہے؟,Easy,2,PRO,1
q_9_chem_ch9_sq_005,1,9.1 Group 1: Alkali Metals,explain_reason,Why do alkali metals become softer down the group?,الکلی دھاتیں گروپ میں نیچے نرم کیوں ہوتی جاتی ہیں؟,Medium,2,PRO,1
q_9_chem_ch9_sq_006,1,9.1 Group 1: Alkali Metals,cause_effect,How do melting points of alkali metals change down group 1?,گروپ 1 میں نیچے جاتے ہوئے الکلی دھاتوں کے نقطۂ پگھلاؤ کیسے بدلتے ہیں؟,Easy,2,PRO,1
q_9_chem_ch9_sq_007,1,9.1 Group 1: Alkali Metals,cause_effect,How do densities of alkali metals generally change down the group?,گروپ میں نیچے جاتے ہوئے الکلی دھاتوں کی کثافت عموماً کیسے بدلتی ہے؟,Medium,2,ULTRA,1
q_9_chem_ch9_sq_008,1,9.1 Group 1: Alkali Metals,list_state,"(a) Identify the group that 1 metal is easiest to cut among Li, Na, K and Rb (b) Name the oxide that is the most basic among Li₂O, Na₂O, MgO and CO.",(الف) Li، Na، K اور Rb میں کون سی گروپ 1 دھات کاٹنا سب سے آسان ہے۔ (ب) Li₂O، Na₂O، MgO اور CO میں سب سے زیادہ اساسی آکسائیڈ کون سا ہے۔,Medium,2,PRO,1
q_9_chem_ch9_sq_009,1,9.1 Group 1: Alkali Metals,cause_effect,How does potassium react with halogens?,پوٹاشیم ہیلوجنز کے ساتھ کیسے تعامل کرتا ہے؟,Medium,2,PRO,1
