question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_ch11_001,1,ENGLISH_A | Unit 11 - The Dear Departed | Plot and Play Analysis,Topic,topic_separator,,,,,1
q_9_eng_ch11_lq_001,1,ENGLISH_A | Unit 11 - The Dear Departed | Plot and Play Analysis,Long,literary_extended,"Discuss the plot of “The Dear Departed” using exposition, rising action, climax, falling action, and resolution.",Hard,8,PRO,1
q_9_eng_ch11_lq_002,1,ENGLISH_A | Unit 11 - The Dear Departed | Plot and Play Analysis,Long,literary_extended,"Analyse how greed, hypocrisy, and inheritance shape the conflict and resolution of the play.",Hard,8,PRO,1
q_9_eng_ch11_lq_003,1,ENGLISH_A | Unit 11 - The Dear Departed | Plot and Play Analysis,Long,literary_extended,"Explain how satire, humour, irony, and comic reversal convey the moral message of the play.",Hard,8,PRO,1
q_9_eng_ch11_lq_004,1,ENGLISH_A | Unit 11 - The Dear Departed | Plot and Play Analysis,Long,literary_extended,"Compare and contrast Mrs. Slater and Mrs. Jordan with reference to their words, actions, and treatment of their father.",Hard,8,PRO,1
q_9_eng_ch11_lq_005,1,ENGLISH_A | Unit 11 - The Dear Departed | Plot and Play Analysis,Long,literary_extended,Analyse Victoria's role as a contrast to the adult characters.,Hard,6,ULTRA,1
q_9_eng_ch11_lq_006,1,ENGLISH_A | Unit 11 - The Dear Departed | Plot and Play Analysis,Long,literary_extended,Explain how the single setting and stage directions help maintain focus and expose the characters.,Hard,6,ULTRA,1
sep_9_eng_ch11_002,1,ENGLISH_A | Unit 11 - The Dear Departed | Vocabulary Extended Tasks,Topic,topic_separator,,,,,1
q_9_eng_ch11_lq_007,1,ENGLISH_A | Unit 11 - The Dear Departed | Vocabulary Extended Tasks,Long,word_phrase_usage_item,"Write the denotative and connotative meanings of: precocious, gallivanting, speck, bureau, impassive, and hearth.",Hard,12,PRO,1
q_9_eng_ch11_lq_008,1,ENGLISH_A | Unit 11 - The Dear Departed | Vocabulary Extended Tasks,Long,word_phrase_usage_item,"Use each glossary word in a meaningful sentence: bureau, gallivanting, hearth, impassive, malicious, piqued, precocious, shabby, speck, and stupefied.",Hard,10,ULTRA,1
