question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,21.1 The Sun,Topic,,,,,,,,,,,1
q_10_phy_ch21_001,1,21.1 The Sun,Remember,What is the main source of the Sun's energy?,Sun کی energy کا main source کیا ہے؟,Nuclear fusion / nuclear fusion,Chemical burning / chemical burning,Nuclear fission only / صرف nuclear fission,Electrostatic discharge / electrostatic discharge,A | Nuclear fusion / nuclear fusion,Easy,1,PRO,1
q_10_phy_ch21_002,1,21.1 The Sun,Understand,Which nuclei mainly combine in the Sun's core?,Sun core میں mainly کون سے nuclei combine ہوتے ہیں؟,Iron nuclei only / صرف iron nuclei,Uranium nuclei / uranium nuclei,Hydrogen nuclei / hydrogen nuclei,Carbon nuclei only / صرف carbon nuclei,C | Hydrogen nuclei / hydrogen nuclei,Medium,1,PRO,1
TOPIC_SEP,1,21.1 Solar Energy,Topic,,,,,,,,,,,1
q_10_phy_ch21_003,1,21.1 Solar Energy,Understand,How does energy from the Sun reach Earth through space?,Sun کی energy space سے Earth تک کیسے reach کرتی ہے؟,By conduction through vacuum / vacuum میں conduction سے,By electromagnetic radiation / electromagnetic radiation سے,By convection through empty space / empty space میں convection سے,By sound waves / sound waves سے,B | By electromagnetic radiation / electromagnetic radiation سے,Medium,1,PRO,1
TOPIC_SEP,1,21.1 Solar Activity,Topic,,,,,,,,,,,1
q_10_phy_ch21_004,1,21.1 Solar Activity,Understand,Why is the Sun important for Earth's environment?,Sun Earth environment کے لیے important کیوں ہے؟,It blocks all atmospheric motion / یہ تمام atmospheric motion block کرتا ہے,It removes gravity / یہ gravity remove کرتا ہے,It produces only sound / یہ صرف sound produce کرتا ہے,It supplies light and heat that drive climate and life processes / یہ light اور heat supply کرتا ہے جو climate اور life processes drive کرتی ہے,D | It supplies light and heat that drive climate and life processes / یہ light اور heat supply کرتا ہے جو climate اور life processes drive کرتی ہے,Medium,1,ELITE,1
TOPIC_SEP,1,21.2 Solar System,Topic,,,,,,,,,,,1
q_10_phy_ch21_005,1,21.2 Solar System,Remember,What is a planet?,planet کیا ہے؟,A star producing energy by fusion / fusion سے energy produce کرنے والا star,A large body orbiting a star and not producing its own visible light / large body جو star orbit کرتی ہے اور اپنی visible light produce نہیں کرتی,A natural satellite orbiting only Earth / صرف Earth orbit کرنے والا natural satellite,A cloud in the atmosphere / atmospheric cloud,B | A large body orbiting a star and not producing its own visible light / large body جو star orbit کرتی ہے اور اپنی visible light produce نہیں کرتی,Easy,1,PRO,1
q_10_phy_ch21_006,1,21.2 Solar System,Remember,Which planet is closest to the Sun?,Sun کے closest کون سا planet ہے؟,Earth / Earth,Jupiter / Jupiter,Mercury / Mercury,Neptune / Neptune,C | Mercury / Mercury,Easy,1,PRO,1
q_10_phy_ch21_007,1,21.2 Solar System,Remember,Which planet is the largest in the Solar System?,Solar System کا largest planet کون سا ہے؟,Mars / Mars,Mercury / Mercury,Jupiter / Jupiter,Earth / Earth,C | Jupiter / Jupiter,Easy,1,PRO,1
q_10_phy_ch21_008,1,21.2 Solar System,Remember,Which planet is known for its prominent ring system?,prominent ring system کے لیے کون سا planet known ہے؟,Venus / Venus,Mercury / Mercury,Saturn / Saturn,Mars / Mars,C | Saturn / Saturn,Easy,1,ULTRA,1
TOPIC_SEP,1,21.2 Planet Properties,Topic,,,,,,,,,,,1
q_10_phy_ch21_009,1,21.2 Planet Properties,Understand,What mainly determines surface gravity on a planet?,planet کی surface gravity mainly کس پر depend کرتی ہے؟,Its colour only / صرف colour,Its mass and radius / اس کی mass اور radius,Its distance from Earth only / صرف Earth سے distance,Number of moons only / صرف moons number,B | Its mass and radius / اس کی mass اور radius,Medium,1,PRO,1
TOPIC_SEP,1,21.2 Planet Density,Topic,,,,,,,,,,,1
q_10_phy_ch21_010,1,21.2 Planet Density,Remember,Which formula gives average density of a planet?,planet کی average density کا formula کون سا ہے؟,ρ = m/V,ρ = mV,ρ = V/m²,ρ = F/q,A | ρ = m/V,Easy,1,PRO,1
TOPIC_SEP,1,21.2 Planet Temperature,Topic,,,,,,,,,,,1
q_10_phy_ch21_011,1,21.2 Planet Temperature,Analyze,Why is a planet's surface temperature not determined only by distance from the Sun?,planet surface temperature only Sun distance سے determine کیوں نہیں ہوتی؟,Distance has no effect at all / distance کا no effect,All planets have identical atmospheres / تمام planets کی atmospheres identical ہیں,Atmosphere and greenhouse effects also influence temperature / atmosphere اور greenhouse effects بھی temperature influence کرتے ہیں,Temperature depends only on mass / temperature صرف mass پر depend کرتی ہے,C | Atmosphere and greenhouse effects also influence temperature / atmosphere اور greenhouse effects بھی temperature influence کرتے ہیں,Hard,1,ELITE,1
TOPIC_SEP,1,21.3 Gravitation and Orbits,Topic,,,,,,,,,,,1
q_10_phy_ch21_012,1,21.3 Gravitation and Orbits,Remember,What keeps planets in orbit around the Sun?,planets کو Sun کے around orbit میں کیا رکھتا ہے؟,Magnetic repulsion only / صرف magnetic repulsion,Sound pressure / sound pressure,Electrostatic charging by friction / friction سے electrostatic charging,Gravitational attraction / gravitational attraction,D | Gravitational attraction / gravitational attraction,Easy,1,PRO,1
q_10_phy_ch21_013,1,21.3 Gravitation and Orbits,Understand,Why does an orbiting body not fall straight into the object it orbits?,orbiting body straight object میں fall کیوں نہیں کرتی؟,Gravity does not act in space / space میں gravity act نہیں کرتی,Its forward motion combines with gravitational acceleration / اس کی forward motion gravitational acceleration کے ساتھ combine ہوتی ہے,It has no mass / اس کی no mass ہے,Air holds it up / air اسے hold کرتی ہے,B | Its forward motion combines with gravitational acceleration / اس کی forward motion gravitational acceleration کے ساتھ combine ہوتی ہے,Medium,1,PRO,1
TOPIC_SEP,1,21.3 Satellites,Topic,,,,,,,,,,,1
q_10_phy_ch21_014,1,21.3 Satellites,Remember,What is a natural satellite of Earth?,Earth کا natural satellite کون سا ہے؟,The Sun / Sun,The Moon / Moon,Mars / Mars,A weather balloon / weather balloon,B | The Moon / Moon,Easy,1,PRO,1
TOPIC_SEP,1,21.3 Artificial Satellites,Topic,,,,,,,,,,,1
