question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_chem_ch9_001,1,9.1 Group 1: Alkali Metals,Topic,topic_separator,,,,,,1
q_9_chem_ch9_lq_001,1,9.1 Group 1: Alkali Metals,Long,classification,Answer the following related questions about Group 1: Alkali Metals: (a) How does atomic size change down group 1? | (b) Why do group 1 elements lose their outer electron more easily down the group? | (c) How does chemical reactivity of alkali metals change down group 1?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) گروپ 1 میں نیچے جاتے ہوئے ایٹمی جسامت کیسے بدلتی ہے؟ | (ب) گروپ 1 میں نیچے جاتے ہوئے بیرونی الیکٹران کھونا آسان کیوں ہوتا ہے؟ | (ج) گروپ 1 میں نیچے جاتے ہوئے الکلی دھاتوں کی کیمیائی فعالیت کیسے بدلتی ہے؟,Medium,5,PRO,1
q_9_chem_ch9_lq_002,1,9.1 Group 1: Alkali Metals,Long,classification,Answer the following related questions about Group 1: Alkali Metals: (a) Why do alkali metals become softer down the group? | (b) How do melting points of alkali metals change down group 1? | (c) How do densities of alkali metals generally change down the group?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) الکلی دھاتیں گروپ میں نیچے نرم کیوں ہوتی جاتی ہیں؟ | (ب) گروپ 1 میں نیچے جاتے ہوئے الکلی دھاتوں کے نقطۂ پگھلاؤ کیسے بدلتے ہیں؟ | (ج) گروپ میں نیچے جاتے ہوئے الکلی دھاتوں کی کثافت عموماً کیسے بدلتی ہے؟,Medium,5,ULTRA,1
q_9_chem_ch9_lq_003,1,9.1 Group 1: Alkali Metals,Long,classification,"Answer the following related questions about Group 1: Alkali Metals: (a) Identify the group that 1 metal is easiest to cut among Li, Na, K and Rb Also, Name the oxide that is the most basic among Li₂O, Na₂O, MgO and CO. | (b) How does potassium react with halogens?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) Li، Na، K اور Rb میں کون سی گروپ 1 دھات کاٹنا سب سے آسان ہے۔ نیز، Li₂O، Na₂O، MgO اور CO میں سب سے زیادہ اساسی آکسائیڈ کون سا ہے۔؟ | (ب) پوٹاشیم ہیلوجنز کے ساتھ کیسے تعامل کرتا ہے؟,Easy,5,ELITE,1
sep_9_chem_ch9_002,1,9.2 Group 17: Halogens,Topic,topic_separator,,,,,,1
q_9_chem_ch9_lq_004,1,9.2 Group 17: Halogens,Long,classification,"Answer the following related questions about Group 17: Halogens: (a) In what form do halogens exist as elements? Also, Classify elements are halogens. | (b) How does halogen reactivity change down group 17? | (c) Name the most reactive halogen Also, Name the halogen that is least reactive among F, Cl, Br and I.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ہیلوجنز بطور عنصر کس شکل میں پائے جاتے ہیں۔ نیز، ہیلوجنز کس قسم کے عناصر ہیں۔؟ | (ب) گروپ 17 میں نیچے جاتے ہوئے ہیلوجنز کی فعالیت کیسے بدلتی ہے؟ | (ج) سب سے زیادہ فعال ہیلوجن کون سا ہے۔ نیز، F، Cl، Br اور I میں سب سے کم فعال ہیلوجن کون سا ہے۔؟,Medium,5,PRO,1
q_9_chem_ch9_lq_005,1,9.2 Group 17: Halogens,Long,classification,"Answer the following related questions about Group 17: Halogens: (a) What role do halogens commonly play in redox reactions? Also, Name the halogen that reacts least with alkaline earth metals. | (b) How does oxidizing power of halogens change down the group? | (c) Why does halogen reactivity decrease down the group?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ریڈوکس تعاملات میں ہیلوجنز عموماً کیا کردار ادا کرتے ہیں۔ نیز، نام یا شناخت لکھیں: کون سا ہیلوجن الکلائن ارتھ دھاتوں کے ساتھ سب سے کم تعامل کرتا ہے۔؟ | (ب) گروپ میں نیچے جاتے ہوئے ہیلوجنز کی تکسیدی قوت کیسے بدلتی ہے؟ | (ج) گروپ میں نیچے جاتے ہوئے ہیلوجنز کی فعالیت کیوں کم ہوتی ہے؟,Medium,5,ULTRA,1
q_9_chem_ch9_lq_006,1,9.2 Group 17: Halogens,Long,explain,"Answer the following related questions about Group 17: Halogens: (a) Name the mixture that will show a displacement reaction and turn dark. | (b) In Cl₂ + 2NaBr → 2NaCl + Br₂, which species is the reducing agent?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) نام یا شناخت لکھیں: کون سا آمیزہ بے دخلی تعامل دکھا کر گہرا رنگ اختیار کرے گا۔؟ | (ب) Cl₂ + 2NaBr → 2NaCl + Br₂ میں اختزالی عامل کون سی نوع ہے؟,Easy,5,ELITE,1
sep_9_chem_ch9_003,1,9.3 Hydrogen Halides,Topic,topic_separator,,,,,,1
q_9_chem_ch9_lq_007,1,9.3 Hydrogen Halides,Long,classification,Answer the following related questions about Hydrogen Halides: (a) How does the H–X bond strength change down the halogen group? | (b) How does thermal stability of hydrogen halides change down the group?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ہیلوجن گروپ میں نیچے جاتے ہوئے H–X بند کی مضبوطی کیسے بدلتی ہے؟ | (ب) گروپ میں نیچے جاتے ہوئے ہائیڈروجن ہیلائیڈز کی حرارتی استحکام کیسے بدلتی ہے؟,Easy,5,PRO,1
