question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_cs_ch1_001,1,1.1 Theory of Systems,Topic,topic_separator,,,,,,1
q_9_cs_ch1_lq_001,1,1.1 Theory of Systems,Long,explain,"Describe the basic concept of a system, including its objectives, components, environment, and communication among components.",system کے بنیادی تصور کی وضاحت کریں، جس میں اس کے objectives، components، environment اور components کے باہمی communication کو شامل کیا جائے۔,Easy,5,PRO,1
sep_9_cs_ch1_002,1,1.3 The Architecture of von Neumann Computers,Topic,topic_separator,,,,,,1
q_9_cs_ch1_lq_002,1,1.3 The Architecture of von Neumann Computers,Long,diagram_based,Explain the Von Neumann architecture of a computer. Describe its major components and their relationships with the help of a labelled diagram.,computer کی Von Neumann architecture کی وضاحت کریں۔ اس کے major components اور ان کے باہمی تعلقات کو labelled diagram کی مدد سے بیان کریں۔,Medium,5,PRO,1
q_9_cs_ch1_lq_003,1,1.3 The Architecture of von Neumann Computers,Long,process_procedure,"Explain the working of the Von Neumann architecture by describing the fetching, decoding, execution, and storing stages.",Von Neumann architecture کی working کی وضاحت کریں اور fetching، decoding، execution اور storing کے stages بیان کریں۔,Medium,5,PRO,1
sep_9_cs_ch1_003,1,1.7 Common Text Encoding Schemes,Topic,topic_separator,,,,,,1
q_9_cs_ch1_lq_004,1,1.7 Common Text Encoding Schemes,Long,explain,Explain how characters are encoded using Unicode and provide suitable textbook-supported examples.,وضاحت کریں کہ Unicode کے ذریعے characters کو کیسے encode کیا جاتا ہے اور مناسب textbook-supported examples دیں۔,Medium,5,PRO,1
q_9_cs_ch1_lq_005,1,1.7 Common Text Encoding Schemes,Long,compare,"Compare ASCII, Extended ASCII, UTF-8, UTF-16, and UTF-32 in terms of character capacity, storage requirements, and compatibility.",ASCII، Extended ASCII، UTF-8، UTF-16 اور UTF-32 کا character capacity، storage requirements اور compatibility کے لحاظ سے موازنہ کریں۔,Hard,5,ULTRA,1
q_9_cs_ch1_lq_006,1,1.7 Common Text Encoding Schemes,Long,describe,"Explain how computers store files as binary data and compare HDD, SSD, and cloud storage.",وضاحت کریں کہ computers files کو binary data کی صورت میں کیسے store کرتے ہیں اور HDD، SSD اور cloud storage کا موازنہ کریں۔,Medium,5,ELITE,1
sep_9_cs_ch1_004,1,1.5 Data Representation in Computing Systems,Topic,topic_separator,,,,,,1
q_9_cs_ch1_lq_007,1,1.5 Data Representation in Computing Systems,Long,describe,"Describe in detail how integers are stored in computer memory, including unsigned values, signed integers, and the role of 1’s and 2’s complement.",تفصیل سے بیان کریں کہ integers کو computer memory میں کیسے store کیا جاتا ہے، جس میں unsigned values، signed integers اور 1’s اور 2’s complement کا کردار شامل ہو۔,Hard,5,PRO,1
sep_9_cs_ch1_005,1,1.6 Binary Arithmetic Operations,Topic,topic_separator,,,,,,1
q_9_cs_ch1_lq_008,1,1.6 Binary Arithmetic Operations,Numerical,solve,Perform the following binary arithmetic operations without including the final answer in the question statement: (a) Multiply 101₂ by 11₂. (b) Divide 1100₂ by 10₂.,درج ذیل binary arithmetic operations حل کریں؛ سوال میں final answer شامل نہ کریں: (a) 101₂ کو 11₂ سے multiply کریں۔ (b) 1100₂ کو 10₂ سے divide کریں۔,Medium,4,PRO,1
sep_9_cs_ch1_006,1,1.2 Software,Topic,topic_separator,,,,,,1
q_9_cs_ch1_lq_009,1,1.2 Software,Long,compare,"Compare system software and application software in terms of purpose, examples, and installation.",system software اور application software کا purpose، examples اور installation کے لحاظ سے موازنہ کریں۔,Medium,5,ULTRA,1
sep_9_cs_ch1_007,1,1.4 Number Systems,Topic,topic_separator,,,,,,1
q_9_cs_ch1_lq_010,1,1.4 Number Systems,Long,classification,"Explain decimal, binary, octal, and hexadecimal number systems. Discuss their bases, digits, place values, and importance in computing.",decimal، binary، octal اور hexadecimal number systems کی وضاحت کریں۔ ان کے bases، digits، place values اور computing میں اہمیت بیان کریں۔,Medium,5,ULTRA,1
sep_9_cs_ch1_008,1,1.4 Number Systems — Solved Examples,Topic,topic_separator,,,,,,1
q_9_cs_ch1_lq_011,1,1.4 Number Systems — Solved Examples,Numerical,solve,Convert the decimal number 83 to binary using the repeated-division method. Show the complete working but do not include the final result in the question statement.,repeated-division method استعمال کرتے ہوئے decimal number 83 کو binary میں convert کریں۔ complete working دکھائیں لیکن سوال میں final result شامل نہ کریں۔,Medium,4,ULTRA,1
