question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,9.1 Group 1: Alkali Metals,Topic,,,,,,,,,,,1
q_9_chem_ch9_001,1,9.1 Group 1: Alkali Metals,Remember,How many valence electrons do group 1 elements have?,گروپ 1 کے عناصر کے کتنے ظرفی الیکٹران ہوتے ہیں؟,2,1,7,8,B | 1,Easy,1,PRO,1
q_9_chem_ch9_002,1,9.1 Group 1: Alkali Metals,Remember,How does atomic size change down group 1?,گروپ 1 میں نیچے جاتے ہوئے ایٹمی جسامت کیسے بدلتی ہے؟,It decreases / یہ کم ہوتی ہے,It remains constant / یہ مستقل رہتی ہے,It becomes zero / یہ صفر ہو جاتی ہے,It increases / یہ بڑھتی ہے,D | It increases / یہ بڑھتی ہے,Easy,1,PRO,1
q_9_chem_ch9_003,1,9.1 Group 1: Alkali Metals,Understand,Why do group 1 elements lose their outer electron more easily down the group?,گروپ 1 میں نیچے جاتے ہوئے بیرونی الیکٹران کھونا آسان کیوں ہوتا ہے؟,The outer electron is farther from the nucleus and more shielded / بیرونی الیکٹران مرکزے سے زیادہ دور اور زیادہ شیلڈڈ ہوتا ہے,Atomic radius decreases / ایٹمی نصف قطر کم ہوتا ہے,Nuclear charge becomes zero / نیوکلیائی بار صفر ہو جاتا ہے,The valence shell disappears / ظرفی خول غائب ہو جاتا ہے,A | The outer electron is farther from the nucleus and more shielded / بیرونی الیکٹران مرکزے سے زیادہ دور اور زیادہ شیلڈڈ ہوتا ہے,Medium,1,PRO,1
q_9_chem_ch9_004,1,9.1 Group 1: Alkali Metals,Remember,How does chemical reactivity of alkali metals change down group 1?,گروپ 1 میں نیچے جاتے ہوئے الکلی دھاتوں کی کیمیائی فعالیت کیسے بدلتی ہے؟,It decreases / یہ کم ہوتی ہے,It remains constant / یہ مستقل رہتی ہے,It increases / یہ بڑھتی ہے,It becomes irregular without trend / اس کا کوئی رجحان نہیں رہتا,C | It increases / یہ بڑھتی ہے,Easy,1,PRO,1
q_9_chem_ch9_005,1,9.1 Group 1: Alkali Metals,Understand,Why do alkali metals become softer down the group?,الکلی دھاتیں گروپ میں نیچے نرم کیوں ہوتی جاتی ہیں؟,Their atoms become smaller / ان کے ایٹم چھوٹے ہوتے ہیں,Interatomic attraction decreases as atomic size increases / ایٹمی جسامت بڑھنے سے بین ایٹمی کشش کم ہوتی ہے,They form stronger metallic bonds / وہ زیادہ مضبوط دھاتی بند بناتے ہیں,Their electrons become fixed / ان کے الیکٹران ساکن ہو جاتے ہیں,B | Interatomic attraction decreases as atomic size increases / ایٹمی جسامت بڑھنے سے بین ایٹمی کشش کم ہوتی ہے,Medium,1,PRO,1
q_9_chem_ch9_006,1,9.1 Group 1: Alkali Metals,Remember,How do melting points of alkali metals change down group 1?,گروپ 1 میں نیچے جاتے ہوئے الکلی دھاتوں کے نقطۂ پگھلاؤ کیسے بدلتے ہیں؟,They decrease / وہ کم ہوتے ہیں,They increase / وہ بڑھتے ہیں,They remain equal / وہ برابر رہتے ہیں,They become infinite / وہ لامحدود ہو جاتے ہیں,A | They decrease / وہ کم ہوتے ہیں,Easy,1,PRO,1
q_9_chem_ch9_007,1,9.1 Group 1: Alkali Metals,Remember,How do densities of alkali metals generally change down the group according to the chapter?,باب کے مطابق گروپ میں نیچے جاتے ہوئے الکلی دھاتوں کی کثافت عموماً کیسے بدلتی ہے؟,They decrease / وہ کم ہوتی ہیں,They remain zero / وہ صفر رہتی ہیں,They are all identical / وہ سب یکساں ہوتی ہیں,They increase / وہ بڑھتی ہیں,D | They increase / وہ بڑھتی ہیں,Medium,1,ULTRA,1
q_9_chem_ch9_008,1,9.1 Group 1: Alkali Metals,Apply,"Which group 1 metal is easiest to cut among Li, Na, K and Rb?",Li، Na، K اور Rb میں کون سی گروپ 1 دھات کاٹنا سب سے آسان ہے؟,Li,Na,Rb,K,C | Rb,Medium,1,PRO,1
q_9_chem_ch9_009,1,9.1 Group 1: Alkali Metals,Apply,"Which oxide is the most basic among Li₂O, Na₂O, MgO and CO?",Li₂O، Na₂O، MgO اور CO میں سب سے زیادہ اساسی آکسائیڈ کون سا ہے؟,Na₂O,Li₂O,MgO,CO,A | Na₂O,Medium,1,PRO,1
q_9_chem_ch9_010,1,9.1 Group 1: Alkali Metals,Understand,How does potassium react with halogens?,پوٹاشیم ہیلوجنز کے ساتھ کیسے تعامل کرتا ہے؟,It does not react / یہ تعامل نہیں کرتا,It forms only covalent gases / یہ صرف اشتراکی گیسیں بناتا ہے,It acts as a noble gas / یہ خامل گیس کی طرح عمل کرتا ہے,Very vigorously to form ionic halides / بہت شدت سے تعامل کر کے آئونی ہیلائیڈ بناتا ہے,D | Very vigorously to form ionic halides / بہت شدت سے تعامل کر کے آئونی ہیلائیڈ بناتا ہے,Medium,1,PRO,1
TOPIC_SEP,1,9.2 Group 17: Halogens,Topic,,,,,,,,,,,1
q_9_chem_ch9_011,1,9.2 Group 17: Halogens,Remember,In what form do halogens exist as elements?,ہیلوجنز بطور عنصر کس شکل میں پائے جاتے ہیں؟,Monatomic ions only / صرف یک ایٹمی آئن,Diatomic molecules / دو ایٹمی سالمات,Giant metallic lattices / دیوقامت دھاتی جالیاں,Triatomic molecules only / صرف سہ ایٹمی سالمات,B | Diatomic molecules / دو ایٹمی سالمات,Easy,1,PRO,1
q_9_chem_ch9_012,1,9.2 Group 17: Halogens,Remember,What type of elements are halogens?,ہیلوجنز کس قسم کے عناصر ہیں؟,Unreactive metals / غیر فعال دھاتیں,Noble gases / خامل گیسیں,Very reactive non-metals / بہت فعال غیر دھاتیں,Transition metals / انتقالی دھاتیں,C | Very reactive non-metals / بہت فعال غیر دھاتیں,Easy,1,PRO,1
q_9_chem_ch9_013,1,9.2 Group 17: Halogens,Remember,How does halogen reactivity change down group 17?,گروپ 17 میں نیچے جاتے ہوئے ہیلوجنز کی فعالیت کیسے بدلتی ہے؟,It increases / یہ بڑھتی ہے,It remains constant / یہ مستقل رہتی ہے,It becomes zero after chlorine / کلورین کے بعد صفر ہو جاتی ہے,It decreases / یہ کم ہوتی ہے,D | It decreases / یہ کم ہوتی ہے,Easy,1,PRO,1
q_9_chem_ch9_014,1,9.2 Group 17: Halogens,Remember,Which is the most reactive halogen?,سب سے زیادہ فعال ہیلوجن کون سا ہے؟,Fluorine / فلورین,Chlorine / کلورین,Bromine / برومین,Iodine / آیوڈین,A | Fluorine / فلورین,Easy,1,PRO,1
q_9_chem_ch9_015,1,9.2 Group 17: Halogens,Remember,"Which halogen is least reactive among F, Cl, Br and I?",F، Cl، Br اور I میں سب سے کم فعال ہیلوجن کون سا ہے؟,Fluorine / فلورین,Chlorine / کلورین,Iodine / آیوڈین,Bromine / برومین,C | Iodine / آیوڈین,Easy,1,PRO,1
q_9_chem_ch9_016,1,9.2 Group 17: Halogens,Remember,What role do halogens commonly play in redox reactions?,ریڈوکس تعاملات میں ہیلوجنز عموماً کیا کردار ادا کرتے ہیں؟,Reducing agents only / صرف اختزالی عامل,Oxidizing agents / تکسیدی عامل,Catalysts only / صرف عمل انگیز,Neutral solvents / غیر جانبدار محلل,B | Oxidizing agents / تکسیدی عامل,Medium,1,PRO,1
q_9_chem_ch9_017,1,9.2 Group 17: Halogens,Remember,How does oxidizing power of halogens change down the group?,گروپ میں نیچے جاتے ہوئے ہیلوجنز کی تکسیدی قوت کیسے بدلتی ہے؟,It increases / یہ بڑھتی ہے,It decreases / یہ کم ہوتی ہے,It remains equal / یہ برابر رہتی ہے,It becomes unrelated to reactivity / یہ فعالیت سے غیر متعلق ہو جاتی ہے,B | It decreases / یہ کم ہوتی ہے,Medium,1,PRO,1
q_9_chem_ch9_018,1,9.2 Group 17: Halogens,Understand,Why does halogen reactivity decrease down the group?,گروپ میں نیچے جاتے ہوئے ہیلوجنز کی فعالیت کیوں کم ہوتی ہے؟,Atomic size decreases / ایٹمی جسامت کم ہوتی ہے,Electronegativity increases sharply / برق منفی بہت بڑھتی ہے,The valence shell becomes complete / ظرفی خول مکمل ہو جاتا ہے,Larger atoms attract an incoming electron less strongly / بڑے ایٹم آنے والے الیکٹران کو کم مضبوطی سے کھینچتے ہیں,D | Larger atoms attract an incoming electron less strongly / بڑے ایٹم آنے والے الیکٹران کو کم مضبوطی سے کھینچتے ہیں,Medium,1,PRO,1
q_9_chem_ch9_019,1,9.2 Group 17: Halogens,Apply,Which halogen reacts least with alkaline earth metals?,کون سا ہیلوجن الکلائن ارتھ دھاتوں کے ساتھ سب سے کم تعامل کرتا ہے؟,Iodine / آیوڈین,Fluorine / فلورین,Chlorine / کلورین,Bromine / برومین,A | Iodine / آیوڈین,Easy,1,PRO,1
q_9_chem_ch9_020,1,9.2 Group 17: Halogens,Apply,Which mixture will show a displacement reaction and turn dark?,کون سا آمیزہ بے دخلی تعامل دکھا کر گہرا رنگ اختیار کرے گا؟,Br₂ and NaCl / Br₂ اور NaCl,Br₂ and NaF / Br₂ اور NaF,Cl₂ and NaI / Cl₂ اور NaI,Cl₂ and NaF / Cl₂ اور NaF,C | Cl₂ and NaI / Cl₂ اور NaI,Hard,1,PRO,1
q_9_chem_ch9_021,1,9.2 Group 17: Halogens,Analyze,"In Cl₂ + 2NaBr → 2NaCl + Br₂, which species is the reducing agent?",Cl₂ + 2NaBr → 2NaCl + Br₂ میں اختزالی عامل کون سی نوع ہے؟,Cl₂,Br⁻ ions in NaBr / NaBr میں Br⁻ آئن,Na⁺ ions / Na⁺ آئن,NaCl,B | Br⁻ ions in NaBr / NaBr میں Br⁻ آئن,Hard,1,PRO,1
TOPIC_SEP,1,9.3 Hydrogen Halides,Topic,,,,,,,,,,,1
q_9_chem_ch9_022,1,9.3 Hydrogen Halides,Remember,How does the H–X bond strength change down the halogen group?,ہیلوجن گروپ میں نیچے جاتے ہوئے H–X بند کی مضبوطی کیسے بدلتی ہے؟,It decreases / یہ کم ہوتی ہے,It increases / یہ بڑھتی ہے,It remains constant / یہ مستقل رہتی ہے,It first becomes zero then increases / یہ پہلے صفر پھر بڑھتی ہے,A | It decreases / یہ کم ہوتی ہے,Medium,1,PRO,1
q_9_chem_ch9_023,1,9.3 Hydrogen Halides,Remember,How does thermal stability of hydrogen halides change down the group?,گروپ میں نیچے جاتے ہوئے ہائیڈروجن ہیلائیڈز کی حرارتی استحکام کیسے بدلتی ہے؟,It increases / یہ بڑھتی ہے,It remains identical / یہ یکساں رہتی ہے,It depends only on pressure / یہ صرف دباؤ پر منحصر ہے,It decreases / یہ کم ہوتی ہے,D | It decreases / یہ کم ہوتی ہے,Medium,1,PRO,1
q_9_chem_ch9_024,1,9.3 Hydrogen Halides,Apply,Which hydrogen halide is least stable at room temperature according to the exercise?,مشق کے مطابق کمرے کے درجہ حرارت پر سب سے کم مستحکم ہائیڈروجن ہیلائیڈ کون سا ہے؟,HF,HCl,HI,HBr,C | HI,Medium,1,PRO,1
q_9_chem_ch9_025,1,9.3 Hydrogen Halides,Understand,Why is HBr thermally less stable than HCl?,HBr حرارتی طور پر HCl سے کم مستحکم کیوں ہے؟,The H–Br bond is weaker than the H–Cl bond / H–Br بند H–Cl بند سے کمزور ہے,Bromine is smaller than chlorine / برومین کلورین سے چھوٹا ہے,HBr is ionic while HCl is metallic / HBr آئونی جبکہ HCl دھاتی ہے,HCl contains no hydrogen / HCl میں ہائیڈروجن نہیں,A | The H–Br bond is weaker than the H–Cl bond / H–Br بند H–Cl بند سے کمزور ہے,Hard,1,PRO,1
TOPIC_SEP,1,9.4 Transition Elements,Topic,,,,,,,,,,,1
q_9_chem_ch9_026,1,9.4 Transition Elements,Remember,What type of elements are d-block or transition elements?,d بلاک یا انتقالی عناصر کس قسم کے عناصر ہیں؟,Noble gases / خامل گیسیں,Halogens only / صرف ہیلوجنز,Non-metallic liquids only / صرف غیر دھاتی مائعات,Metals / دھاتیں,D | Metals / دھاتیں,Easy,1,PRO,1
q_9_chem_ch9_027,1,9.4 Transition Elements,Remember,Which physical properties are typical of transition elements?,انتقالی عناصر کی عام طبعی خصوصیات کون سی ہیں؟,They are always soft gases / وہ ہمیشہ نرم گیسیں ہوتے ہیں,They are often hard and dense / وہ عموماً سخت اور زیادہ کثافت والے ہوتے ہیں,They have very low densities only / ان کی کثافت ہمیشہ بہت کم ہوتی ہے,They are colourless non-metals / وہ بے رنگ غیر دھاتیں ہوتے ہیں,B | They are often hard and dense / وہ عموماً سخت اور زیادہ کثافت والے ہوتے ہیں,Medium,1,ULTRA,1
q_9_chem_ch9_028,1,9.4 Transition Elements,Remember,What important role do transition metals and their compounds often play?,انتقالی دھاتیں اور ان کے مرکبات عموماً کون سا اہم کردار ادا کرتے ہیں؟,They act only as solvents / وہ صرف محلل بنتے ہیں,They form no compounds / وہ مرکبات نہیں بناتے,They act as catalysts / وہ عمل انگیز کے طور پر کام کرتے ہیں,They are used only as fuels / وہ صرف ایندھن کے طور پر استعمال ہوتے ہیں,C | They act as catalysts / وہ عمل انگیز کے طور پر کام کرتے ہیں,Easy,1,PRO,1
q_9_chem_ch9_029,1,9.4 Transition Elements,Apply,Which compound is expected to be coloured?,کون سا مرکب رنگین ہونے کی توقع ہے؟,KCl,BaCl₂,AlCl₃,NiCl₂,D | NiCl₂,Medium,1,PRO,1
q_9_chem_ch9_030,1,9.4 Transition Elements,Remember,Which metal catalyses hydrogenation of oils according to the chapter exercise?,باب کی مشق کے مطابق تیلوں کی ہائیڈروجینیشن میں کون سی دھات عمل انگیز ہے؟,Nickel / نکل,Sodium / سوڈیم,Calcium / کیلشیم,Aluminium / ایلومینیم,A | Nickel / نکل,Easy,1,PRO,1
q_9_chem_ch9_031,1,9.4 Transition Elements,Understand,Why is V₂O₅ often preferred over platinum in oxidation of SO₂?,SO₂ کی تکسید میں V₂O₅ کو اکثر پلاٹینم پر ترجیح کیوں دی جاتی ہے؟,It is a noble gas / یہ خامل گیس ہے,It stops the reaction completely / یہ تعامل مکمل روک دیتا ہے,It is effective and less expensive / یہ مؤثر اور کم مہنگا ہے,It is more volatile than SO₂ / یہ SO₂ سے زیادہ فرار پذیر ہے,C | It is effective and less expensive / یہ مؤثر اور کم مہنگا ہے,Medium,1,ELITE,1
TOPIC_SEP,1,9.5 Noble Gases,Topic,,,,,,,,,,,1
q_9_chem_ch9_032,1,9.5 Noble Gases,Remember,Why are noble gases chemically unreactive?,خامل گیسیں کیمیائی طور پر غیر فعال کیوں ہوتی ہیں؟,They have no electrons / ان میں الیکٹران نہیں ہوتے,Their outermost electron shells are complete / ان کے بیرونی الیکٹرانی خول مکمل ہوتے ہیں,They are all metals / وہ سب دھاتیں ہیں,Their nuclei have no protons / ان کے مرکزوں میں پروٹان نہیں ہوتے,B | Their outermost electron shells are complete / ان کے بیرونی الیکٹرانی خول مکمل ہوتے ہیں,Easy,1,PRO,1
